CED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED101,28,179,211,29,14,130,595,0,162,8,20,0,3,192,14,1383,32,72,19,7,1523,28,608,78,92,18,7,831,49,324,90,36,7,3,507,111,251,105,42,43,3,546,506,207,216,27,20,8,987,3247,164,489,23,32,8,3961,3281,81,428,12,35,9,3843,1540,12,203,7,32,4,1797,676,3,86,0,6,0,769,195,0,35,0,3,0,238,47,0,7,0,0,0,58,58,3,8,0,0,0,71,147,221,158,26,32,23,605,9923,3604,2152,378,255,214,16526
CED102,48,55,343,27,22,166,659,0,67,6,10,0,0,87,20,532,58,44,7,5,664,80,223,110,71,15,5,501,124,109,121,29,12,3,398,288,114,127,36,46,0,613,789,71,314,21,43,7,1241,3953,81,619,30,69,14,4769,5047,20,647,18,66,11,5811,3465,17,494,17,40,12,4042,1129,3,180,3,16,0,1335,340,3,77,0,5,0,428,158,0,24,0,3,0,188,161,0,50,0,5,0,216,248,72,219,32,45,32,651,15861,1376,3388,322,398,256,21602
CED103,36,135,318,17,32,130,669,8,99,12,13,4,3,136,36,713,54,80,9,14,907,47,331,139,95,17,5,646,63,167,101,26,22,6,384,128,149,141,29,216,4,668,635,116,229,34,62,5,1080,3744,76,554,30,46,7,4465,4329,56,636,13,41,11,5079,2892,34,426,4,26,10,3384,1477,4,222,3,12,5,1730,566,3,106,3,7,0,689,277,0,50,0,3,0,330,246,0,70,0,8,3,326,233,116,192,57,39,37,670,14725,2000,3243,407,542,228,21149
CED104,9,12,160,7,29,126,341,0,13,0,17,0,0,39,5,127,34,62,5,0,243,15,60,46,41,10,0,171,18,27,46,39,7,0,139,39,23,76,21,34,3,198,184,20,137,24,23,3,399,442,23,191,46,22,0,719,805,7,218,6,18,5,1063,1080,10,179,0,5,3,1284,795,0,93,0,8,0,891,415,0,54,0,3,0,469,210,0,24,0,0,0,232,179,0,28,0,3,0,208,66,28,96,59,19,13,280,4253,344,1389,333,177,164,6667
CED105,52,254,280,17,29,149,780,4,209,5,23,7,0,259,35,1443,89,47,20,11,1649,66,833,133,122,28,5,1192,85,391,115,41,19,5,654,246,340,148,48,39,4,823,886,281,368,74,56,14,1671,4500,240,872,61,198,29,5906,3088,108,683,20,162,22,4093,1008,18,231,5,41,7,1312,312,6,49,7,20,0,400,66,5,27,0,3,0,104,18,0,8,0,0,0,30,34,0,5,0,3,0,47,209,250,207,48,61,43,817,10623,4392,3228,506,699,293,19734
CED106,20,14,253,23,32,141,490,0,22,11,27,6,3,60,7,138,25,42,9,0,221,19,50,44,71,9,5,195,15,17,57,31,6,0,130,41,15,60,14,18,4,162,131,12,123,21,31,3,323,997,16,260,19,34,6,1341,2667,4,360,11,21,8,3069,1783,0,261,12,20,6,2079,1128,0,180,7,14,3,1335,758,0,107,3,10,0,875,547,3,83,0,3,0,640,1368,0,239,0,12,3,1623,178,26,146,34,31,21,433,9660,313,2210,322,274,199,12971
CED107,39,114,397,40,173,300,1049,17,100,43,36,13,0,209,227,700,277,85,57,20,1376,912,495,452,65,54,25,2007,868,224,467,22,42,6,1639,1971,188,556,21,61,18,2815,2839,173,605,28,55,16,3716,2096,44,303,20,26,9,2493,263,4,46,7,5,0,326,35,4,11,0,0,0,52,9,0,5,0,0,0,15,3,0,4,0,3,0,11,0,0,0,0,0,0,0,8,0,13,0,0,3,29,139,139,164,41,80,22,584,9422,2182,3340,370,572,421,16309
CED108,18,238,128,12,15,92,505,0,201,0,11,0,0,218,9,1534,37,30,24,9,1643,47,1119,78,46,9,9,1320,96,472,73,29,7,7,687,239,559,178,22,35,6,1034,1986,881,513,24,50,24,3470,5070,330,881,36,132,25,6480,1767,41,252,9,27,6,2109,341,4,56,0,3,3,406,90,4,17,0,0,3,115,21,6,3,0,0,0,33,5,0,4,0,0,0,8,16,0,7,0,0,0,21,148,348,116,38,19,22,691,9859,5737,2350,248,331,208,18723
CED109,19,60,188,17,11,127,422,0,53,4,10,3,0,71,8,499,33,24,7,4,577,27,166,35,70,10,3,304,25,82,66,15,9,0,202,116,54,85,19,122,3,393,560,53,178,12,29,4,843,2604,50,414,3,23,6,3096,2622,15,315,7,21,17,2995,1496,14,170,4,12,3,1702,889,5,110,0,7,3,1020,391,0,57,0,3,0,454,191,0,30,0,0,0,223,272,0,42,0,5,0,319,149,69,108,48,19,11,405,9363,1120,1841,234,282,183,13016
CED110,22,94,261,28,63,240,708,11,68,27,26,7,3,141,75,965,230,102,123,19,1520,421,499,399,182,93,16,1611,574,229,411,48,69,10,1335,1639,219,610,56,80,20,2618,2757,208,873,42,92,30,4007,3335,59,700,18,58,17,4177,1015,9,154,6,10,3,1196,227,0,36,0,3,5,267,36,0,15,0,3,0,54,12,3,11,0,0,0,28,6,0,0,0,4,0,13,17,3,9,0,5,0,36,148,123,134,63,48,28,537,10298,2476,3873,572,666,381,18266
