CED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED111,817,3273,810,868,125,7932,1133,440,3121,1590,1920,291,8503,66,21,215,116,217,16,657,99,26,269,294,1252,63,2001,95,27,307,181,638,207,1460,5575,2074,14446,8107,17314,1665,49170
CED112,315,1978,562,683,95,4122,443,314,2225,1669,2871,330,7848,17,6,84,109,262,24,513,35,17,154,292,1495,61,2050,39,12,164,197,831,243,1490,1747,1029,8176,7446,20564,1980,40951
CED113,487,1871,607,722,92,4385,457,347,1882,1214,1692,229,5821,58,49,263,146,385,30,934,54,32,184,208,1233,63,1779,86,31,174,179,731,262,1459,3672,1986,10803,7576,19059,2109,45207
CED114,522,2337,693,816,136,4986,412,360,2169,1487,2201,281,6903,11,13,68,69,183,24,360,35,15,127,229,1495,92,1996,42,20,148,171,776,307,1465,1696,1413,9323,6876,21487,2582,43371
CED115,110,1137,372,403,90,2638,424,124,1725,1033,1276,231,4821,16,9,107,80,131,19,360,45,3,183,338,1014,85,1661,88,20,395,330,796,402,2026,2204,519,9937,6464,11588,2028,32740
CED116,578,1809,615,741,94,4386,532,334,2043,1389,2362,281,6941,26,13,128,98,249,34,551,39,20,126,201,1210,55,1657,48,13,165,134,664,238,1270,2015,1487,7851,6430,18633,1794,38204
CED117,704,3146,563,400,107,7869,1865,482,3663,971,787,210,7976,304,102,872,278,242,42,1842,221,78,631,308,655,57,1948,276,62,886,341,389,291,2248,12804,3458,29100,8802,9341,1765,65274
CED118,346,2280,564,630,123,5136,1122,297,3396,1544,1698,284,8353,46,11,126,110,201,30,529,139,36,414,381,1211,80,2265,278,44,669,400,816,349,2556,8086,1655,19179,9913,16012,2394,57243
CED119,546,2970,864,694,140,6398,833,375,2605,1419,1490,243,6963,47,20,222,144,306,29,778,75,40,294,360,1465,59,2289,121,21,393,283,778,236,1827,4870,1857,15707,10028,18735,1858,53056
CED120,441,2384,831,943,103,5607,471,314,1867,1568,2077,237,6535,30,11,107,107,255,27,529,32,20,135,261,1743,73,2275,54,18,207,236,1042,237,1796,2448,1333,9189,8353,23179,2118,46617
CED121,288,1640,535,836,83,3863,389,248,1845,1504,2614,261,6867,16,4,54,64,197,23,365,44,24,132,243,1742,61,2242,34,11,129,175,815,234,1394,1706,956,7239,6582,23182,1822,41498
CED122,477,2892,634,503,145,7311,1677,435,4018,1243,1006,291,8676,137,24,553,237,312,56,1320,177,39,526,397,954,89,2182,364,56,850,335,508,299,2412,11363,2271,25825,9275,12632,2306,63669
CED123,317,1972,705,837,107,4948,510,294,2120,1471,2195,285,6878,20,7,134,119,282,29,593,56,18,176,321,1637,45,2254,76,24,245,298,1159,333,2132,3183,1138,10046,8450,22673,2188,47672
CED124,357,1717,641,740,105,3944,364,270,1820,1499,2535,312,6802,9,5,74,64,174,15,346,19,19,99,210,1305,43,1688,18,13,114,121,655,196,1112,1295,978,6401,5632,17943,1879,34126
CED125,321,1812,618,799,119,4514,521,240,2153,1497,1987,313,6707,26,10,107,101,217,27,482,45,18,199,263,1358,89,1963,80,24,297,275,967,355,2001,3156,1061,10082,8281,19656,2390,44628
CED126,521,2604,792,575,144,5645,847,373,2596,1454,1254,291,6824,72,25,335,193,272,40,936,97,35,375,411,1339,78,2325,207,49,727,510,752,282,2520,5512,1926,18439,10455,15825,2144,54308
CED127,707,2983,905,887,132,7260,777,437,2388,1478,1762,203,7048,79,42,205,169,376,34,910,81,22,222,274,1473,54,2133,93,22,250,236,868,230,1707,4094,1934,11550,8400,19605,1711,47298
CED128,197,1387,450,540,112,3357,467,161,1852,1190,1506,263,5438,15,3,102,91,183,22,421,65,16,254,304,1261,70,1963,92,14,385,357,893,362,2107,2985,770,10821,7457,15355,2271,39664
CED129,497,3045,709,540,131,6298,1366,399,3355,1344,1181,268,7916,55,11,206,124,170,29,596,190,36,444,376,1087,73,2203,304,46,695,410,624,236,2321,8788,2027,21446,9797,13293,2036,57392
CED130,540,2520,819,957,164,6063,461,309,2048,1493,2329,296,6933,9,5,73,59,188,24,357,39,15,130,160,1360,61,1762,27,10,134,152,691,283,1301,2364,1312,8770,6347,19396,2404,40598
CED131,488,3045,679,704,95,6609,1374,545,4927,1794,2349,323,11302,36,22,199,97,210,22,581,85,25,314,275,1255,67,2019,76,20,318,175,539,214,1342,5212,1863,17015,7902,17388,1562,50946
CED132,491,2550,490,294,92,5938,2003,506,4217,951,608,246,8537,191,62,530,177,158,26,1135,264,51,581,299,553,58,1817,492,91,1126,357,281,245,2588,15784,3353,34269,8677,7184,1966,71228
CED133,469,2310,780,905,110,5086,514,368,2523,1675,2927,297,8307,22,8,108,72,196,38,444,27,19,150,222,1340,50,1811,29,19,130,158,682,239,1266,1690,1319,8891,6160,19363,2038,39457
CED134,420,2337,624,910,139,4857,359,282,1871,1447,2152,303,6409,14,14,79,42,216,20,375,30,20,113,171,1480,83,1890,23,12,125,111,684,293,1244,1477,1162,8416,5956,19267,2500,38777
CED135,281,1918,488,433,98,4660,1572,411,4075,1418,1364,332,9172,71,9,229,113,172,24,627,222,40,481,332,822,80,1983,515,49,956,453,612,379,2969,12817,1861,24377,9162,11244,2527,61984
CED136,317,1537,569,742,69,3665,354,212,1833,1468,2644,286,6799,9,5,54,68,210,34,375,33,17,120,297,1675,63,2203,32,16,117,171,822,223,1379,1585,935,7030,6875,22630,1731,40783
CED137,465,2512,520,441,102,5762,1815,388,4425,1177,885,275,8967,131,30,398,175,168,35,938,245,43,554,364,794,78,2077,510,57,1131,454,498,390,3046,13360,2425,29312,9797,10397,2488,67782
CED138,562,2377,681,725,124,5165,732,381,2738,1662,2319,310,8142,37,26,226,156,271,29,742,28,17,197,287,1149,53,1727,64,40,376,276,770,259,1781,2439,1558,10818,7214,17549,1975,41551
CED139,454,2447,725,1012,134,5429,443,290,2278,1435,2444,269,7160,9,3,63,37,193,14,321,21,8,131,210,1509,51,1932,25,6,136,131,720,261,1283,1774,1218,9241,6183,21304,2261,41990
CED140,387,2130,655,657,106,4649,721,400,2903,1619,2291,304,8242,30,16,165,121,239,31,604,72,33,195,317,1288,66,1965,68,19,263,225,677,242,1502,2834,1388,10994,7904,17720,1859,42699
CED141,369,2221,673,737,98,4749,613,378,2682,1618,2580,313,8187,13,4,102,78,202,19,426,38,14,152,228,1426,48,1895,42,20,167,150,704,207,1285,2276,1281,9736,6953,19371,1593,41213
CED142,471,2909,480,313,96,7524,2006,444,4061,890,600,195,8191,421,100,1159,373,302,55,2409,305,65,829,416,760,80,2460,590,74,1618,526,423,455,3684,18997,3485,42547,11819,9977,2641,89462
CED143,468,2444,572,374,118,5353,1257,433,3035,994,769,254,6738,175,49,541,158,201,29,1156,148,48,534,316,790,40,1877,369,71,972,375,522,231,2529,10509,2738,27255,9110,9866,1986,61455
CED144,305,1828,469,402,131,4268,879,239,2587,1239,1267,270,6482,68,12,207,98,139,24,560,132,23,434,324,995,90,2002,270,24,685,414,676,433,2501,6336,1270,16501,8161,11274,2413,45961
CED145,433,2282,485,259,128,5354,1838,369,3553,766,466,248,7239,251,67,899,258,221,54,1747,157,36,559,323,611,78,1763,427,68,1328,394,332,299,2846,12497,2680,32346,7808,7069,2177,64577
CED146,186,1605,482,562,109,3766,578,180,2283,1421,1559,252,6274,17,7,98,82,133,19,353,46,13,207,296,1271,65,1901,110,23,426,392,931,447,2322,3376,792,11801,8096,15605,2368,42033
CED147,489,1727,662,833,112,4491,527,268,1865,1703,2780,295,7436,29,13,103,89,192,22,449,42,24,162,276,1620,62,2180,43,21,183,208,845,257,1557,2208,1192,7939,7393,21274,1979,41985
CED194,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
CED197,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
