CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED101,14,98,6,3069,298,58,29,280,29,203,22,95,31,206,914,2173,19,3,23,17,8,11,3,0,8,18,53,173,4798,808,175,5474,641,4214,180,1333,223,2167,1017,21031
CED102,10,108,3,2538,258,49,27,229,39,214,13,111,36,270,965,2216,14,7,19,25,12,11,3,9,10,27,71,189,4522,879,190,4854,634,4246,168,1504,293,2583,1080,20955
CED103,14,105,3,4842,309,58,23,291,28,209,11,93,32,180,1203,2428,26,0,7,34,6,8,0,0,7,16,60,179,5635,842,159,5808,685,4910,175,1240,251,1995,1296,23001
CED104,25,96,3,6443,476,63,21,464,39,253,22,102,39,154,1142,2792,34,8,15,33,7,21,5,4,3,10,40,170,6146,827,147,7152,635,4261,171,986,187,1390,1208,23118
CED105,11,88,0,1177,186,51,28,174,25,283,11,163,59,413,951,2355,20,0,12,10,8,18,0,3,19,63,161,308,3335,784,182,3165,367,5540,159,2638,511,4676,1232,22585
CED106,31,193,3,9057,403,64,15,429,26,315,14,84,27,162,1572,3115,29,6,15,44,15,22,3,4,10,13,47,200,6066,804,130,6758,613,5472,155,1097,186,1602,1639,24522
CED107,11,14,0,1476,361,55,15,392,31,181,16,74,14,135,876,2159,31,0,15,22,3,16,3,3,10,37,37,170,3904,596,163,5317,634,2645,185,709,206,1270,961,16604
CED108,15,57,3,1357,368,40,26,196,33,294,20,103,51,292,793,2211,18,5,15,17,3,23,0,10,10,53,99,261,5866,681,192,4205,601,5562,180,1447,367,3020,981,23113
CED109,21,90,4,4241,337,65,22,394,38,187,27,85,26,141,882,2200,14,0,20,36,11,14,3,3,4,21,38,159,4262,615,170,6100,688,3006,191,821,177,1231,942,18211
CED110,4,19,0,737,240,75,7,273,29,134,14,84,22,168,684,1716,19,0,14,19,6,11,4,4,6,27,37,147,2860,871,127,4061,385,2120,184,966,175,1572,765,14085
CED111,17,45,6,2526,300,45,11,349,38,192,16,68,22,182,869,2083,19,0,13,19,4,9,8,4,3,21,27,127,3518,703,145,5926,630,2940,190,859,198,1818,929,17861
CED112,6,24,0,1318,306,56,22,372,34,199,11,79,23,152,793,2059,22,0,12,23,3,20,0,6,7,24,38,153,3480,673,158,5585,612,3096,197,854,217,1448,871,17189
CED113,12,28,3,2244,418,59,29,331,39,156,14,66,19,108,912,2157,28,3,7,21,4,7,4,4,5,12,44,142,4547,649,197,4638,666,2219,207,632,174,989,998,15915
CED114,3,9,0,960,432,44,21,452,48,158,22,65,25,108,861,2238,26,10,10,41,10,15,0,3,13,35,46,215,3787,598,178,5620,622,2508,224,706,174,1176,980,16562
CED115,3,101,3,1221,211,48,28,174,21,308,11,128,62,456,811,2255,22,0,11,6,3,12,0,11,16,67,135,292,3389,692,154,2971,329,4802,120,2044,404,5245,1033,21186
CED116,4,27,3,924,251,75,18,300,32,134,18,77,27,160,802,1902,15,7,14,19,3,3,0,3,5,26,29,133,2487,750,139,4212,441,2092,145,899,183,1485,889,13729
CED117,24,52,10,5301,200,34,8,182,16,121,13,42,19,109,757,1509,15,0,6,10,3,5,0,3,0,3,27,71,4158,568,122,4588,729,2627,112,621,141,1065,813,15546
CED118,8,56,3,3199,404,41,19,287,37,244,19,74,31,179,999,2339,30,3,15,34,4,10,4,5,13,25,74,205,7699,731,205,6632,885,5886,210,1160,285,1860,1127,26692
CED119,22,63,0,4425,400,46,25,421,38,212,23,94,22,130,933,2339,34,4,9,44,4,11,5,3,6,12,27,169,5615,668,178,7979,810,3554,211,802,189,1200,979,22193
CED120,7,31,3,2205,449,53,29,431,50,245,32,68,21,126,801,2306,33,5,11,47,3,17,7,7,7,29,44,208,5136,619,192,6296,801,3363,243,716,208,1127,899,19595
CED121,8,21,3,1544,320,49,27,344,29,188,27,76,19,156,840,2069,25,3,21,36,4,12,0,7,10,23,46,183,3344,627,164,5554,605,3316,225,860,236,1631,917,17479
CED122,16,78,7,4642,344,50,17,310,36,165,9,73,17,145,1002,2166,23,0,16,32,3,11,5,0,3,18,37,161,4874,714,164,5291,745,3292,145,872,163,1461,1095,18811
CED123,13,51,7,2150,350,33,23,311,39,215,20,94,34,172,722,2000,33,0,17,30,4,18,0,3,13,32,61,207,5514,535,193,5840,844,4345,181,879,261,1554,839,20986
CED124,5,10,8,813,274,61,18,303,21,162,29,80,18,168,733,1858,21,3,15,23,0,9,0,7,10,38,40,159,2562,692,146,3853,378,1976,178,871,217,1600,821,13297
CED125,9,39,0,1801,361,37,11,279,42,276,14,95,43,252,752,2165,39,0,14,21,9,20,4,5,7,42,68,224,5300,638,202,5163,717,4924,178,1177,308,2162,879,21649
CED126,22,91,9,5514,422,73,22,486,38,184,17,100,19,132,1072,2568,26,4,15,33,11,18,3,7,4,11,40,182,4964,859,174,7545,647,3113,183,812,163,1104,1141,20721
CED127,7,26,0,2197,358,57,17,405,37,197,19,57,20,125,763,2055,38,7,13,28,3,12,0,3,5,20,36,172,4199,716,144,5798,596,3108,178,731,192,1048,827,17536
CED128,21,90,0,1705,303,47,22,237,26,306,14,139,56,389,869,2400,13,0,10,20,9,6,3,10,23,89,109,291,4367,645,152,4237,534,4924,157,1769,410,4652,1053,22901
CED129,24,94,12,5986,452,65,27,404,30,258,13,78,27,144,1166,2657,32,3,19,31,6,19,7,0,9,5,31,163,7301,825,178,7452,729,5013,176,996,210,1443,1235,25552
CED130,4,17,5,888,415,46,22,345,39,149,20,58,14,121,848,2081,21,6,15,15,0,11,4,8,13,29,44,171,3648,570,159,4389,485,2264,179,647,169,1258,938,14704
CED131,10,24,0,2191,253,46,9,264,34,130,10,59,21,104,913,1843,14,0,10,14,11,13,3,9,4,11,39,133,3140,670,128,5555,635,2508,169,767,178,1250,983,15990
CED132,32,123,3,7836,279,63,12,279,30,197,11,80,18,109,1215,2296,24,3,16,25,3,15,3,6,5,10,31,134,4828,604,148,5301,816,4211,139,796,167,1020,1266,19281
CED133,3,17,3,638,261,78,15,299,29,158,21,99,16,171,752,1901,12,5,15,17,3,7,0,3,9,34,39,140,2939,899,127,4210,421,2310,208,1040,195,1641,839,14825
CED134,9,8,8,949,537,56,27,380,45,176,18,56,20,138,889,2344,35,0,20,32,6,17,0,3,12,43,49,208,3786,468,179,4236,555,2239,164,543,193,1215,996,14582
CED135,13,70,3,2277,246,34,18,206,28,226,5,101,58,236,1100,2267,16,7,7,14,3,14,0,0,7,35,100,206,5391,826,176,4697,674,6761,171,1819,386,2961,1267,25134
CED136,9,22,0,1324,279,57,17,331,30,189,14,83,24,150,1017,2195,16,3,7,22,5,11,3,3,3,27,29,130,3397,626,154,5332,599,3235,183,894,218,1569,1084,17292
CED137,26,119,6,4901,304,68,25,279,46,189,15,70,29,193,1061,2272,18,0,19,25,3,6,3,3,14,16,45,155,5272,851,153,5068,742,4555,179,1219,246,2005,1149,21426
CED138,7,19,0,1015,247,98,17,310,23,145,15,110,18,127,852,1957,20,3,8,21,7,10,3,11,4,17,47,141,2522,1063,141,4501,396,2164,194,1053,175,1312,950,14468
CED139,4,13,4,1004,397,47,13,404,43,175,25,42,13,110,842,2121,20,0,17,27,4,13,0,3,6,29,50,177,3830,530,154,5031,592,2363,176,608,165,1187,934,15569
CED140,11,24,0,1763,299,59,19,366,40,174,19,73,33,143,785,2010,19,4,17,33,3,7,0,4,3,15,44,149,3211,679,149,5363,553,2916,177,808,218,1193,865,16123
CED141,15,26,3,1759,275,55,15,305,30,157,20,82,25,144,834,1939,20,5,6,30,3,10,4,7,3,26,40,152,3192,665,128,5787,578,2650,204,789,185,1488,904,16562
CED142,26,37,3,2688,118,16,8,68,12,72,6,30,11,57,555,951,12,0,3,3,3,5,0,0,0,4,16,51,2214,354,94,2192,521,1855,90,452,106,698,587,9161
CED143,43,152,8,7471,308,66,14,359,30,276,10,91,21,105,1168,2438,16,6,5,30,4,18,3,6,3,7,30,129,4191,647,140,6109,716,3907,159,775,151,865,1223,18885
CED144,10,107,5,1922,229,57,37,201,33,293,13,130,69,361,1107,2524,19,0,11,20,5,17,3,13,26,43,129,273,3712,937,171,4041,470,5593,180,2389,484,4026,1320,23328
CED145,38,117,8,6220,248,48,15,313,9,209,9,69,16,89,912,1942,26,0,11,38,6,13,0,5,7,5,27,146,3370,531,100,4400,607,2933,110,609,134,652,961,14402
CED146,21,95,7,2012,369,62,34,289,47,301,14,114,66,383,907,2568,18,9,12,20,5,20,3,16,19,54,109,283,5669,828,192,4828,600,5539,163,1799,419,3926,1098,25065
CED147,9,28,0,1513,276,48,11,373,39,244,17,78,26,179,814,2104,15,3,15,26,5,18,4,3,8,28,32,150,3463,644,148,5888,587,3283,212,932,213,1685,882,17943
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
