CED_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
CED101,7,342,..,1263,218,1486,15,1499,..,94,7,102,4,108,..,57,13,74,0,70,..,131,14,144,0,143,..,206,47,249,3,256,..,118,8,127,0,126,..,173,45,214,0,215,..,359,5,372,0,369,..,779,100,877,0,876,..,671,23,689,3,696,..,67,3,71,0,71,..,1877,134,2010,9,2015,..,780,133,915,10,924,..,82,0,82,0,82,..,327,71,399,0,399,..,96,15,108,0,105,..,1174,458,1631,12,1642,..,1609,351,1964,63,2026,..,28462,8164,36621,285,36908,..,169,41,209,3089,3295,39824,28633,8204,36834,3373,80026,78899,..,..,..,..,78899,..,63,0,63,0,64,..,6595,1043,7633,86,7720,..,13,0,13,0,13,..,7805,3732,11542,48,11592,..,10145,5074,15219,59,15278,..,458,211,676,0,675,..,18416,9023,27438,113,27547,..,980,135,1119,9,1128,..,69,0,73,3,76,..,344,10,356,3,360,..,289,9,302,0,305
CED102,4,387,..,2022,639,2658,27,2686,..,136,16,157,0,154,..,113,16,132,0,131,..,145,15,156,0,156,..,345,56,401,3,408,..,98,4,101,0,101,..,332,50,387,3,390,..,483,13,494,4,499,..,925,125,1045,9,1060,..,1020,27,1043,3,1050,..,100,3,101,0,101,..,2527,160,2693,15,2711,..,1193,220,1417,18,1433,..,115,4,121,0,117,..,590,188,771,7,781,..,251,67,316,0,318,..,1262,565,1826,11,1836,..,2891,757,3647,73,3725,..,40658,11301,51957,443,52402,..,221,67,282,4645,4929,29799,40873,11371,52245,5091,87129,60772,..,..,..,..,60772,..,40,0,40,0,40,..,9789,1222,11010,105,11118,..,23,0,23,0,23,..,7557,3516,11076,62,11144,..,12597,5212,17805,90,17895,..,724,348,1074,8,1081,..,20877,9082,29957,161,30116,..,568,94,666,0,670,..,62,0,62,0,66,..,384,19,404,3,405,..,289,15,309,3,308
CED103,35,4798,..,85,14,96,3,102,..,57,5,59,0,59,..,586,128,718,7,720,..,191,14,208,0,208,..,286,51,335,0,340,..,19,4,18,0,18,..,166,26,195,0,198,..,482,4,488,3,494,..,728,64,791,7,798,..,642,8,654,5,660,..,124,3,125,0,128,..,1978,87,2068,16,2081,..,700,80,776,7,790,..,682,35,712,10,720,..,334,94,431,0,431,..,116,25,135,0,142,..,490,78,565,6,570,..,2976,550,3523,62,3587,..,34440,8749,43190,301,43491,..,160,37,197,3140,3342,39747,34599,8786,43393,3438,86580,79239,..,..,..,..,79239,..,130,6,139,0,138,..,2486,344,2828,15,2845,..,3,0,7,0,7,..,10834,2892,13724,61,13787,..,17351,5673,23023,113,23137,..,846,255,1105,5,1113,..,29039,8819,37854,182,38036,..,402,61,462,3,471,..,131,7,137,0,137,..,482,21,503,6,509,..,460,13,472,0,477
CED104,18,1246,..,14,0,18,0,19,..,65,4,74,0,74,..,509,61,570,4,576,..,208,10,215,0,215,..,260,39,294,0,294,..,9,0,9,0,9,..,57,8,61,0,61,..,185,4,192,0,194,..,241,14,254,0,258,..,325,3,329,3,331,..,43,0,43,0,43,..,787,26,813,6,822,..,517,37,545,10,558,..,519,25,551,3,549,..,161,34,190,0,191,..,63,5,69,0,69,..,227,46,270,0,276,..,1330,162,1493,29,1519,..,16825,2817,19640,152,19795,..,176,22,198,2580,2774,51263,16994,2844,19835,2731,73835,102115,..,..,..,..,102115,..,574,4,579,3,579,..,1691,147,1835,9,1842,..,5,3,8,0,8,..,4544,843,5388,35,5424,..,6342,2051,8389,46,8435,..,390,75,461,3,466,..,11278,2965,14242,87,14328,..,246,12,257,3,260,..,257,3,258,0,258,..,349,14,363,7,367,..,554,18,565,5,569
CED105,8,1173,..,808,233,1044,7,1053,..,86,5,98,0,98,..,201,105,306,3,311,..,187,47,238,3,239,..,163,38,200,3,199,..,376,28,398,3,401,..,134,24,160,0,159,..,306,12,319,0,322,..,403,58,460,4,468,..,625,16,647,3,649,..,90,14,104,0,106,..,1426,102,1530,8,1535,..,447,103,554,15,566,..,490,94,585,0,590,..,216,74,288,9,296,..,1539,586,2120,25,2145,..,5327,3457,8790,48,8835,..,3701,1300,5000,119,5122,..,42514,15699,58217,549,58764,..,240,137,376,4675,5055,21745,42755,15833,58590,5227,85554,44481,..,..,..,..,44481,..,22,0,19,0,19,..,29090,5655,34741,327,35074,..,4,0,4,0,4,..,4930,3305,8231,24,8260,..,5152,5349,10496,53,10554,..,483,352,837,8,845,..,10564,9002,19564,90,19657,..,653,135,786,3,789,..,41,0,43,0,43,..,242,12,254,8,257,..,212,0,218,3,218
CED106,23,2729,..,15,3,20,0,20,..,3,0,6,0,6,..,930,145,1073,13,1083,..,156,13,169,0,173,..,349,51,400,3,402,..,5,0,9,0,9,..,69,3,76,0,76,..,278,3,278,0,278,..,365,29,400,4,400,..,368,8,374,5,375,..,60,4,66,0,66,..,1071,45,1114,6,1124,..,664,50,711,3,714,..,262,11,275,3,275,..,221,61,287,0,287,..,68,7,72,0,72,..,296,46,341,0,343,..,1724,244,1967,57,2027,..,23783,5356,29139,216,29355,..,156,25,182,2944,3124,50822,23941,5379,29319,3161,83302,99972,..,..,..,..,99972,..,572,12,584,0,589,..,485,48,529,13,538,..,3,0,3,0,3,..,7573,1468,9040,43,9089,..,12198,4160,16354,76,16431,..,454,138,592,0,593,..,20219,5769,25989,120,26112,..,159,16,174,0,179,..,348,7,356,5,354,..,597,12,613,7,616,..,741,18,754,3,762
CED107,0,54,..,10,0,5,0,8,..,22,0,22,0,22,..,33,3,34,0,34,..,44,3,48,0,48,..,59,7,65,0,65,..,14,0,14,0,14,..,40,3,39,0,39,..,86,5,91,0,91,..,27,0,28,0,28,..,143,5,146,3,153,..,33,0,33,0,33,..,289,11,298,3,303,..,103,12,108,0,108,..,44,9,51,0,53,..,83,25,105,0,108,..,14,4,19,0,19,..,65,20,92,3,90,..,593,109,698,16,713,..,2734,434,3166,48,3209,..,202,11,205,6178,6391,71060,2931,439,3369,6226,80662,140402,..,..,..,..,140402,..,171,0,174,0,174,..,223,32,259,0,259,..,67,9,72,0,77,..,163,93,257,4,262,..,230,79,315,3,312,..,18,9,26,0,26,..,410,185,592,4,599,..,86,13,103,4,105,..,105,0,106,3,108,..,128,7,139,4,137,..,286,15,305,3,303
CED108,3,291,..,70,17,89,0,88,..,588,71,662,3,666,..,244,111,351,4,354,..,258,97,354,3,358,..,105,14,126,0,125,..,1566,130,1702,37,1737,..,186,52,231,0,231,..,2345,76,2422,21,2444,..,301,60,358,0,363,..,5082,202,5293,53,5344,..,207,10,222,0,222,..,7945,350,8293,81,8371,..,664,186,846,8,857,..,642,82,721,0,726,..,140,28,169,0,169,..,452,170,619,10,630,..,294,135,426,6,437,..,4555,1129,5687,106,5797,..,31793,5305,37099,421,37518,..,335,69,398,4545,4949,44274,32124,5372,37500,4969,86738,88651,..,..,..,..,88651,..,56,0,57,0,57,..,5190,1100,6290,44,6338,..,28,0,27,3,31,..,783,495,1282,11,1291,..,962,556,1522,13,1528,..,94,36,131,0,131,..,1842,1091,2928,24,2951,..,680,137,813,3,822,..,108,3,107,4,109,..,322,23,348,7,350,..,262,28,294,9,302
CED109,0,104,..,575,74,647,12,663,..,108,4,114,0,117,..,44,8,49,0,49,..,143,9,150,5,153,..,322,69,389,0,395,..,28,0,33,0,33,..,199,23,221,3,223,..,127,4,131,0,137,..,173,13,191,0,189,..,239,3,249,3,247,..,35,0,38,3,37,..,580,28,610,7,610,..,735,97,831,9,840,..,21,0,21,0,21,..,199,54,259,3,260,..,113,23,137,0,137,..,193,34,232,0,232,..,1166,177,1349,36,1379,..,13287,2163,15449,163,15607,..,160,17,177,3234,3407,52550,13445,2175,15621,3389,71568,102805,..,..,..,..,102805,..,116,4,119,0,123,..,2391,182,2580,22,2599,..,4,0,4,0,4,..,1706,507,2216,18,2235,..,2113,813,2926,20,2941,..,122,28,155,0,155,..,3947,1352,5291,34,5326,..,499,47,543,7,551,..,168,3,172,0,174,..,362,9,371,3,374,..,419,18,444,10,450
CED110,0,38,..,6,0,6,0,6,..,23,0,23,0,23,..,10,21,33,0,33,..,42,3,46,0,44,..,46,3,51,0,51,..,8,0,8,0,8,..,17,0,24,0,24,..,109,3,109,0,111,..,39,0,40,0,40,..,159,0,158,3,164,..,27,0,27,0,27,..,328,3,330,3,335,..,174,18,191,0,193,..,10,0,10,0,10,..,109,28,130,4,132,..,12,0,17,0,17,..,56,15,73,3,75,..,712,297,1011,28,1030,..,3148,593,3748,76,3823,..,280,15,294,5601,5896,72555,3433,612,4044,5679,82275,140405,..,..,..,..,140405,..,115,0,111,0,113,..,198,25,222,0,220,..,126,14,134,7,142,..,121,54,174,9,176,..,210,103,309,5,319,..,35,9,49,3,45,..,365,164,532,13,544,..,36,5,37,0,40,..,234,3,239,0,241,..,298,15,316,9,325,..,486,8,495,14,512
