CED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED101,2766,3921,6687,8054,9449,17501,13,13,25,1486,1860,3353,7,10,19,17702,19870,37573,63,81,141,6235,6412,12648,147,206,353,143,150,297,99,133,232,932,912,1848,327,479,812,544,712,1255,1292,1518,2805,117,179,302,70,109,180,1309,1725,3036,1783,2082,3872,148,161,308,40483,46067,86544,2619,2298,4912,3876,3680,7551,93,93,181,4,3,8,248,215,465,204,227,431,458,446,905,19622,17600,37221,158,140,299,86,111,193,19866,17842,37704,5619,5689,11311,75773,80026,155806
CED102,3764,5078,8849,3815,4329,8141,22,20,46,604,678,1282,7,10,20,17038,18459,35489,76,92,168,11248,11739,22984,184,208,392,100,124,216,91,102,190,757,787,1548,344,385,728,510,622,1129,934,1033,1965,117,159,274,93,117,208,729,976,1711,2118,2291,4408,45,50,100,38820,42176,80990,4868,3883,8751,7032,6145,13186,139,129,264,5,4,12,144,139,283,249,282,534,409,425,829,22417,21103,43524,203,179,380,114,137,251,22739,21417,44155,7953,7871,15827,85720,87129,172850
CED103,3136,4200,7337,7010,8077,15088,15,12,26,1632,1978,3608,146,192,345,18542,20878,39423,84,100,191,1719,1790,3503,95,154,247,121,102,219,160,185,346,974,1025,1996,478,547,1022,880,985,1864,3181,3629,6810,62,93,160,117,138,259,1772,2214,3992,1955,2224,4179,48,60,105,39000,44381,83378,3641,3304,6945,2042,1847,3890,205,218,426,3,0,3,341,331,670,321,328,650,670,661,1330,26894,25286,52184,246,173,416,82,129,214,27221,25590,52814,6450,6382,12833,82368,86580,168948
CED104,1718,2240,3953,11514,13117,24631,0,8,7,1664,1857,3521,110,128,230,16516,17813,34328,96,89,191,844,861,1701,106,127,231,135,139,271,217,262,476,170,193,361,386,428,814,984,1082,2067,1920,2076,4001,69,80,150,375,480,859,2707,3333,6032,1596,1790,3389,83,90,173,39499,43945,83437,2315,2317,4632,883,858,1741,130,156,286,0,3,10,296,266,560,266,327,593,562,598,1162,20766,18218,38989,263,207,471,85,127,221,21115,18560,39673,5082,5169,10251,71298,73835,145136
CED105,6508,7815,14323,3593,4055,7648,39,37,82,882,1011,1895,6,12,17,16270,17268,33535,34,36,74,3938,3885,7828,141,214,351,220,225,444,83,108,196,371,388,754,314,347,666,663,713,1375,995,1106,2101,65,117,181,126,120,246,921,1018,1939,1834,1887,3724,85,73,157,30587,32624,63212,2894,2269,5167,27204,23786,50997,18,20,38,0,3,7,369,265,631,251,261,506,618,530,1147,12751,10608,23358,81,59,141,57,54,110,12891,10717,23609,8353,7783,16138,89077,85554,174634
CED106,2043,3012,5061,12031,14410,26448,4,3,7,830,1014,1841,11,9,22,14050,16280,30332,69,71,140,788,855,1647,61,85,147,59,73,126,196,266,468,295,297,588,335,370,699,640,774,1417,2135,2486,4630,50,50,101,263,348,613,2797,3808,6611,1454,1741,3200,70,100,171,36143,43049,79196,2496,2477,4970,869,873,1741,1710,1714,3430,0,0,3,338,303,641,345,387,731,682,690,1375,26492,24697,51187,258,205,460,88,121,212,26839,25025,51856,6159,6461,12624,76948,83302,160255
CED107,399,573,971,16859,18680,35538,0,0,3,1060,1150,2208,323,322,650,21892,23604,45498,48,63,106,288,240,525,206,260,468,87,92,180,132,194,331,30,26,59,418,433,854,599,722,1325,2690,2922,5613,206,224,434,143,189,333,3878,4520,8401,1423,1589,3013,38,34,74,50337,55279,105615,306,283,585,241,198,438,29,29,50,32,27,59,88,90,179,155,232,393,275,349,630,18615,15849,34466,169,129,301,72,96,173,18859,16076,34935,10194,7869,18068,80634,80662,161298
CED108,1092,1222,2312,8253,9420,17667,73,63,136,938,1013,1952,8,11,15,25265,27412,52679,262,289,549,1340,1394,2735,292,378,672,762,839,1605,104,101,210,1109,1126,2228,1054,1054,2109,1543,1786,3325,1434,1701,3135,98,129,228,476,547,1024,1420,1567,2991,3017,3373,6386,112,106,213,47551,52314,99860,6080,5892,11970,7229,6942,14170,16,24,38,3,14,16,2143,1751,3895,266,320,590,2413,2085,4499,13215,11494,24707,136,89,221,52,55,108,13403,11638,25038,6724,6630,13351,84513,86738,171249
CED109,789,1224,2017,11285,13441,24730,7,9,17,805,893,1700,4,0,3,18590,20934,39515,50,62,103,6386,6597,12985,103,149,255,77,74,154,121,169,286,684,668,1358,253,277,535,511,598,1108,1296,1528,2826,93,141,231,38,41,83,1541,2094,3635,1301,1477,2774,50,55,108,43186,49215,92398,472,449,917,1024,980,2002,98,137,237,12,8,17,81,71,157,109,110,220,203,194,392,16325,13893,30220,160,131,295,46,102,145,16536,14124,30656,5202,5239,10441,67499,71568,139062
CED110,611,878,1491,15464,18264,33732,3,0,5,862,965,1828,0,4,7,15845,18089,33936,56,68,118,181,219,403,394,523,915,102,120,226,160,219,376,24,26,47,251,310,561,947,1190,2133,2648,3114,5765,323,439,762,537,684,1226,2999,3825,6827,1760,2169,3926,72,91,163,42640,50318,92959,222,203,426,243,259,502,68,68,132,45,56,94,204,183,382,182,322,500,425,556,980,23977,21628,45610,226,197,422,134,248,384,24342,22074,46414,8496,7919,16415,77043,82275,159321
CED111,930,1233,2164,10817,12782,23596,9,6,19,689,750,1444,146,134,280,18487,20656,39141,82,93,171,3472,3511,6982,232,356,587,105,110,218,231,311,542,99,97,194,206,266,475,710,931,1644,1690,2004,3696,193,231,429,89,116,205,2326,2917,5245,2196,2316,4511,52,75,120,41831,47664,89492,667,488,1158,1819,1605,3418,57,46,102,14,14,26,52,35,85,193,277,466,260,323,581,24373,20626,44996,305,238,544,122,184,312,24793,21059,45851,6511,6094,12607,76868,78513,155380
