CED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED101,429,521,946,188,180,371,326,790,1114,267,1326,1596,931,2167,3100,953,1015,1969,2386,896,3279,1977,968,2949,2773,1052,3831,2752,745,3493,2394,633,3031,2463,479,2941,5265,705,5972,3725,111,3839,2607,80,2682,1892,250,2145,4364,68,4428,3644,287,3934,491,662,1160,39829,12940,52765
CED102,650,854,1499,283,257,535,374,767,1135,304,1121,1426,1080,1906,2988,957,959,1919,2614,959,3574,2206,1180,3384,2906,1375,4277,3022,1062,4087,2625,937,3558,2642,766,3411,5516,1278,6794,3973,316,4290,2840,201,3038,2002,404,2408,4025,177,4206,3910,624,4538,464,488,950,42379,15632,58015
CED103,708,892,1605,258,244,497,309,730,1041,218,1018,1236,790,1837,2627,792,1055,1845,1868,982,2851,1807,1144,2950,2632,1342,3973,2670,1085,3752,2422,1004,3426,2429,819,3248,5361,1287,6647,4138,249,4390,3058,125,3185,2612,533,3140,6754,184,6933,3915,426,4344,387,506,892,43126,15464,58587
CED104,260,207,466,144,118,259,176,315,493,108,512,619,507,1098,1605,434,802,1240,1327,605,1936,1342,639,1981,1970,648,2618,2042,462,2512,1737,374,2109,1951,309,2262,4277,479,4756,3633,60,3691,2979,37,3013,2773,231,3005,8466,47,8508,4087,108,4202,352,323,678,38561,7392,45955
CED105,670,526,1192,241,184,429,573,917,1485,476,1356,1829,1509,1936,3445,1656,845,2498,3176,776,3952,2941,802,3747,3535,836,4379,3246,557,3809,2636,387,3025,2358,287,2647,4204,420,4621,2708,160,2866,1638,102,1738,1103,131,1234,1897,149,2046,3742,439,4174,638,616,1251,38948,11412,50367
CED106,616,462,1076,220,172,389,249,385,631,139,545,681,515,1099,1615,558,878,1437,1117,722,1839,1222,850,2079,1961,935,2895,2041,764,2804,1716,744,2458,1928,567,2499,4252,1039,5293,3342,122,3463,2635,77,2714,3250,769,4016,12028,105,12135,4600,223,4817,397,378,773,42782,10840,53619
CED107,269,435,711,231,276,510,349,1161,1510,333,1820,2157,1295,3785,5078,1329,1629,2957,3475,1433,4909,2573,1461,4030,3366,1431,4802,3328,914,4234,2450,703,3150,2535,579,3113,4667,691,5357,3153,78,3228,2036,56,2091,1236,267,1503,2318,49,2368,3964,285,4252,765,1107,1871,39672,18158,57831
CED108,373,295,671,168,125,292,404,648,1057,394,1050,1441,1137,1626,2763,1308,612,1917,2873,681,3554,2447,861,3310,3253,826,4078,3432,556,3987,2906,401,3311,2929,295,3223,5800,352,6150,3657,87,3746,2268,30,2294,1304,92,1402,2210,34,2239,3674,194,3863,712,572,1285,41260,9325,50580
CED109,312,364,681,150,170,320,193,570,760,148,984,1134,647,2033,2679,598,1175,1776,1655,1089,2743,1567,1187,2757,2229,1289,3516,2183,940,3117,1849,872,2715,2030,634,2665,4412,1051,5466,3641,139,3775,2715,87,2804,2174,476,2647,5934,79,6012,3728,263,3997,477,648,1134,36653,14047,50704
CED110,296,388,687,208,238,448,295,1272,1564,358,2266,2628,1523,4734,6254,1657,2267,3928,4993,1808,6794,3619,1769,5393,4366,1437,5805,4020,810,4834,2623,538,3156,2531,408,2938,4130,491,4621,2441,95,2535,1310,40,1352,802,236,1037,1404,44,1447,3748,331,4084,787,1316,2109,41111,20486,61604
