CED_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
CED123,0,55,0,55,..,1091,35,1130,16,1147,..,393,46,438,4,437,..,178,13,185,0,191,..,74,18,100,0,99,..,154,25,177,3,183,..,127,32,158,0,157,..,1928,330,2259,71,2334,..,11169,1288,12456,189,12653,..,204,25,225,5067,5295,64153,11371,1313,12686,5257,82100,65666,..,..,..,..,65666,..,41,0,41,0,41,..,937,134,1073,13,1082,..,13,0,17,0,15,..,200,100,300,0,303,..,489,169,657,4,663,..,32,13,38,0,38,..,720,281,1005,3,1004,..,326,50,373,4,374,..,108,3,112,3,114,..,131,4,136,0,136,..,184,7,196,3,194,..,427,70,497,7,504,..,163,10,165,3,171,..,728,48,774,13,788,..,589,109,701,6,702,..,169,5,172,0,172,..,298,37,329,0,333,..,380,60,442,9,447,..,2319,268,2584,28,2612,..,422,58,476,5,486,..,45,3,42,0,42,..,125,47,171
CED124,0,4,0,4,..,66,3,68,0,68,..,65,11,79,0,83,..,9,0,8,0,8,..,24,4,28,4,26,..,3,0,3,0,3,..,16,0,16,0,16,..,235,37,271,22,289,..,1325,134,1457,42,1504,..,186,10,194,4648,4846,64915,1514,140,1658,4693,71269,67552,..,..,..,..,67552,..,46,3,52,0,52,..,24,0,26,3,29,..,37,3,44,3,48,..,52,23,73,0,74,..,53,17,69,0,76,..,0,3,4,0,6,..,109,38,149,3,149,..,20,0,20,0,26,..,77,3,80,0,80,..,74,3,81,0,81,..,185,5,190,9,195,..,46,3,55,3,53,..,10,0,11,0,11,..,17,0,19,0,19,..,25,0,20,0,20,..,4,0,3,0,3,..,6,0,6,0,6,..,28,3,26,0,26,..,81,8,89,0,89,..,83,8,85,0,86,..,41,3,46,0,46,..,11,6,24
CED125,3,89,0,90,..,1521,76,1597,7,1606,..,1156,147,1305,23,1322,..,205,12,217,0,221,..,118,41,158,4,162,..,103,16,117,4,120,..,321,114,437,3,442,..,2768,531,3291,90,3382,..,18109,2298,20411,269,20686,..,202,49,254,4131,4385,54708,18318,2346,20662,4402,79776,55775,..,..,..,..,55775,..,107,0,102,0,102,..,2058,402,2458,9,2468,..,17,0,17,3,20,..,334,206,533,3,536,..,508,247,756,6,756,..,60,15,74,3,79,..,898,469,1369,6,1373,..,330,34,362,3,367,..,47,3,49,0,50,..,239,3,242,0,242,..,171,6,176,0,179,..,390,52,442,0,447,..,1270,165,1432,10,1441,..,1488,105,1599,19,1621,..,400,60,465,4,471,..,178,8,187,0,187,..,499,50,549,6,555,..,634,102,741,3,738,..,4471,500,4972,42,5014,..,538,78,616,4,618,..,44,6,55,0,56,..,80,29,108
CED126,0,20,0,20,..,428,24,448,5,455,..,445,27,476,9,486,..,21,0,23,0,23,..,98,17,113,0,115,..,26,10,37,0,37,..,93,29,125,4,126,..,2028,291,2314,18,2331,..,8677,1076,9754,87,9839,..,172,19,184,3283,3473,59205,8849,1094,9940,3374,72523,60929,..,..,..,..,60929,..,160,5,163,0,163,..,117,7,132,0,129,..,0,0,0,0,0,..,386,116,504,3,507,..,753,249,1000,9,1006,..,38,9,44,0,44,..,1177,374,1549,10,1558,..,237,29,270,5,275,..,281,3,284,3,285,..,423,6,430,5,436,..,647,14,660,4,668,..,219,13,235,5,240,..,27,0,27,0,27,..,120,12,134,0,134,..,154,31,184,0,184,..,10,0,16,0,16,..,18,6,21,0,21,..,197,23,222,0,219,..,532,65,599,0,598,..,870,121,991,8,994,..,315,42,353,0,353,..,169,78,247
CED127,3,16,0,16,..,146,7,152,0,149,..,227,22,253,3,257,..,19,0,20,0,20,..,47,16,67,0,67,..,25,0,25,0,25,..,75,11,93,0,93,..,545,118,661,24,682,..,3545,408,3951,58,4006,..,154,20,175,3411,3587,61454,3697,431,4126,3471,69050,64204,..,..,..,..,64204,..,57,0,57,0,57,..,132,17,151,0,151,..,23,0,23,0,25,..,128,55,187,0,187,..,222,48,271,3,270,..,14,3,23,0,23,..,364,111,474,3,480,..,100,9,112,3,109,..,144,4,142,0,142,..,180,4,189,0,189,..,321,8,325,0,325,..,159,20,177,0,177,..,0,0,0,0,0,..,59,0,62,0,62,..,25,3,26,0,26,..,10,0,10,0,10,..,33,4,33,0,33,..,15,0,12,0,12,..,142,4,143,0,143,..,260,18,277,7,285,..,86,14,98,0,98,..,56,17,76
CED128,3,58,3,61,..,1404,47,1448,15,1466,..,1341,276,1619,25,1644,..,355,22,376,3,383,..,90,30,121,0,124,..,883,166,1050,10,1059,..,2643,1040,3684,11,3692,..,7628,2713,10337,149,10486,..,33849,8755,42607,460,43063,..,208,84,296,3729,4018,35142,34062,8840,42895,4185,82230,34864,..,..,..,..,34864,..,14,0,14,0,14,..,8067,2168,10235,101,10339,..,4,0,4,0,5,..,968,587,1563,8,1574,..,1036,769,1807,8,1813,..,231,119,353,5,357,..,2236,1484,3721,26,3744,..,762,140,902,4,904,..,31,3,36,0,36,..,158,8,162,3,162,..,113,4,117,3,113,..,583,117,698,3,705,..,102,14,114,0,114,..,1004,66,1075,20,1096,..,393,50,440,4,445,..,137,10,145,0,145,..,385,51,435,7,443,..,589,69,651,0,652,..,2605,258,2860,33,2892,..,1404,302,1701,26,1730,..,28,7,30,3,36,..,108,59,171
CED129,0,39,0,39,..,1290,35,1327,7,1336,..,621,51,675,3,673,..,838,19,858,4,862,..,91,30,122,0,122,..,218,23,235,0,235,..,217,29,243,0,248,..,1794,246,2044,57,2102,..,21238,2917,24161,196,24356,..,153,30,189,1843,2028,48715,21392,2954,24345,2041,75103,49436,..,..,..,..,49436,..,289,7,292,4,294,..,1364,113,1474,6,1483,..,0,0,0,0,0,..,2104,569,2668,12,2683,..,3766,1484,5253,38,5290,..,195,52,250,0,250,..,6069,2105,8168,47,8214,..,311,28,340,3,343,..,103,4,106,0,106,..,187,8,198,0,196,..,241,4,245,0,246,..,517,44,556,10,564,..,254,14,271,0,271,..,1509,60,1573,11,1577,..,581,68,652,4,662,..,641,25,665,4,664,..,431,22,458,4,468,..,611,44,660,6,662,..,4031,244,4278,29,4308,..,645,80,722,6,733,..,143,6,153,0,156,..,1206,523,1728
CED130,0,21,0,21,..,327,9,339,7,347,..,53,7,58,0,57,..,31,5,34,0,36,..,45,6,50,0,50,..,3,3,10,0,10,..,64,27,89,0,89,..,443,101,548,18,566,..,2492,526,3010,49,3057,..,211,15,225,6128,6356,65979,2698,541,3239,6176,75391,69448,..,..,..,..,69448,..,69,0,69,0,73,..,139,42,180,0,182,..,26,3,32,0,36,..,81,25,109,4,110,..,229,107,332,4,337,..,17,8,21,0,21,..,321,141,463,9,466,..,3,0,5,0,5,..,53,0,53,0,54,..,74,7,84,0,83,..,142,3,147,0,148,..,36,3,40,0,42,..,49,3,50,0,50,..,71,4,74,3,76,..,56,11,72,0,72,..,38,0,37,0,41,..,30,4,35,0,31,..,135,9,145,0,142,..,374,35,409,4,415,..,76,5,79,0,84,..,44,7,48,0,53,..,38,29,65
CED131,0,49,0,46,..,269,5,270,5,270,..,232,20,254,5,263,..,102,0,102,0,100,..,62,31,91,0,93,..,30,4,32,0,32,..,155,62,219,0,219,..,1165,235,1396,27,1426,..,6316,1036,7359,72,7431,..,184,28,220,3725,3946,64102,6504,1068,7570,3800,75477,65501,..,..,..,..,65501,..,55,0,52,0,56,..,212,99,305,3,307,..,14,0,14,4,17,..,224,58,282,3,286,..,789,186,973,0,978,..,83,33,110,0,112,..,1096,271,1369,8,1377,..,92,23,109,0,115,..,58,0,58,0,58,..,148,8,158,0,156,..,215,9,224,0,224,..,320,82,408,6,417,..,94,7,101,0,101,..,142,7,147,0,147,..,68,8,76,3,78,..,72,4,76,0,75,..,76,9,87,0,84,..,115,10,126,0,125,..,569,38,616,4,616,..,372,81,454,4,453,..,88,9,97,0,97,..,149,58,206
CED132,0,48,0,48,..,760,19,782,3,788,..,724,53,783,0,784,..,177,9,189,0,189,..,255,94,345,3,348,..,71,7,80,0,80,..,190,32,227,0,227,..,1891,264,2160,58,2219,..,17783,2816,20603,176,20780,..,172,25,198,4260,4454,52559,17959,2838,20796,4440,77797,53694,..,..,..,..,53694,..,152,0,155,0,155,..,314,48,358,3,363,..,5,0,5,0,5,..,3067,659,3724,18,3750,..,4405,1327,5732,32,5765,..,242,66,311,0,306,..,7717,2047,9765,55,9822,..,229,31,255,3,260,..,141,6,148,0,146,..,593,23,614,12,621,..,417,16,424,3,430,..,478,55,532,9,541,..,137,14,148,4,151,..,709,32,742,4,743,..,81,7,93,0,95,..,98,0,98,0,98,..,105,8,116,0,116,..,613,41,659,3,666,..,1743,103,1852,11,1863,..,730,82,812,10,822,..,1233,340,1580,12,1586,..,921,364,1283
CED133,0,14,0,15,..,89,4,89,5,94,..,107,9,118,0,118,..,18,0,18,0,18,..,43,3,52,0,52,..,3,0,3,0,3,..,19,19,44,0,44,..,376,106,475,17,498,..,2325,381,2704,49,2752,..,211,20,232,5907,6138,69519,2534,399,2930,5957,78413,71691,..,..,..,..,71691,..,51,3,51,0,51,..,22,0,22,0,26,..,86,0,84,8,94,..,60,18,78,3,82,..,114,67,182,3,182,..,13,0,16,0,11,..,188,92,277,7,278,..,7,0,7,0,7,..,106,0,112,4,114,..,105,3,107,0,109,..,251,3,252,3,258,..,40,3,43,4,44,..,12,0,12,0,12,..,42,0,48,0,48,..,418,99,522,7,531,..,14,0,13,0,13,..,21,3,21,0,27,..,21,3,21,0,23,..,528,113,644,12,651,..,206,27,232,9,242,..,76,3,83,0,87,..,17,4,27
CED134,0,13,0,13,..,192,5,200,0,197,..,43,3,49,0,49,..,56,5,64,0,63,..,13,5,18,0,18,..,14,0,14,0,11,..,26,9,34,0,34,..,414,59,474,4,482,..,2146,266,2416,30,2444,..,221,17,230,7319,7551,66388,2369,277,2647,7346,76385,67488,..,..,..,..,67488,..,85,0,88,0,88,..,55,4,61,3,60,..,93,8,101,5,110,..,66,32,97,0,97,..,126,35,161,4,163,..,7,0,5,0,5,..,198,67,264,4,265,..,23,3,26,0,26,..,30,0,30,0,30,..,39,0,39,0,39,..,109,3,108,3,109,..,52,8,56,0,57,..,43,8,46,0,46,..,63,4,64,0,64,..,35,8,43,0,41,..,69,9,78,0,80,..,40,15,54,0,53,..,175,14,188,0,193,..,431,52,483,3,487,..,83,5,89,0,88,..,21,6,26,0,28,..,15,11,27
CED135,0,89,0,89,..,1688,71,1758,15,1776,..,670,98,771,7,776,..,3101,364,3465,26,3494,..,124,42,169,4,170,..,644,143,787,11,800,..,544,135,680,5,684,..,6302,1119,7417,172,7589,..,46443,8908,55348,533,55879,..,259,90,346,5742,6092,32440,46697,8991,55692,6274,94404,30839,..,..,..,..,30839,..,34,0,34,0,34,..,5957,1215,7171,63,7237,..,3,0,3,0,3,..,3299,1560,4856,27,4882,..,4980,2729,7715,42,7752,..,254,123,381,0,381,..,8531,4411,12944,67,13015,..,247,62,309,7,312,..,46,0,46,0,46,..,173,6,177,0,184,..,138,3,141,3,147,..,447,143,592,6,598,..,743,72,818,10,828,..,3702,268,3966,31,3999,..,1350,193,1541,17,1555,..,451,24,472,4,475,..,782,87,870,12,883,..,4320,610,4939,42,4980,..,11353,1254,12609,106,12717,..,461,75,539,7,543,..,168,39,210,0,210,..,1592,1009,2604
CED136,0,7,0,7,..,143,3,148,0,145,..,130,15,141,0,148,..,19,0,19,0,19,..,35,10,46,0,46,..,13,0,15,0,15,..,50,9,61,0,66,..,433,98,534,16,549,..,2260,327,2587,47,2635,..,171,18,186,4582,4763,69032,2431,342,2772,4624,76430,71374,..,..,..,..,71374,..,108,0,110,3,109,..,55,12,69,3,73,..,15,0,15,0,15,..,80,40,119,0,126,..,143,96,242,0,243,..,9,6,12,0,9,..,230,143,375,3,378,..,48,6,51,0,51,..,54,0,57,0,57,..,95,8,97,0,97,..,135,3,137,3,140,..,63,5,72,0,76,..,26,3,26,0,26,..,69,3,70,0,70,..,79,8,92,0,92,..,9,0,11,0,15,..,37,0,38,0,38,..,45,8,54,0,54,..,266,27,289,0,289,..,109,9,115,5,122,..,44,3,48,0,48,..,23,21,47
CED137,0,59,0,59,..,1093,52,1146,17,1163,..,764,94,857,13,869,..,1610,118,1735,14,1745,..,201,80,282,4,285,..,433,57,493,3,491,..,892,160,1054,5,1057,..,2891,427,3321,83,3400,..,36990,8375,45364,400,45771,..,178,69,246,6885,7131,36722,37173,8442,45615,7285,89626,36593,..,..,..,..,36593,..,52,0,56,0,56,..,1736,263,1994,20,2013,..,3,0,3,0,3,..,4239,1557,5802,36,5834,..,9012,3424,12432,77,12512,..,485,202,682,3,685,..,13735,5181,18915,112,19028,..,346,56,403,3,403,..,51,0,55,0,55,..,237,12,254,3,254,..,193,8,198,4,203,..,1336,299,1638,8,1649,..,227,11,242,0,242,..,1357,66,1423,9,1424,..,192,20,212,0,214,..,115,0,115,3,117,..,309,26,330,0,330,..,1743,127,1868,9,1880,..,3946,250,4196,24,4217,..,3412,789,4203,38,4238,..,265,49,317,3,321,..,3692,2333,6019
CED138,0,13,0,13,..,125,0,128,3,133,..,196,12,208,5,207,..,7,0,7,0,7,..,61,4,69,3,71,..,19,4,25,0,25,..,33,5,37,0,37,..,631,68,705,20,721,..,2876,264,3142,65,3210,..,201,14,219,5960,6183,64372,3077,285,3358,6031,73762,68745,..,..,..,..,68745,..,38,0,38,0,38,..,31,4,35,0,35,..,20,4,21,0,27,..,55,19,75,3,77,..,146,40,191,0,187,..,18,0,18,0,18,..,216,66,284,0,286,..,19,3,22,0,22,..,113,0,113,5,120,..,272,16,283,3,288,..,420,4,431,3,433,..,69,0,69,0,65,..,10,0,10,0,9,..,35,0,35,0,35,..,129,22,152,7,158,..,7,0,7,0,7,..,8,0,7,0,7,..,29,0,29,0,29,..,218,23,241,4,251,..,220,18,242,9,250,..,245,45,283,4,290,..,20,12,32
CED139,0,21,0,21,..,298,15,313,0,312,..,60,9,67,0,64,..,44,27,70,0,70,..,17,0,17,0,20,..,12,0,8,0,8,..,51,12,67,4,65,..,701,202,903,14,924,..,2729,524,3257,50,3308,..,184,17,198,6239,6434,67425,2916,537,3456,6286,77163,69921,..,..,..,..,69921,..,74,3,82,0,82,..,220,42,259,5,271,..,65,0,68,0,70,..,74,46,121,0,123,..,153,112,265,5,271,..,19,11,26,0,26,..,244,169,410,8,416,..,32,0,32,0,34,..,42,0,42,0,38,..,51,0,51,0,51,..,80,0,82,0,82,..,59,0,59,0,59,..,46,6,52,3,53,..,76,5,78,0,75,..,51,11,62,0,62,..,43,8,47,0,47,..,47,6,48,0,48,..,70,14,84,3,85,..,323,42,362,3,373,..,75,9,84,9,88,..,21,3,19,0,19,..,43,10,52
CED140,0,29,0,29,..,208,10,215,5,222,..,310,36,345,0,347,..,37,0,37,0,37,..,73,23,100,0,100,..,35,6,43,0,43,..,57,18,77,0,78,..,728,123,846,19,865,..,3997,549,4544,50,4597,..,214,22,235,3614,3852,60856,4216,570,4785,3660,69297,64246,..,..,..,..,64246,..,122,0,121,0,121,..,113,16,131,0,126,..,14,5,17,0,17,..,158,76,229,0,234,..,393,172,567,7,573,..,20,8,26,0,26,..,574,254,828,9,835,..,67,0,68,0,69,..,109,3,111,3,114,..,215,10,224,0,224,..,279,6,287,4,293,..,155,18,172,5,179,..,24,0,25,0,25,..,76,4,82,0,82,..,42,9,55,0,59,..,25,0,24,0,24,..,18,0,18,0,18,..,57,13,67,0,70,..,242,32,277,3,275,..,236,24,256,7,263,..,142,19,155,0,155,..,151,55,205
CED141,0,14,0,14,..,112,4,118,4,118,..,116,13,126,0,126,..,26,3,32,0,33,..,35,11,45,0,47,..,12,3,15,0,15,..,28,10,39,0,41,..,373,91,461,22,480,..,2425,333,2755,65,2815,..,165,5,171,2895,3064,64667,2592,336,2930,2957,70552,67372,..,..,..,..,67372,..,36,0,38,0,38,..,53,0,56,0,56,..,19,0,19,0,19,..,118,39,159,0,159,..,184,49,226,0,226,..,16,11,27,0,24,..,312,98,408,0,413,..,43,4,44,0,44,..,79,3,81,0,83,..,88,5,89,0,89,..,169,0,170,5,182,..,113,12,126,0,126,..,15,0,19,0,19,..,67,3,76,0,76,..,25,0,33,0,28,..,14,3,16,0,16,..,13,4,16,0,16,..,36,8,38,0,36,..,173,18,189,0,193,..,188,19,206,3,210,..,47,3,53,0,53,..,45,14,54
CED142,3,143,0,141,..,2700,230,2924,18,2945,..,1672,111,1785,15,1800,..,179,4,186,0,182,..,1569,989,2562,14,2576,..,228,33,264,7,274,..,793,166,958,12,962,..,2577,360,2937,51,2990,..,28849,5627,34475,272,34746,..,210,33,243,13330,13578,55383,29062,5661,34723,13603,103705,46713,..,..,..,..,46713,..,50,0,50,0,50,..,442,92,533,3,533,..,25,0,23,0,24,..,2435,815,3253,12,3268,..,9712,2221,11935,54,11987,..,649,253,900,3,904,..,12797,3287,16091,74,16160,..,111,6,118,0,118,..,201,0,199,0,199,..,1017,40,1057,6,1066,..,526,13,539,4,540,..,742,210,948,11,958,..,109,9,117,0,117,..,501,23,521,3,525,..,59,0,59,0,63,..,55,0,61,3,62,..,54,0,53,0,53,..,207,21,225,0,230,..,989,49,1035,10,1044,..,754,50,800,3,803,..,792,196,993,11,996,..,1221,487,1704
CED143,0,23,0,23,..,329,16,343,0,347,..,710,32,741,11,752,..,30,0,31,0,31,..,118,25,146,0,146,..,59,6,63,0,63,..,111,19,130,0,130,..,1956,245,2207,47,2252,..,9702,1055,10755,118,10877,..,145,14,160,4161,4327,55839,9848,1066,10914,4280,71036,58639,..,..,..,..,58639,..,158,3,157,0,157,..,120,11,132,0,132,..,0,0,0,0,0,..,609,123,725,8,733,..,1100,314,1418,17,1433,..,50,14,65,0,65,..,1754,454,2203,20,2225,..,173,13,187,0,185,..,303,10,311,4,314,..,984,27,1011,10,1021,..,747,27,779,9,781,..,382,19,405,6,407,..,39,0,39,0,39,..,157,8,169,0,166,..,71,10,79,0,79,..,34,0,34,0,34,..,21,0,22,0,22,..,209,9,220,0,220,..,526,34,558,0,554,..,783,119,901,13,914,..,506,76,585,8,598,..,200,89,290
CED144,21,117,4,120,..,2107,224,2331,25,2358,..,695,86,781,16,797,..,373,23,395,3,399,..,177,82,254,3,259,..,257,49,310,0,309,..,2120,911,3034,19,3052,..,3366,1036,4398,120,4520,..,45847,10820,56669,584,57256,..,244,145,388,4651,5035,25318,46089,10962,57058,5232,87610,24420,..,..,..,..,24420,..,15,0,15,0,15,..,12592,2615,15204,130,15338,..,9,0,9,0,9,..,2498,1763,4258,6,4268,..,3312,2558,5870,35,5910,..,211,148,361,3,361,..,6025,4470,10489,45,10541,..,190,30,225,0,228,..,18,4,17,0,21,..,247,12,259,3,260,..,97,7,106,4,108,..,3411,1139,4553,73,4621,..,2840,515,3359,27,3379,..,850,62,913,14,925,..,224,36,261,7,265,..,58,9,66,0,66,..,1531,262,1795,19,1815,..,1444,122,1562,13,1575,..,6954,997,7954,75,8024,..,1943,404,2349,38,2387,..,145,16,165,0,165,..,1311,1090,2400
CED145,0,28,0,31,..,345,14,361,0,359,..,1094,64,1153,7,1163,..,32,0,32,0,32,..,116,29,148,0,145,..,70,9,77,0,77,..,102,19,119,0,123,..,2631,216,2845,33,2881,..,11071,992,12061,83,12142,..,160,17,175,6621,6793,50914,11229,1006,12237,6700,69848,54223,..,..,..,..,54223,..,99,0,94,0,97,..,170,14,184,3,187,..,3,0,3,0,8,..,557,59,621,3,624,..,885,214,1103,6,1105,..,77,18,98,4,103,..,1516,295,1812,16,1828,..,107,7,112,0,112,..,177,5,179,0,187,..,1132,41,1169,14,1183,..,643,10,651,5,658,..,818,74,890,10,901,..,33,8,37,0,37,..,102,6,106,0,107,..,30,0,29,0,29,..,17,0,19,0,19,..,19,6,23,0,23,..,63,4,69,0,69,..,262,25,282,3,289,..,932,59,991,7,996,..,365,40,407,4,413,..,182,27,206
CED146,21,129,3,130,..,1664,76,1744,12,1752,..,1865,306,2168,21,2193,..,209,19,225,0,225,..,142,56,191,0,197,..,631,86,718,0,722,..,3682,1379,5061,27,5091,..,6670,1373,8038,129,8172,..,37642,6614,44264,508,44770,..,272,89,360,4641,5004,34543,37915,6706,44621,5146,84312,33791,..,..,..,..,33791,..,32,0,32,0,32,..,6774,1688,8455,83,8537,..,9,0,9,0,11,..,840,466,1306,6,1321,..,721,414,1134,11,1143,..,310,136,449,5,451,..,1873,1016,2892,19,2917,..,601,90,691,10,697,..,30,0,30,0,30,..,204,10,215,3,217,..,99,3,103,0,103,..,739,111,849,11,860,..,914,84,1001,11,1015,..,3620,228,3847,35,3880,..,241,33,273,3,272,..,140,9,152,0,155,..,762,53,821,6,823,..,902,89,992,4,1002,..,6583,499,7082,64,7144,..,1629,310,1936,29,1962,..,36,5,39,0,39,..,47,37,79
