CED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED101,1343,1183,2526,4274,4000,8278,1309,1331,2637,452,474,927,6040,5806,11840,3165,3036,6200,1383,1294,2668,568,658,1232,5113,4988,10106,241,236,477,228,418,641,478,191,668,396,610,1005,16,12,23,1354,1466,2819,2727,2914,5641,930,1000,1930,324,306,622,625,796,1420,24,26,52,4622,5042,9669,253,327,582,313,549,858,7,3,13,573,879,1451,3762,4014,7778,22806,23383,46188
CED102,1249,1163,2407,4147,3735,7883,1299,1295,2593,481,495,976,5926,5526,11457,2752,2643,5395,1327,1245,2578,532,555,1087,4615,4440,9052,364,359,728,408,584,989,450,207,653,615,754,1370,20,11,35,1855,1913,3775,3673,3662,7337,1844,1781,3624,301,361,665,828,1042,1871,30,27,56,6679,6877,13553,594,642,1239,605,868,1477,19,20,43,1220,1531,2749,5626,5625,11249,27166,27074,54236
CED103,1404,1407,2815,4679,4360,9038,1273,1240,2512,489,420,911,6446,6014,12462,3049,2858,5916,1382,1275,2655,699,672,1379,5135,4815,9947,276,327,596,387,565,947,348,149,500,540,926,1471,13,16,26,1562,1981,3535,4577,4719,9297,1675,1748,3431,406,434,839,965,1217,2183,30,18,51,7652,8146,15801,265,287,554,348,609,960,4,10,13,618,906,1519,3636,3818,7451,26446,27084,53527
CED104,1475,1318,2794,5171,4953,10128,964,926,1892,866,737,1603,7005,6613,13623,3461,3269,6731,1218,1368,2582,1471,1121,2596,6153,5762,11914,170,150,318,90,178,272,581,200,780,330,574,907,3,11,10,1176,1110,2285,2521,2775,5294,424,523,951,387,351,743,686,1001,1685,18,17,39,4027,4677,8705,97,113,211,217,377,596,6,10,11,317,501,820,2697,3056,5753,22860,23035,45896
CED105,1416,1295,2710,4754,4329,9086,1524,1439,2963,1422,1424,2847,7700,7194,14895,3747,3808,7558,1320,1196,2518,1022,934,1960,6093,5939,12039,434,393,829,441,723,1160,505,202,709,527,710,1241,24,13,37,1930,2044,3973,3125,3117,6241,1411,1062,2470,367,353,721,502,606,1110,22,24,49,5427,5159,10587,522,658,1176,477,795,1272,17,27,39,1017,1478,2493,6790,6276,13060,30376,29392,59761
CED106,1648,1540,3187,5393,4998,10395,927,824,1751,1713,1577,3289,8034,7400,15441,2616,2316,4936,1010,1329,2341,3148,3114,6265,6773,6764,13537,163,157,318,175,285,456,247,130,373,378,730,1108,3,7,12,962,1319,2278,3078,3444,6523,699,820,1516,398,331,730,867,1197,2064,24,17,40,5062,5810,10867,149,182,334,321,585,904,0,7,7,468,777,1243,3177,3623,6808,26128,27238,53364
CED107,1495,1419,2911,4962,4518,9479,1700,1712,3412,565,510,1078,7223,6743,13969,3289,2936,6222,1200,1364,2569,824,788,1618,5316,5092,10410,154,251,405,104,230,342,643,457,1096,589,1047,1634,24,21,40,1514,2001,3514,734,1184,1913,281,407,689,119,238,357,520,1128,1643,6,11,12,1658,2960,4617,72,94,168,168,346,511,3,10,12,244,452,696,9155,7356,16512,26599,26023,52622
CED108,1510,1372,2886,5832,5326,11160,1819,1750,3564,1008,940,1943,8653,8018,16675,3633,3652,7283,2046,1883,3933,733,790,1531,6415,6331,12747,351,343,696,270,542,811,505,329,830,452,840,1292,24,29,49,1611,2076,3681,1950,2186,4134,581,733,1316,318,333,656,489,710,1197,29,29,59,3374,3990,7358,304,388,687,312,532,844,9,19,24,626,937,1558,5683,5834,11513,27862,28551,56416
CED109,1356,1163,2520,4050,3675,7729,1313,1286,2599,370,380,755,5736,5341,11078,2575,2441,5014,1284,1295,2576,567,679,1251,4425,4416,8846,120,182,304,88,144,234,579,201,776,378,522,898,16,12,25,1178,1059,2236,1438,1808,3244,315,366,681,233,268,503,542,869,1417,9,26,33,2543,3335,5880,64,115,182,218,419,639,9,11,21,291,540,832,3653,3837,7489,19189,19695,38881
CED110,1479,1302,2785,3940,3868,7810,1435,1444,2877,949,852,1802,6325,6162,12489,2619,2566,5184,1437,1370,2803,854,860,1722,4907,4798,9705,178,262,445,129,391,520,474,365,839,463,958,1422,13,15,24,1257,1995,3249,352,658,1014,217,450,671,83,167,246,421,910,1331,4,4,11,1080,2196,3272,85,122,205,185,410,593,11,14,22,278,541,824,6837,6952,13792,22170,23943,46111
CED111,1537,1433,2968,4433,4215,8645,1297,1321,2617,536,477,1005,6263,6008,12271,2851,2719,5570,1399,1520,2915,508,467,980,4762,4706,9460,224,262,482,208,305,521,655,295,946,461,672,1138,19,15,29,1565,1556,3117,3640,3480,7124,1534,1124,2660,309,362,674,748,1199,1949,12,13,29,6244,6187,12430,138,152,290,209,434,648,3,8,15,348,596,947,4579,4717,9300,25301,25193,50491
CED112,1690,1499,3189,5207,4724,9932,1125,1123,2253,723,670,1391,7060,6516,13572,3435,3391,6823,955,1008,1962,638,659,1300,5025,5061,10085,166,243,406,101,226,328,642,377,1021,437,837,1278,12,12,28,1365,1700,3060,795,1064,1860,279,516,793,184,242,430,427,987,1416,5,21,23,1692,2834,4524,96,162,256,192,458,649,7,13,16,289,627,917,5015,5584,10605,22133,23826,45960
CED113,1262,1015,2274,4347,4134,8482,1347,1182,2524,480,476,949,6171,5784,11958,2854,2795,5650,1218,1243,2460,550,516,1067,4620,4554,9177,128,160,296,62,134,192,545,363,904,472,802,1273,17,16,31,1224,1476,2698,515,719,1232,255,398,648,111,203,313,620,1147,1768,3,11,15,1498,2480,3984,107,110,214,166,389,558,7,8,16,278,511,786,6691,6373,13065,21742,22196,43937
CED114,1512,1396,2903,4672,4425,9096,1609,1640,3242,592,613,1206,6873,6679,13551,3302,3313,6613,1228,1287,2518,601,707,1310,5127,5307,10439,149,193,343,101,235,340,582,360,935,508,887,1399,14,15,25,1349,1695,3038,428,877,1304,177,342,515,95,169,262,363,794,1157,4,9,12,1061,2182,3245,84,122,203,186,387,580,10,14,26,281,526,804,7763,7917,15685,23964,25705,49668
CED115,1100,991,2091,4821,4436,9253,1312,1303,2620,444,386,830,6576,6129,12702,4407,4296,8703,1082,1171,2258,418,432,847,5904,5898,11799,445,421,861,410,657,1065,432,207,635,429,708,1133,32,34,68,1756,2019,3769,2439,2978,5417,561,642,1200,315,376,695,382,506,888,21,21,42,3726,4515,8241,400,551,954,361,747,1108,19,35,50,785,1325,2112,6118,6221,12345,25961,27095,53050
CED116,1333,1215,2553,4433,4160,8595,744,701,1447,387,425,806,5562,5285,10848,2941,2912,5847,759,785,1542,534,457,990,4232,4150,8387,142,143,283,95,178,268,529,305,832,343,669,1013,18,21,43,1131,1308,2438,399,624,1019,176,378,553,75,144,219,355,821,1172,4,11,16,1016,1972,2986,77,104,184,151,381,529,9,13,23,236,498,738,6775,6398,13169,20279,20828,41106
