CED_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
CED101,1410,3642,9144,8457,8122,5833,1449,165,21,38234,3,4,16,11,18,8,8,0,0,67,0,0,4,10,5,10,0,0,0,29,25,58,238,311,422,284,48,4,0,1390,0,8,30,37,46,7,0,0,0,130,12,39,200,213,229,100,29,3,0,827,11,75,240,293,262,159,28,3,0,1078,467,731,841,652,627,431,77,10,3,3829,616,383,503,286,392,219,23,0,0,2423,11,83,292,362,332,199,28,0,0,1307,14,70,201,160,79,34,14,0,0,577,16,133,700,782,577,230,36,0,0,2481,16,89,186,165,127,78,22,3,0,670,39,292,808,702,507,310,60,5,0,2727,20,113,344,298,317,191,33,3,0,1321,9,77,356,515,500,331,44,4,0,1833,115,298,853,884,1076,844,166,11,0,4249,109,569,1604,1297,1447,1120,235,10,3,6392,77,94,95,101,78,51,17,0,0,518,52,151,251,278,254,169,36,6,0,1195
CED102,1268,4101,13809,10313,8089,5243,1269,123,18,44229,0,0,14,8,4,6,0,0,0,39,0,3,12,15,8,0,0,0,0,40,20,75,306,294,324,237,30,0,0,1288,0,0,28,40,25,9,0,0,0,107,4,56,248,197,160,76,17,0,0,749,11,58,304,291,226,108,19,3,0,1013,407,852,1274,751,689,346,76,6,0,4406,474,607,1099,442,395,261,40,3,0,3317,20,114,388,475,379,200,28,0,0,1603,11,76,333,246,145,53,11,0,0,879,14,164,996,794,490,191,21,0,3,2680,11,68,265,147,111,69,11,0,0,673,41,345,1272,804,541,242,47,0,0,3289,23,195,709,423,359,258,60,9,0,2028,9,84,426,551,553,278,57,0,0,1959,92,301,1003,934,946,561,102,19,0,3965,92,585,2240,1394,1327,943,220,11,0,6816,32,95,172,122,83,35,11,0,0,554,27,124,368,292,250,164,31,0,0,1263
CED103,1343,3677,11107,10255,8591,5984,1629,207,30,42823,0,9,16,18,13,10,0,0,0,61,0,0,5,13,11,3,0,0,0,32,45,102,372,386,400,208,36,0,0,1550,0,3,41,58,37,21,3,0,0,165,11,40,206,244,217,112,17,4,0,844,15,76,490,485,346,197,38,3,0,1648,454,761,926,571,579,386,90,9,0,3778,485,510,580,334,326,178,36,0,3,2449,3,32,153,162,169,117,14,0,0,655,32,95,443,379,213,89,10,3,0,1265,10,160,913,836,548,257,32,0,3,2767,26,87,283,182,160,82,29,0,0,858,49,435,1440,1070,838,447,110,10,0,4397,18,104,315,339,327,214,38,9,0,1357,13,50,367,408,422,324,43,8,0,1645,157,433,1062,1030,1221,896,199,24,0,5023,92,578,1712,1509,1623,1328,311,26,0,7170,58,86,133,93,84,22,10,4,0,497,57,134,303,304,290,196,40,3,0,1329
CED104,1949,3491,5452,8112,9277,6892,2225,291,31,37734,10,17,27,45,69,70,31,10,0,281,0,3,4,10,8,9,0,0,0,34,63,75,149,306,335,213,57,3,0,1205,0,8,19,40,38,24,4,0,0,124,17,50,148,287,338,174,53,9,0,1071,18,69,179,362,379,209,42,0,0,1263,609,711,420,528,629,425,108,8,0,3447,657,310,169,195,251,135,27,7,0,1752,21,22,51,106,145,96,21,0,0,451,28,85,174,224,188,84,21,0,0,811,21,112,388,607,545,279,38,6,0,1994,21,78,100,139,182,110,37,3,0,665,72,317,595,955,953,488,155,14,0,3545,21,76,133,231,281,206,64,8,0,1017,9,54,194,398,429,315,50,0,0,1450,186,400,659,1153,1670,1250,291,22,0,5633,156,585,924,1399,1924,1497,379,24,0,6891,92,85,80,94,87,44,13,0,0,501,72,116,193,241,318,189,53,3,0,1188
CED105,1364,4260,11163,8227,7025,4886,956,68,12,37961,0,3,11,4,14,6,0,0,0,39,0,0,4,4,0,0,0,0,0,13,13,74,302,366,525,357,38,0,0,1670,0,9,13,23,21,13,0,0,0,79,6,52,175,169,128,60,3,0,0,592,11,65,199,200,221,109,14,0,0,828,392,736,794,553,487,311,54,4,0,3328,408,408,488,241,348,209,22,7,0,2128,3,54,195,207,198,141,8,0,0,812,19,59,120,63,48,30,3,0,0,354,13,156,507,303,252,107,18,0,0,1356,13,42,109,83,67,27,3,0,0,348,21,215,510,295,197,112,32,0,0,1382,21,124,292,235,272,189,14,0,0,1149,7,80,260,269,265,152,30,0,0,1066,77,311,739,600,518,368,72,8,0,2690,113,704,1585,1149,1099,748,145,3,0,5541,29,62,67,49,42,30,8,0,0,285,54,139,334,272,200,135,24,0,0,1159
CED106,1456,3059,6741,9320,9622,6240,2261,448,60,39207,0,3,12,13,21,27,9,4,0,90,0,0,14,20,18,6,3,0,0,59,39,60,196,283,258,145,40,6,0,1024,0,0,17,36,31,7,3,0,0,93,3,41,111,182,204,90,17,0,0,654,16,57,242,360,363,182,41,0,6,1257,516,641,547,504,542,359,123,23,3,3246,511,431,298,242,245,141,31,3,3,1896,0,19,104,122,142,79,19,3,0,495,58,91,252,332,237,116,17,3,0,1099,17,102,634,999,759,282,61,5,0,2858,19,64,169,210,248,99,50,9,0,862,77,408,985,1323,1300,606,205,19,0,4933,10,80,196,257,311,182,62,12,0,1101,7,41,222,345,349,234,58,4,0,1270,225,400,675,924,1362,990,298,26,3,4902,138,532,1273,1519,1813,1347,421,48,0,7086,69,91,94,98,114,41,15,8,0,530,75,110,221,241,279,156,38,9,0,1140
CED107,1934,2985,6993,6972,7636,6170,2074,425,73,35256,25,52,105,141,244,266,303,91,13,1237,4,30,118,92,73,25,8,0,0,344,71,77,190,245,273,168,52,3,0,1069,0,4,29,47,40,28,3,0,0,155,18,47,134,147,166,119,16,3,0,655,22,35,64,67,94,73,15,4,0,386,682,555,762,696,757,524,119,12,5,4112,694,494,479,417,458,337,80,3,0,2962,6,36,58,112,174,122,30,3,0,546,31,43,77,65,57,37,10,0,0,313,10,48,172,144,157,99,19,0,0,648,13,51,72,103,98,72,21,0,0,431,29,89,297,367,322,228,70,9,0,1404,29,53,199,248,367,237,53,4,0,1196,20,103,519,648,648,424,65,3,0,2434,65,238,808,1195,1293,927,154,11,4,4688,133,574,1505,1529,1906,1606,253,19,5,7523,46,45,64,69,54,52,18,0,0,357,62,135,255,251,239,145,42,4,0,1126
CED108,1775,4199,9778,9256,7786,5142,998,62,5,38994,4,8,24,40,49,24,3,0,0,156,0,0,10,8,4,0,0,0,0,24,38,112,365,426,529,375,32,0,0,1872,3,3,42,47,53,22,0,0,0,171,24,67,187,179,132,86,15,0,0,698,22,85,300,282,272,150,17,0,0,1125,480,732,929,782,669,356,46,0,0,4008,719,408,412,263,288,152,22,4,0,2272,21,123,305,366,379,222,18,0,0,1438,34,46,140,101,53,27,10,0,0,407,32,214,695,534,384,190,20,0,0,2066,20,49,115,66,53,30,9,0,0,340,30,201,494,314,179,105,20,0,0,1342,23,147,379,287,274,172,30,0,0,1321,16,128,404,446,494,308,49,3,0,1843,53,279,667,593,566,385,65,3,0,2612,128,648,1820,1765,1624,1161,201,5,0,7355,38,67,73,59,48,32,4,0,0,321,56,119,221,175,164,126,26,5,0,886
CED109,1544,3044,7134,8014,8002,5826,1794,260,39,35664,3,4,10,11,11,10,5,0,0,50,0,0,10,4,4,3,0,0,0,26,58,46,193,255,337,227,45,4,3,1168,0,3,20,36,32,21,0,0,0,116,16,48,187,293,241,123,40,4,0,948,19,52,199,264,230,176,27,3,0,966,483,545,651,668,743,517,134,11,0,3755,604,359,334,267,280,175,47,7,0,2076,17,92,358,423,544,284,39,0,0,1757,15,57,171,127,65,34,5,0,0,473,12,108,457,574,451,252,32,9,3,1891,31,116,201,187,187,97,46,9,0,875,42,292,688,704,576,383,107,10,0,2810,15,89,268,338,316,188,61,7,0,1279,12,81,425,501,459,284,48,3,0,1807,116,286,854,859,1011,957,186,8,3,4278,107,444,1217,1262,1481,1203,298,21,0,6040,82,78,110,120,110,41,15,3,0,559,73,123,329,272,274,169,52,3,3,1295
CED110,1774,2344,5203,5924,6696,5954,1697,243,31,29871,18,22,74,98,127,130,118,37,5,637,0,0,0,3,4,3,0,0,0,11,48,41,85,106,144,120,26,3,0,571,0,7,24,85,98,46,0,0,0,269,8,25,140,141,177,121,26,3,0,655,14,13,35,71,73,57,8,0,0,286,682,422,634,645,863,669,121,13,0,4052,796,453,546,465,503,404,67,12,0,3246,9,21,46,88,151,103,28,4,0,452,19,20,46,49,44,27,9,0,0,207,13,34,100,151,161,100,11,0,0,580,17,54,89,115,142,105,29,5,0,558,20,60,253,328,345,238,76,5,0,1324,25,50,188,256,354,229,50,7,0,1159,3,68,244,450,471,302,46,0,0,1576,42,163,632,891,1185,877,130,8,5,3927,128,472,1238,1553,2235,2117,330,17,0,8088,43,34,43,62,89,64,10,0,0,343,53,102,210,231,228,167,38,0,0,1033
