CED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED101,632,174,165,6,3,983,188,44,38,0,0,266,167,32,43,3,0,246,228,69,75,4,0,376,317,98,121,5,0,541,908,299,345,0,3,1553,971,360,524,3,0,1855,1942,703,759,11,7,3417,1450,537,313,4,4,2317,1883,599,198,3,9,2685,1492,286,88,0,3,1864,518,126,72,3,0,721,10683,3332,2741,30,33,16821
CED102,529,114,308,3,0,959,152,43,84,0,0,277,124,28,52,0,0,197,209,41,138,0,0,384,235,60,189,0,3,488,737,187,633,6,3,1557,736,202,889,6,3,1840,1495,377,1583,7,10,3467,1099,295,846,6,0,2249,1701,373,526,5,5,2606,1423,243,257,0,3,1926,535,100,188,3,3,831,8971,2067,5694,36,29,16790
CED103,850,174,224,0,6,1261,190,50,48,0,0,288,175,47,48,0,0,271,205,70,74,3,0,349,326,100,128,0,3,555,871,216,395,3,3,1489,717,235,572,3,4,1530,1586,544,1005,3,3,3138,1094,435,596,3,3,2137,1983,478,447,0,4,2920,2453,322,172,0,10,2950,571,119,108,0,3,796,11029,2780,3805,14,42,17675
CED104,1060,64,16,0,3,1140,288,16,10,0,0,317,238,11,3,0,0,260,344,28,10,0,0,375,444,32,18,0,4,493,1306,101,48,0,0,1460,1362,128,52,3,3,1543,2703,250,94,3,12,3067,2238,231,61,4,3,2531,3492,231,34,7,3,3771,3250,114,14,3,4,3386,762,43,9,0,3,812,17486,1251,369,23,33,19157
CED105,578,114,132,3,0,816,165,40,53,0,0,257,149,36,37,0,0,221,254,43,89,4,0,392,338,73,122,3,0,543,1029,267,507,14,3,1823,1125,331,629,6,0,2090,2066,619,591,10,9,3292,1259,331,169,8,11,1774,1297,291,85,3,5,1677,586,103,66,0,6,768,543,86,81,3,0,716,9386,2339,2557,60,36,14375
CED106,1043,32,207,0,0,1284,162,18,42,0,0,224,160,8,33,0,0,208,188,20,81,0,0,285,229,7,123,0,0,369,734,44,385,0,0,1167,735,51,480,0,0,1269,1534,95,1023,0,0,2656,1098,82,700,0,0,1881,2400,103,639,0,0,3151,5127,112,344,3,4,5588,704,26,127,0,0,852,14125,593,4195,4,17,18927
CED107,739,19,3,17,6,789,432,15,3,5,0,458,412,9,3,10,5,433,843,31,9,22,7,912,1229,36,13,20,9,1306,3295,80,32,56,21,3481,3433,75,15,50,18,3589,3602,40,5,31,20,3703,1516,9,3,7,6,1545,993,0,3,7,10,1019,554,3,0,3,7,566,765,13,6,10,9,799,17816,331,99,239,93,18586
CED108,641,57,13,0,0,712,251,23,9,0,0,275,223,22,0,0,0,244,406,41,9,0,0,461,590,57,14,0,5,663,1954,209,57,4,3,2223,2715,432,58,8,4,3211,4391,663,38,6,8,5102,2387,275,3,0,12,2684,1742,121,8,6,7,1876,643,61,4,0,5,718,728,75,10,3,0,813,16664,2027,222,35,34,18987
CED109,600,99,137,0,0,834,156,25,48,0,0,237,112,24,37,0,0,178,156,51,86,0,0,293,276,70,109,3,0,461,762,189,370,5,3,1331,740,244,547,0,4,1538,1494,430,824,3,3,2746,1235,367,480,3,8,2092,2166,491,335,3,12,2998,2761,285,163,6,4,3216,613,106,123,0,0,837,11073,2383,3252,23,35,16766
CED110,768,58,31,6,5,868,447,47,28,0,0,525,389,37,18,5,5,453,680,50,57,3,6,793,1025,75,65,4,9,1175,2562,210,142,10,15,2948,2837,200,114,3,12,3169,3034,142,63,5,21,3260,1044,42,13,6,9,1101,657,27,11,0,4,703,346,19,11,3,9,383,646,46,20,0,0,713,14429,938,574,46,99,16097
