CED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
CED117,11143,18295,19087,845,277,49645,1707,1427,2515,107,37,5799,293,392,608,46,77,1425,13148,20121,22216,996,387,56867
CED118,32704,9952,2747,99,137,45636,3566,934,475,29,22,5024,915,227,125,48,39,1354,37187,11113,3345,176,198,52020
CED119,33303,4551,4289,131,67,42342,2383,664,852,57,16,3969,567,116,151,16,26,881,36256,5327,5293,208,112,47189
CED120,39067,1753,411,208,153,41596,6126,843,318,145,45,7476,1032,132,25,28,24,1240,46231,2718,758,381,225,50315
CED121,40521,2681,680,227,182,44286,7769,1422,427,188,48,9843,1129,207,60,43,44,1481,49414,4313,1162,457,273,55614
CED122,15177,8071,29103,402,163,52915,2240,1073,4491,48,28,7890,425,256,1249,17,63,2004,17847,9402,34843,467,252,62803
CED123,37212,5661,2628,121,164,45775,5016,1434,1007,61,43,7558,968,330,146,20,27,1488,43198,7418,3782,200,226,54820
CED124,37381,2695,1648,750,258,42731,8746,1602,1080,521,67,12017,1212,187,140,95,33,1666,47346,4489,2867,1365,360,56417
CED125,36434,4543,1561,61,80,42687,4772,1575,511,28,20,6909,945,255,87,8,14,1307,42155,6373,2166,95,119,50901
CED126,30243,3542,10900,250,176,45109,1843,798,1800,36,30,4507,572,190,409,18,31,1215,32655,4522,13114,304,239,50828
CED127,39487,2516,711,114,190,43011,4443,958,313,72,48,5841,835,121,52,19,42,1070,44766,3596,1069,209,279,49918
CED128,30256,4800,5199,196,125,40568,4929,1100,1725,98,54,7905,989,217,279,21,42,1545,36175,6106,7202,311,216,50016
CED129,35615,5553,2852,15,82,44117,1932,420,582,0,12,2946,561,111,104,0,20,797,38110,6080,3537,15,111,47861
CED130,37881,1907,995,445,347,41573,11000,1060,781,286,109,13237,1461,177,120,49,44,1837,50339,3144,1891,780,501,56655
CED131,35318,6897,5329,154,192,47883,5587,1814,1972,44,40,9459,890,255,308,16,41,1504,41795,8963,7604,209,268,58846
CED132,19105,6566,30984,118,160,56927,1155,364,2807,13,13,4354,294,126,729,12,28,1184,20558,7053,34516,146,200,62469
CED133,40363,2597,1502,952,264,45678,9491,1346,986,582,72,12469,1420,159,166,96,41,1893,51279,4098,2654,1626,381,60035
CED134,35505,1152,1491,379,309,38836,12361,687,1313,239,131,14734,1716,74,200,85,53,2127,49585,1910,3002,706,500,55700
CED135,21364,8317,21484,245,214,51620,3141,1249,2874,29,32,7321,752,297,821,12,83,1959,25260,9854,25174,283,332,60905
CED136,38964,4550,1021,289,244,45071,7196,1710,530,151,151,9732,1100,204,89,125,128,1643,47257,6466,1640,566,519,56447
CED137,19106,5001,29418,418,276,54222,2738,493,2826,46,35,6145,480,150,988,24,54,1688,22323,5646,33230,488,370,62053
CED138,33626,7507,3834,1167,364,46495,5054,2471,1463,743,102,9831,1011,413,264,126,62,1886,39695,10394,5560,2036,528,58217
CED139,38636,1122,1972,327,235,42292,10506,756,1319,134,82,12799,1567,89,186,38,31,1909,50709,1973,3476,496,355,57001
CED140,34425,5466,4061,344,163,44456,4889,1911,1275,212,64,8341,885,286,226,22,52,1478,40193,7672,5559,575,275,54272
CED141,38618,3538,1401,222,70,43849,6936,1479,823,169,15,9433,1022,176,102,14,19,1331,46586,5192,2319,410,107,54618
CED142,1464,15072,53511,326,332,70702,240,1522,5842,49,37,7692,86,557,1873,45,145,2704,1786,17155,61223,419,516,81100
CED143,20879,4703,23283,168,135,49173,1309,360,2533,21,24,4244,376,114,570,27,30,1114,22563,5176,26380,220,188,54524
CED144,21005,7392,14681,257,169,43507,4046,1352,3096,59,22,8576,836,285,698,22,197,2035,25889,9029,18477,339,388,54119
CED145,9062,10644,30311,543,233,50785,471,651,3240,54,21,4444,209,253,1044,21,66,1593,9747,11540,34594,618,319,56820
CED146,34145,4664,507,44,198,39555,4875,1213,580,23,36,6732,1243,230,83,9,69,1623,40259,6104,1168,81,299,47915
CED147,38268,3993,1080,256,199,43796,6483,1520,675,221,47,8949,1058,236,103,52,34,1483,45809,5745,1857,532,285,54222
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
