SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10001,0,0,0,0,0,4,0,0,0,5,4,0,0,0,0,8,5,5,0,33
SAL10002,34,49,33,17,30,59,32,6,0,258,650,657,499,403,605,733,437,159,49,4200
SAL10003,39,28,41,53,48,41,72,56,60,431,799,448,543,740,763,720,751,455,212,5431
SAL10004,9,14,0,7,14,17,0,4,0,67,242,139,104,139,167,164,94,57,3,1127
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,4,5,0,21
SAL10006,47,35,20,20,12,25,13,5,0,186,520,334,370,284,313,318,246,123,30,2542
SAL10007,41,12,17,28,21,31,13,11,3,174,383,246,241,236,264,291,232,120,36,2051
SAL10008,5,0,5,0,3,0,0,0,0,21,27,18,10,13,17,14,22,7,0,121
SAL10009,129,58,65,81,48,36,20,9,0,445,1660,843,1034,1003,781,627,414,161,31,6552
SAL10010,49,31,24,21,26,26,21,4,4,199,572,297,341,312,304,355,222,121,24,2544
SAL10011,12,0,4,4,0,0,0,0,0,19,61,43,41,36,66,39,23,8,3,317
SAL10012,0,5,0,0,4,0,0,0,0,16,3,6,3,4,9,3,0,0,0,29
SAL10013,0,0,0,0,0,3,4,0,0,10,4,0,6,6,3,12,10,0,0,30
SAL10014,17,5,14,15,18,9,7,4,0,93,818,458,483,648,519,414,223,83,16,3668
SAL10015,15,0,4,12,3,11,8,9,0,73,51,26,29,33,46,68,47,42,6,339
SAL10016,70,63,75,44,52,51,35,22,7,416,1071,924,1083,860,770,728,484,300,109,6335
SAL10017,58,22,27,45,37,29,19,17,15,275,1237,609,605,832,766,543,477,407,143,5621
SAL10018,16,4,10,5,3,14,10,4,0,72,142,95,93,95,118,166,133,77,23,938
SAL10019,3,0,0,0,0,8,3,0,0,25,20,15,8,12,6,22,16,5,0,101
SAL10020,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,7,3,0,32
SAL10021,12,10,8,11,15,6,13,0,0,72,188,149,120,103,162,137,96,33,10,996
SAL10022,147,94,65,69,44,41,25,5,0,489,878,519,461,442,337,302,217,95,16,3265
SAL10023,18,3,5,0,0,3,0,0,0,29,26,24,21,16,19,32,23,7,4,165
SAL10024,5,0,0,5,0,0,0,0,0,9,15,4,7,9,12,12,12,5,3,77
SAL10025,212,118,120,110,99,107,74,56,115,998,2855,1841,1868,1717,1871,1690,1110,591,285,13826
SAL10026,141,74,70,72,61,55,46,22,20,564,1207,837,919,759,787,925,797,457,220,6920
SAL10027,55,41,37,52,59,57,38,18,6,365,721,555,564,575,678,644,698,370,145,4955
SAL10028,11,141,325,221,78,31,6,0,0,816,108,193,380,287,128,140,126,68,9,1443
SAL10029,0,0,4,0,0,5,0,5,0,15,30,10,22,9,14,31,21,12,0,151
