SAL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,11,..,0,0,0,0,5,0,3,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,7,0,3,0,24
SAL10002,..,6,0,0,0,0,4,0,0,15,..,0,4,3,0,14,18,15,5,61,7,3,4,0,0,4,0,0,0,22,303,338,232,203,327,369,204,76,25,2076,..,3,126,261,454,574,324,89,20,1847,..,8,22,27,37,18,3,0,0,116,..,3,9,17,45,43,21,17,3,156,624,..,..,..,..,..,..,..,..,624,..,341,..,..,..,..,..,..,..,341,..,252,282,76,22,18,0,0,0,644,..,12,17,4,17,17,32,28,14,137,..,0,9,4,4,5,0,0,0,21,..,5,0,0,5,3,8,3,0,24,..,0,8,6,5,29,41,21,7,119,8,6,10,3,3,7,0,0,5,43,633,632,488,398,590,714,420,155,49,4069
SAL10003,..,6,16,8,8,7,10,4,5,55,..,7,20,37,49,67,98,88,45,413,7,4,6,5,4,4,6,0,8,35,371,227,268,382,395,366,372,225,92,2702,..,6,179,436,449,391,451,244,63,2214,..,8,127,99,59,63,44,6,3,410,..,0,9,44,81,48,16,14,13,234,761,..,..,..,..,..,..,..,..,761,..,266,..,..,..,..,..,..,..,266,..,114,97,37,37,23,3,0,0,309,..,17,9,5,8,13,14,13,8,87,..,0,9,3,0,0,0,0,3,20,..,7,27,14,22,16,13,8,5,106,..,8,38,69,89,127,158,127,58,670,18,6,8,13,8,6,4,6,5,70,784,427,513,712,738,691,703,423,152,5142
SAL10004,..,0,0,0,0,5,0,0,0,6,..,0,3,0,0,5,17,6,5,38,0,0,0,0,0,0,0,0,0,7,124,65,50,79,85,87,46,24,3,561,..,0,46,99,120,112,64,31,0,478,..,3,15,20,10,4,0,0,0,59,..,0,7,13,21,10,0,0,0,46,240,..,..,..,..,..,..,..,..,240,..,61,..,..,..,..,..,..,..,61,..,44,17,5,3,0,0,0,0,70,..,4,0,3,0,0,0,4,5,16,..,3,0,0,0,0,0,0,0,7,..,3,5,5,0,4,5,0,0,17,..,0,3,4,3,15,19,11,5,66,6,6,0,0,0,0,0,0,0,19,242,131,98,137,159,151,96,54,3,1080
SAL10005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,..,0,0,0,0,3,3,6,0,11,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,5,0,24
SAL10006,..,0,3,3,5,4,6,0,0,24,..,3,12,11,17,43,33,19,12,154,18,4,8,0,0,3,0,0,6,40,245,154,180,142,150,167,129,67,15,1247,..,3,103,111,147,133,117,58,4,687,..,49,107,32,40,32,12,0,0,267,..,14,33,49,42,22,12,14,6,187,478,..,..,..,..,..,..,..,..,478,..,102,..,..,..,..,..,..,..,102,..,107,41,19,11,4,0,0,0,187,..,15,17,5,10,14,11,6,8,85,..,4,7,4,3,0,0,0,0,31,..,0,11,3,5,10,9,3,0,57,..,10,28,27,42,68,69,42,9,302,24,8,7,0,3,7,5,0,6,64,499,317,361,261,307,308,239,124,30,2447
SAL10007,..,0,5,5,7,5,0,0,0,20,..,8,12,8,14,14,27,14,6,111,0,4,3,0,5,0,0,5,0,23,173,114,129,111,119,135,110,52,17,953,..,3,64,129,124,164,125,60,14,681,..,44,86,33,42,17,15,6,0,245,..,0,15,20,19,11,6,3,6,78,362,..,..,..,..,..,..,..,..,362,..,77,..,..,..,..,..,..,..,77,..,77,18,8,8,3,0,0,0,112,..,5,0,3,5,8,6,6,0,33,..,9,3,0,0,4,0,0,0,15,..,0,8,8,7,13,3,0,0,40,..,17,28,24,39,48,54,36,10,249,5,11,5,6,9,0,5,5,0,42,370,244,227,226,253,265,215,109,34,1942
SAL10008,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,11,9,6,14,3,13,0,0,53,..,0,3,6,12,12,12,7,0,54,..,0,0,6,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,26,..,..,..,..,..,..,..,..,26,..,8,..,..,..,..,..,..,..,8,..,7,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,4,26,17,14,13,17,14,22,7,0,118
SAL10009,..,8,10,4,4,9,4,0,0,47,..,0,15,15,26,46,33,24,4,160,13,13,15,3,9,3,3,0,0,52,806,426,520,501,417,319,214,77,22,3300,..,21,400,625,480,426,287,93,11,2337,..,101,271,142,73,37,16,5,0,649,..,8,78,77,91,33,12,7,9,311,1585,..,..,..,..,..,..,..,..,1585,..,310,..,..,..,..,..,..,..,310,..,289,90,26,19,8,0,0,0,436,..,18,18,7,8,13,17,16,9,107,..,26,24,16,12,3,0,0,0,83,..,17,33,12,10,16,7,0,0,101,..,9,43,45,47,59,48,29,9,284,29,21,22,11,11,7,8,0,0,121,1613,817,988,958,747,605,403,153,31,6317
SAL10010,..,6,3,3,5,8,3,0,0,32,..,0,0,0,9,26,23,21,10,95,3,3,0,6,0,0,0,0,0,20,263,130,172,154,126,161,110,66,18,1187,..,8,118,148,137,178,111,59,12,767,..,25,105,51,54,29,10,4,0,278,..,8,32,37,29,15,12,8,3,143,541,..,..,..,..,..,..,..,..,541,..,83,..,..,..,..,..,..,..,83,..,114,45,21,19,3,0,0,0,206,..,13,8,3,8,19,14,11,0,71,..,8,3,0,4,8,3,0,0,27,..,10,13,11,7,15,9,3,0,66,..,8,13,15,29,52,39,35,7,201,17,10,3,6,5,6,0,3,0,47,556,282,330,298,289,323,205,122,23,2428
