SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
SAL10002,24,83,15,26,9,188,21,7,72,33,32,4,172,0,0,0,0,4,0,13,3,0,7,7,40,0,54,4,3,12,11,11,8,49,96,43,465,249,468,49,1372
SAL10003,26,106,19,15,3,250,81,14,129,27,15,11,281,9,3,11,0,9,0,32,5,0,15,12,42,3,76,7,3,31,15,23,8,94,407,117,911,316,399,72,2219
SAL10004,10,25,3,9,0,57,13,9,26,16,26,0,95,0,0,3,0,4,0,8,0,0,0,3,9,0,17,0,0,5,0,7,0,7,36,24,122,66,201,10,463
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9
SAL10006,0,12,9,12,0,46,3,0,27,29,80,5,143,0,0,0,0,3,0,7,0,0,0,3,34,0,36,3,0,0,0,12,0,19,14,11,69,102,433,12,647
SAL10007,11,18,5,13,5,46,5,0,13,20,29,0,67,0,0,0,6,0,0,4,0,0,0,0,29,0,37,0,0,3,0,11,8,19,13,16,63,61,380,11,537
SAL10008,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,11,10,14,5,42
SAL10009,14,89,22,58,0,201,30,26,120,94,166,14,453,0,0,4,0,4,0,11,3,0,10,21,84,0,122,3,0,8,10,37,5,57,85,59,397,378,1273,57,2255
SAL10010,0,13,3,16,0,38,0,10,25,34,73,4,140,0,0,0,0,0,0,4,0,0,0,5,25,0,29,0,0,0,5,16,3,24,5,15,69,92,467,19,675
SAL10011,0,4,0,0,0,4,0,0,4,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,6,0,3,0,6,9,17,73,6,108
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,10
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,7
SAL10014,9,68,13,14,0,144,46,8,112,42,33,7,247,0,0,0,4,3,0,10,3,0,14,8,32,4,59,9,0,10,12,19,11,60,246,55,571,235,353,60,1516
SAL10015,0,3,0,0,0,5,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,21,15,48,7,93
SAL10016,26,165,30,36,3,327,92,36,258,76,122,12,594,0,0,8,7,15,0,32,4,0,13,21,53,5,88,8,0,17,13,25,7,68,288,111,946,370,789,53,2559
SAL10017,26,160,29,28,6,314,68,28,206,51,69,12,435,4,0,7,3,7,0,18,0,4,16,11,42,0,80,0,0,17,7,11,13,42,272,109,813,335,611,60,2203
SAL10018,6,7,3,5,0,26,3,0,12,6,12,0,31,0,0,0,0,4,0,4,0,0,0,0,15,0,17,0,0,0,0,10,3,18,12,8,36,31,148,17,256
SAL10019,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,23
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SAL10021,3,4,5,6,0,31,0,0,18,7,9,5,41,0,0,0,0,5,0,7,0,0,0,0,13,0,13,0,0,3,0,7,4,16,27,7,58,43,166,12,322
SAL10022,0,4,4,6,0,25,8,6,28,16,41,4,103,0,0,0,0,3,0,5,0,0,6,4,8,0,10,0,0,0,3,11,8,22,52,11,85,73,156,23,399
SAL10023,0,3,0,0,0,3,0,0,0,0,5,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,13,3,38
SAL10024,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,0,23
SAL10025,48,198,82,94,7,495,47,44,222,225,385,21,937,3,0,9,9,25,0,48,9,0,17,30,181,9,236,7,0,15,10,67,12,115,199,122,833,822,2553,126,4663
SAL10026,18,45,35,66,3,181,19,22,83,104,227,14,457,0,0,0,6,3,0,14,5,0,3,5,69,0,90,0,0,3,6,43,14,72,58,54,253,326,1163,77,1928
SAL10027,32,120,27,20,7,258,76,34,196,58,76,13,454,3,0,6,0,5,0,15,0,3,12,11,36,8,60,5,0,11,12,14,7,50,249,119,660,298,534,49,1906
