SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL10001,6,0,8,0,0,0,0,0,7,12
SAL10002,305,462,254,154,379,206,119,131,31,2037
SAL10003,600,960,192,148,407,212,40,85,51,2701
SAL10004,98,137,84,65,91,56,35,49,0,618
SAL10005,3,0,0,4,0,0,0,0,0,10
SAL10006,67,85,189,203,94,121,147,155,20,1078
SAL10007,70,74,214,102,82,59,180,140,21,947
SAL10008,39,7,4,3,3,4,3,8,0,71
SAL10009,317,500,560,500,419,320,391,315,47,3372
SAL10010,87,98,210,140,124,87,175,162,11,1094
SAL10011,16,12,31,25,17,12,32,21,6,170
SAL10012,10,0,0,0,4,0,0,3,0,17
SAL10013,5,0,0,0,0,0,0,7,0,11
SAL10014,267,563,192,188,341,175,124,117,31,1989
SAL10015,35,14,15,13,12,0,13,22,3,134
SAL10016,397,1075,441,429,452,282,141,245,23,3486
SAL10017,404,930,342,313,346,214,117,165,41,2860
SAL10018,46,47,56,40,46,39,64,63,10,421
SAL10019,19,4,5,0,4,0,3,6,0,42
SAL10020,3,0,0,0,0,0,0,3,0,11
SAL10021,84,74,93,43,70,41,40,44,9,506
SAL10022,49,81,91,121,70,62,107,132,22,725
SAL10023,6,13,6,3,0,6,0,8,0,48
SAL10024,23,6,8,6,0,0,0,0,0,41
SAL10025,612,1052,1206,990,932,680,674,693,104,6936
SAL10026,256,340,491,506,359,272,326,337,55,2929
SAL10027,414,743,282,264,315,213,93,163,40,2529
SAL10028,36,40,40,54,32,34,24,30,3,293
SAL10029,32,13,6,4,11,3,9,6,0,82
SAL10030,1454,2945,453,391,724,407,109,164,97,6742
SAL10031,287,419,213,132,305,123,65,60,19,1622
SAL10032,12,4,7,3,8,6,3,8,0,57
SAL10033,0,0,0,0,0,0,0,0,0,0
SAL10034,4,11,3,0,10,5,0,4,0,35
SAL10035,15,12,3,3,9,0,0,0,0,49
SAL10036,768,1017,390,357,442,305,95,175,42,3599
SAL10037,5,11,6,0,4,3,3,4,0,41
SAL10038,251,691,292,318,341,250,151,311,55,2651
SAL10039,13,7,6,4,0,0,4,3,0,31
SAL10040,4,9,6,10,9,3,3,6,0,64
SAL10041,7,5,11,5,9,9,15,18,3,85
SAL10042,3,5,0,0,3,4,4,0,0,25
SAL10043,14,4,0,0,4,0,0,3,0,29
SAL10044,19,20,10,7,9,7,0,3,0,75
SAL10045,51,50,36,34,24,19,5,17,3,236
SAL10046,313,537,327,361,297,216,101,263,37,2461
SAL10047,12,8,8,0,3,0,0,5,7,42
SAL10048,3,6,0,3,0,3,3,5,0,21
SAL10049,247,325,334,316,355,289,361,327,62,2605
SAL10050,3,0,0,0,0,0,0,0,0,11
SAL10051,8,0,0,0,0,0,0,0,0,7
SAL10052,17,5,0,0,4,0,0,0,0,21
SAL10053,7,0,3,0,4,0,0,3,3,24
SAL10054,15,0,0,0,0,0,0,4,0,25
SAL10055,11,8,3,0,5,0,0,7,0,37
SAL10056,11,14,9,5,6,4,11,19,0,81
SAL10057,0,0,0,0,0,0,0,4,0,10
SAL10058,5,0,4,0,4,0,0,6,0,16
SAL10059,21,23,9,13,4,3,0,6,0,87
SAL10060,30,21,21,9,20,10,21,18,5,158
SAL10061,152,226,327,244,192,171,106,181,31,1633
SAL10062,1139,2416,332,343,586,332,66,120,74,5403
SAL10063,148,130,136,61,123,57,27,53,15,760
SAL10064,182,243,296,162,232,126,147,133,32,1559
SAL10065,10,0,3,0,0,0,0,0,0,27
SAL10066,11,4,6,0,0,0,0,5,0,21
SAL10067,5,4,5,0,0,0,0,0,0,11
SAL10068,14,8,0,12,8,6,5,5,0,52
SAL10069,6,0,0,0,0,0,0,0,0,6
SAL10070,24,33,29,26,16,15,8,12,0,169
SAL10071,23,16,16,7,9,11,4,7,5,95
SAL10072,3,0,0,0,0,0,0,0,0,3
SAL10073,166,193,99,65,79,47,20,56,8,743
SAL10074,70,105,137,91,96,50,52,62,15,669
SAL10075,7,3,4,0,3,0,0,0,3,20
SAL10076,34,14,12,5,13,6,0,6,0,94
SAL10077,59,12,14,15,7,15,14,14,4,157
SAL10078,0,4,4,0,0,0,4,7,0,11
SAL10079,37,71,109,80,57,67,61,81,6,585
SAL10080,17,4,9,14,7,10,5,9,0,79
SAL10081,3,0,0,0,0,0,0,0,0,5
SAL10082,56,26,14,13,12,9,7,28,5,176
SAL10083,7,0,3,0,3,0,0,0,0,23
SAL10084,5,0,0,0,0,0,0,0,0,12
SAL10085,35,11,3,8,6,5,0,11,5,68
SAL10086,1301,2781,1207,1381,1179,885,397,1111,147,10396
SAL10087,729,1510,608,497,774,434,319,498,105,5480
SAL10088,0,0,0,0,0,0,0,0,0,6
SAL10089,17,20,11,14,13,4,6,79,4,163
SAL10090,50,63,32,48,40,27,12,39,0,305
SAL10091,811,2227,296,323,600,295,80,164,84,4888
SAL10092,9,10,3,0,0,0,5,3,0,23
SAL10093,21,0,0,0,0,0,0,0,0,21
SAL10094,318,540,144,98,241,121,49,75,19,1601
SAL10095,21,18,19,10,7,3,3,7,0,88
SAL10096,16,15,21,13,10,14,8,10,0,110
SAL10097,0,0,0,0,0,0,0,3,0,11
SAL10098,39,85,113,105,100,68,145,131,40,837
SAL10099,1420,4302,1109,1215,1494,825,419,935,214,11925
SAL10100,62,15,19,35,16,10,18,40,13,219
SAL10101,33,22,30,12,20,10,18,24,0,178
SAL10102,87,118,196,200,126,155,131,251,39,1295
SAL10103,295,495,358,277,314,234,192,195,27,2396
SAL10104,451,1168,318,361,442,217,104,167,38,3266
SAL10105,17,4,3,0,0,0,0,5,0,27
SAL10106,50,33,49,28,27,26,29,35,8,278
SAL10107,860,2187,1669,1890,1284,1213,1274,2371,553,13300
SAL10108,16,10,19,11,0,3,0,3,0,67
SAL10109,213,545,140,116,138,66,35,41,19,1313
SAL10110,349,695,340,281,467,237,289,224,65,2950
SAL10111,8,10,14,6,7,10,9,14,0,77
SAL10112,1100,1433,626,435,555,381,99,249,83,4965
SAL10113,3,0,6,0,0,0,0,0,0,10
SAL10114,25,20,15,14,13,3,0,14,3,110
SAL10115,376,738,272,248,285,175,67,143,20,2309
SAL10116,0,0,0,0,0,0,0,0,0,0
SAL10117,82,116,135,111,104,69,74,80,13,774
SAL10118,19,17,15,14,10,9,10,5,0,95
SAL10119,19,34,32,23,36,19,26,28,0,215
SAL10120,16,18,19,17,13,10,7,13,0,115
SAL10121,29,11,4,0,6,3,13,5,0,70
SAL10122,10,0,0,0,0,0,0,3,0,6
SAL10123,0,0,0,0,0,0,0,0,0,0
SAL10124,11,4,0,3,0,5,3,3,0,22
SAL10125,9,4,0,0,0,0,0,0,0,9
SAL10126,5,0,0,0,0,0,0,0,0,7
SAL10127,0,0,0,0,0,0,0,0,0,3
SAL10128,0,0,0,0,0,0,0,0,0,0
SAL10129,5,0,0,0,0,0,0,3,0,14
SAL10130,5,21,7,9,3,7,0,0,4,47
SAL10131,19,10,13,0,11,3,11,11,3,79
