SAL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SAL10011,0,0,3,3,0,0,0,3,0,11,0,0,5,0,0,5,5,0,0,16,3,0,9,7,3,5,8,0,4,41,0,3,3,7,3,0,3,5,0,28,7,3,11,3,4,3,8,4,0,47,3,0,3,0,0,0,9,0,0,19,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,31,25,17,12,32,21,6,170
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,3,0,17
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,11
SAL10014,3,4,11,17,10,42,0,19,0,103,9,26,10,18,31,30,14,10,0,161,48,127,44,37,66,19,19,19,10,389,81,209,39,48,99,24,31,19,7,562,85,129,38,31,83,29,18,21,14,450,39,54,42,25,46,13,33,15,4,276,9,12,4,4,7,0,3,8,0,49,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,267,563,192,188,341,175,124,117,31,1989
SAL10015,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,7,3,5,5,0,0,0,0,0,0,17,3,0,6,3,0,0,0,6,0,18,8,6,4,3,9,0,3,4,0,36,13,3,6,8,0,0,4,8,0,39,0,0,0,0,0,0,0,8,0,12,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,14,15,13,12,0,13,22,3,134
SAL10016,5,4,17,43,9,71,10,39,0,204,16,80,61,130,54,55,20,41,3,466,78,357,140,106,90,58,21,42,8,893,118,296,81,40,86,26,34,23,6,712,105,198,74,60,108,30,29,41,3,636,68,121,52,47,80,33,22,56,0,476,16,21,10,10,15,5,3,9,0,85,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,397,1075,441,429,452,282,141,245,23,3486
SAL10017,0,0,25,40,6,73,3,50,0,198,8,24,45,54,25,30,11,25,0,221,69,204,72,64,49,27,20,13,11,527,141,324,76,53,83,35,20,18,12,753,120,231,79,67,102,29,26,29,8,689,46,101,44,27,70,20,30,22,0,364,10,33,7,10,13,6,6,3,3,93,5,5,0,0,6,0,0,5,0,17,5,4,0,0,0,0,0,0,0,5,404,930,342,313,346,214,117,165,41,2860
SAL10018,0,0,11,7,0,13,0,0,0,25,0,4,4,4,0,7,3,5,0,22,11,13,15,9,4,3,4,16,0,70,6,9,6,10,11,11,11,13,4,72,12,11,10,11,11,3,14,9,3,89,16,10,10,11,16,0,16,19,0,103,5,4,4,0,0,0,11,3,0,26,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,46,47,56,40,46,39,64,63,10,421
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,4,0,12,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,5,0,4,0,3,6,0,42
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11
SAL10021,0,0,8,4,5,20,0,0,0,45,3,4,21,5,5,0,0,3,0,49,5,18,18,12,15,3,8,9,3,88,14,15,12,12,17,3,7,4,0,83,37,21,19,9,19,4,13,3,0,128,13,10,16,10,14,9,8,6,3,85,5,0,0,0,5,0,6,0,0,23,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,84,74,93,43,70,41,40,44,9,506
SAL10022,0,0,8,5,0,16,3,17,6,55,4,3,14,10,12,5,12,16,5,74,19,39,27,25,26,15,27,30,0,208,19,19,20,40,18,16,25,24,0,186,6,9,6,27,9,10,23,22,5,118,3,4,8,13,7,6,14,17,3,63,0,0,6,0,0,0,6,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,81,91,121,70,62,107,132,22,725
SAL10023,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,4,0,11,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,3,0,6,0,8,0,48
SAL10024,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,23,6,8,6,0,0,0,0,0,41
SAL10025,13,11,97,69,17,163,29,128,0,530,33,72,185,141,60,82,37,71,10,696,126,323,304,204,172,126,125,124,29,1530,165,257,232,181,230,99,132,110,23,1437,169,221,199,221,254,123,175,120,18,1500,95,142,160,143,165,74,147,122,21,1060,15,28,29,27,30,14,22,15,4,170,3,4,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,612,1052,1206,990,932,680,674,693,104,6936
SAL10026,0,7,30,33,6,51,13,33,0,172,15,28,72,69,20,38,29,35,11,307,69,97,136,127,82,46,63,67,12,707,49,72,81,82,82,46,59,69,19,567,65,60,79,94,73,43,75,66,0,554,43,56,79,79,72,37,80,66,7,514,10,14,8,19,12,10,14,8,0,100,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,256,340,491,506,359,272,326,337,55,2929
SAL10027,0,0,21,36,11,54,4,37,0,167,4,27,38,46,17,29,13,22,7,216,62,157,66,48,50,34,32,21,3,470,98,179,54,32,48,25,15,17,6,463,115,178,45,56,81,25,21,20,9,553,87,113,37,32,74,15,8,24,9,407,44,72,16,10,31,22,5,11,5,218,7,7,0,0,5,4,0,3,0,27,0,0,0,0,0,0,0,0,0,4,414,743,282,264,315,213,93,163,40,2529
SAL10028,0,0,4,0,0,8,0,9,0,20,0,0,7,5,0,0,4,0,0,18,5,11,6,10,3,5,6,5,0,51,8,14,8,7,7,3,0,0,0,61,8,4,11,8,4,3,0,5,0,46,9,12,0,19,5,5,8,6,0,66,3,0,3,3,4,0,3,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,36,40,40,54,32,34,24,30,3,293
SAL10029,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,6,0,0,4,6,4,3,0,3,0,0,0,0,22,0,0,0,0,3,0,0,0,0,4,3,7,0,0,0,0,0,3,0,8,11,6,0,0,3,0,0,0,0,25,5,0,0,0,0,0,3,0,0,10,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,32,13,6,4,11,3,9,6,0,82
SAL10030,0,3,4,15,3,23,0,8,0,72,38,154,34,61,71,48,3,16,8,444,460,1368,195,154,257,136,55,53,32,2710,511,791,96,76,182,94,17,29,27,1830,307,373,70,48,131,67,14,16,20,1051,128,195,32,30,68,29,15,18,9,511,14,51,14,0,13,3,3,13,0,117,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1454,2945,453,391,724,407,109,164,97,6742
SAL10031,0,9,11,17,6,31,0,3,3,85,16,35,24,21,22,16,8,10,0,160,37,105,38,23,41,15,7,5,6,274,50,82,45,20,41,7,15,4,3,272,78,75,38,30,69,14,13,11,3,327,83,87,47,13,103,31,14,17,0,408,14,25,11,4,20,3,4,8,4,93,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,287,419,213,132,305,123,65,60,19,1622
SAL10032,0,0,4,0,0,4,0,0,0,6,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,4,0,4,6,3,0,0,4,0,0,0,0,12,0,0,0,0,3,0,3,0,0,9,7,0,3,0,0,0,0,5,0,11,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,3,8,6,3,8,0,57
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,5,0,0,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,5,0,3,0,4,0,0,3,0,13,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3,0,10,5,0,4,0,35
SAL10035,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,4,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,3,3,9,0,0,0,0,49
SAL10036,0,10,20,43,16,80,12,36,0,211,10,56,67,68,34,37,11,19,0,309,71,120,54,67,38,28,9,29,10,421,249,298,66,56,80,47,9,20,10,828,274,342,105,66,149,60,24,29,14,1065,146,142,56,46,100,46,26,29,6,597,21,42,23,14,33,16,8,15,0,166,4,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,768,1017,390,357,442,305,95,175,42,3599
SAL10037,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,12,5,0,0,0,4,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,0,4,3,3,4,0,41
SAL10038,0,8,7,7,4,18,0,15,0,62,15,46,34,60,29,46,13,46,0,282,72,257,98,108,83,64,37,102,19,833,60,168,55,54,87,49,37,53,12,569,49,118,45,44,71,30,23,32,8,421,40,75,52,35,51,29,30,38,8,358,9,13,15,11,19,10,8,18,3,109,0,6,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,251,691,292,318,341,250,151,311,55,2651
SAL10039,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,4,0,0,4,3,0,31
SAL10040,0,0,4,4,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,0,0,6,0,0,5,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,12,0,0,0,5,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,10,9,3,3,6,0,64
SAL10041,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,3,4,0,0,13,0,0,0,0,0,0,4,3,0,16,3,0,6,0,5,0,9,6,0,29,0,0,3,0,3,0,4,0,0,16,0,0,0,0,3,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,5,9,9,15,18,3,85
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,10,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,4,4,0,0,25
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,4,0,0,4,0,0,3,0,29
SAL10044,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,4,4,3,0,4,0,0,0,0,13,0,3,3,0,3,0,0,0,0,9,4,7,0,0,4,0,0,0,0,19,8,9,0,3,0,0,0,5,0,17,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,10,7,9,7,0,3,0,75
SAL10045,0,0,3,0,0,3,0,0,0,12,0,0,4,0,0,0,0,5,0,11,4,6,8,0,0,6,0,4,0,23,9,13,7,9,0,0,0,0,0,31,17,13,4,7,9,3,0,4,0,60,22,18,10,13,4,5,0,0,0,75,4,0,0,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,50,36,34,24,19,5,17,3,236
SAL10046,3,0,22,31,4,67,0,45,4,186,12,14,28,28,12,22,12,25,0,154,25,88,66,70,38,27,12,48,5,381,64,144,62,53,64,27,16,36,7,469,86,124,65,93,75,41,25,38,8,555,79,120,62,82,72,24,24,60,6,534,23,36,18,9,28,7,10,12,0,151,16,0,4,3,5,3,3,0,0,34,0,0,0,0,0,0,0,0,0,0,313,537,327,361,297,216,101,263,37,2461
SAL10047,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,9,7,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,6,6,0,0,0,4,0,0,0,0,6,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,0,3,0,0,5,7,42
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,3,3,5,0,21
SAL10049,0,0,26,20,3,57,6,36,6,147,7,23,45,38,30,51,24,35,8,269,64,106,85,68,72,56,74,61,15,599,60,74,63,69,84,52,79,71,13,575,50,61,53,66,71,35,70,54,10,471,50,48,56,46,73,32,84,58,8,446,10,11,11,13,17,7,13,12,0,84,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,247,325,334,316,355,289,361,327,62,2605
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,4,0,0,0,0,21
SAL10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,4,0,0,3,3,24
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,25
