SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL10001,0,0,0,5,3,7,4,0,5,29
SAL10002,26,0,49,697,826,383,359,1133,138,3542
SAL10003,76,55,212,978,1446,639,371,912,287,4630
SAL10004,0,0,3,184,287,148,66,158,27,880
SAL10005,0,0,0,4,11,3,5,0,3,22
SAL10006,15,0,30,363,502,236,203,641,76,2018
SAL10007,21,5,36,293,436,205,160,465,110,1670
SAL10008,0,0,0,29,18,11,10,15,5,93
SAL10009,16,0,31,1027,1429,648,499,1134,162,4897
SAL10010,15,0,24,300,524,245,195,613,90,1972
SAL10011,3,0,3,47,67,30,28,71,10,260
SAL10012,0,0,0,7,4,3,0,8,10,26
SAL10013,0,0,0,0,9,0,8,6,8,27
SAL10014,5,0,16,590,796,383,281,756,47,2856
SAL10015,3,3,6,55,72,26,32,60,49,295
SAL10016,57,5,109,1205,1672,596,351,1207,229,5264
SAL10017,60,10,143,979,1453,697,381,780,93,4387
SAL10018,4,0,23,152,199,114,83,200,50,798
SAL10019,0,0,0,13,13,6,9,15,21,79
SAL10020,0,0,0,3,9,3,4,5,5,26
SAL10021,5,0,10,148,229,117,79,185,45,802
SAL10022,9,0,16,301,386,173,258,941,333,2387
SAL10023,0,0,4,32,38,19,10,21,16,139
SAL10024,3,0,3,18,10,8,11,10,7,68
SAL10025,86,117,285,2133,3013,1454,1159,2696,514,10968
SAL10026,135,17,220,1002,1412,692,552,1759,295,5709
SAL10027,81,4,145,956,1283,556,268,967,208,4235
SAL10028,11,0,9,103,145,96,56,149,788,1337
SAL10029,0,0,0,30,34,14,19,23,11,126
SAL10030,19,9,44,2203,3212,810,335,1547,484,8587
SAL10031,19,0,35,582,726,389,297,574,35,2597
SAL10032,0,0,0,14,21,9,16,12,0,65
SAL10033,0,0,0,0,5,0,0,4,0,4
SAL10034,0,0,0,11,21,18,6,20,0,74
SAL10035,0,0,4,19,19,11,12,15,5,88
SAL10036,87,105,276,1185,1865,909,477,1072,260,5757
SAL10037,0,0,0,15,26,6,7,9,0,63
SAL10038,42,6,84,790,1133,475,361,1619,240,4629
SAL10039,0,0,0,10,15,3,12,7,3,47
SAL10040,0,0,0,17,29,18,25,19,12,122
SAL10041,0,0,4,29,34,24,19,36,16,157
