SAL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL13980,1583,1691,3273,136,158,292,588,607,1196,0,11,8,3,12,16,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,599,630,1228,21,26,48,26,20,43,784,831,1614,122,104,226,2493,2624,5116
SAL13981,63,59,128,4,16,21,12,19,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,40,0,0,0,0,0,0,22,33,60,15,15,23,99,110,209
SAL13982,96,108,204,17,20,28,54,50,106,0,0,0,14,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,138,4,4,4,4,0,0,93,89,175,25,17,35,210,216,428
SAL13983,8,6,15,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,14,10,20
SAL13984,1722,1760,3483,428,541,970,408,433,842,40,38,77,34,32,68,5,4,9,8,7,13,0,0,0,13,5,18,12,20,32,0,0,0,518,543,1066,70,65,132,30,21,50,1049,1165,2219,246,251,497,3017,3176,6188
SAL13985,27,18,47,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,8,8,6,17,37,30,64
SAL13986,20,14,33,0,0,4,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,0,0,0,0,0,0,3,7,12,0,6,3,24,23,49
SAL13987,1628,1747,3376,229,270,499,730,840,1574,6,18,26,38,42,79,0,0,3,6,9,16,0,0,5,0,0,0,3,9,12,0,0,0,792,917,1710,31,39,69,42,65,110,1097,1285,2382,196,245,439,2915,3280,6197
SAL13988,13,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,5,5,10,0,0,0,20,19,42
SAL13989,61,52,115,8,11,20,9,12,26,3,0,5,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,35,0,0,0,0,0,0,33,28,61,13,12,27,105,95,202
SAL13990,4,9,10,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,6,3,3,0,0,0,7,10,18
