SAL_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
SAL10002,0,0,8,0,0,12,8,22,0,53,6,20,26,8,12,8,8,10,0,107,26,58,45,10,18,9,8,13,0,189,34,26,29,0,8,10,19,9,0,142,59,31,39,8,10,14,20,15,0,208,55,46,60,3,15,18,30,19,0,248,12,14,9,0,0,5,6,12,0,63,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,204,194,219,38,71,76,108,95,11,1021,0,4,0,7,11,36,0,7,0,74,7,34,4,25,30,24,0,0,0,131,15,77,7,15,39,10,3,6,0,175,20,45,4,9,40,8,0,0,0,136,25,62,6,20,85,18,0,9,3,236,24,37,8,30,89,26,4,9,3,225,5,7,3,6,9,3,6,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,270,33,117,304,126,17,33,17,1017
SAL10003,0,0,6,3,4,5,0,10,3,32,9,26,9,3,6,14,0,5,0,75,32,76,43,5,21,24,5,5,7,223,88,111,27,9,16,18,9,5,6,299,102,97,30,11,22,18,5,13,8,305,82,75,21,7,24,19,8,7,4,250,29,54,12,0,11,11,4,7,4,131,0,5,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,349,445,152,45,109,109,35,62,29,1324,0,9,0,15,10,16,0,3,0,52,3,25,3,22,17,12,0,0,0,79,30,123,11,16,33,17,0,3,3,238,86,126,8,15,55,14,0,9,7,322,74,108,6,19,82,25,4,8,7,333,42,89,6,18,74,16,3,8,0,243,15,38,0,3,28,8,0,3,0,98,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,255,518,40,106,299,105,7,26,18,1375
SAL10004,0,0,8,0,0,8,0,11,0,26,0,3,4,3,0,0,0,4,0,23,6,12,16,0,0,5,4,5,0,54,12,18,6,6,3,0,8,0,0,59,22,16,12,8,5,3,7,4,0,76,9,8,11,4,6,6,10,7,0,57,5,4,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,61,68,20,22,23,35,27,0,308,0,3,0,6,0,12,0,8,0,28,0,0,4,0,6,4,0,4,0,16,4,16,3,7,9,3,0,0,0,44,10,21,0,9,18,0,0,0,0,71,13,28,6,5,20,3,0,7,0,75,13,12,5,4,22,5,0,7,0,63,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,84,16,38,70,33,0,22,0,311
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL10006,0,0,10,0,0,5,0,15,0,38,0,0,24,5,0,10,3,9,0,57,3,5,57,18,5,15,23,19,0,141,4,3,30,12,0,0,28,14,3,98,11,9,16,12,0,5,48,15,0,124,4,5,21,3,0,6,27,11,0,80,0,0,4,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,164,48,12,34,126,92,11,547,0,0,3,14,0,17,0,6,0,44,0,3,0,18,8,12,0,5,3,50,7,15,9,29,24,17,4,19,0,130,3,13,9,40,12,17,3,9,4,108,11,11,0,33,17,9,8,17,3,106,0,11,0,19,18,12,0,3,0,80,0,3,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,28,151,74,89,16,67,13,534
SAL10007,0,0,17,3,0,7,0,7,0,31,4,0,25,0,0,0,8,13,0,48,10,3,42,0,0,0,22,13,7,87,8,3,39,0,0,0,39,15,0,102,8,0,29,0,0,4,49,19,3,112,10,3,18,4,0,4,32,20,5,92,4,3,3,3,0,0,7,0,0,19,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,41,13,169,13,5,13,153,84,19,508,0,3,5,9,0,12,0,11,0,34,3,0,11,10,3,3,0,7,0,45,7,15,15,16,16,8,6,11,0,99,3,12,4,18,15,5,10,9,0,75,7,9,0,16,18,5,6,11,0,82,3,10,5,16,16,9,5,10,0,80,0,3,0,0,6,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,58,42,90,77,48,32,64,5,440
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,5,6,0,0,0,0,0,5,0,0,7,5,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,0,6,0,0,0,3,3,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,3,3,5,0,0,0,31
SAL10009,0,0,20,7,0,26,12,40,3,96,9,18,56,13,12,15,14,27,4,161,25,47,155,25,19,26,86,46,4,432,59,62,120,28,24,11,88,39,8,429,48,33,79,15,11,10,76,22,6,301,32,21,51,12,11,10,59,20,8,217,3,7,3,0,4,0,10,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,182,480,96,75,96,349,200,31,1672,3,5,9,21,11,67,0,19,0,145,11,21,11,70,23,25,0,9,0,174,36,90,19,104,83,39,20,24,4,416,38,96,18,92,86,34,9,22,6,405,35,66,15,68,88,38,6,24,6,343,18,40,4,38,42,20,0,13,0,180,6,4,0,6,6,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,321,81,403,338,226,45,121,24,1697
SAL10010,0,0,12,3,0,7,5,10,0,36,0,5,22,0,0,5,14,9,3,60,12,7,48,8,4,4,29,27,0,132,7,7,41,3,7,0,35,14,0,120,17,9,38,8,4,7,29,21,0,125,7,6,17,4,8,0,41,17,0,102,4,0,5,0,0,0,7,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,31,179,30,22,21,151,97,11,577,0,0,3,8,0,12,4,4,0,35,8,5,0,14,4,11,4,5,0,45,12,19,13,32,28,10,5,8,0,130,9,22,5,22,29,17,3,6,0,117,6,14,3,16,22,8,8,17,0,96,4,10,3,22,13,8,0,19,0,86,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,68,32,112,111,69,19,60,3,518
