SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5
SAL10002,44,25,66,64,50,114,81,80,156,24,10,37,166,144,305,67,65,136,68,86,158,18,15,38,152,169,322,0,7,7,0,9,8,21,5,21,14,23,34,4,0,4,39,38,76,69,102,165,12,13,20,17,20,33,6,21,25,0,0,0,100,145,250,137,188,324,3,3,9,3,9,12,0,0,0,13,14,22,72,64,131,575,602,1176
SAL10003,52,42,97,117,129,246,43,36,81,23,16,34,185,178,365,47,62,110,64,50,117,37,39,75,145,151,299,0,0,0,3,9,16,17,3,19,17,29,41,0,0,0,40,42,74,45,67,114,9,17,31,5,8,10,25,41,66,0,0,0,87,133,222,125,177,302,0,0,0,9,20,31,0,0,0,9,24,35,119,164,288,638,743,1381
SAL10004,19,18,30,34,32,66,25,18,39,7,4,14,64,52,117,25,21,46,13,25,38,10,16,32,50,68,112,0,0,0,0,3,3,6,6,9,3,5,10,0,0,0,11,13,27,8,4,9,0,3,3,3,0,3,4,8,14,0,0,0,15,20,34,26,31,58,0,0,5,0,0,3,0,0,0,4,4,5,10,16,27,167,186,351
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10006,38,28,59,93,82,178,13,16,31,5,9,16,114,114,226,64,64,127,15,13,29,8,10,18,88,88,170,4,4,11,5,4,8,14,18,32,11,27,31,0,0,0,31,52,85,4,17,22,0,7,10,0,7,6,7,22,25,0,0,0,14,49,62,47,95,142,6,4,7,4,4,9,0,0,0,4,7,11,39,47,85,330,372,706
SAL10007,21,22,48,74,66,141,16,13,25,4,3,7,87,85,171,29,34,66,40,36,79,0,0,0,72,77,148,8,0,5,0,6,4,18,17,31,9,16,24,0,0,0,33,37,62,0,5,5,0,3,3,0,3,5,0,6,8,0,0,0,0,25,23,38,53,88,0,0,0,0,11,8,0,0,0,0,14,15,56,52,105,274,304,576
SAL10008,0,0,0,9,4,6,5,0,5,4,0,3,9,7,16,0,6,6,0,0,3,0,0,3,4,9,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,20,39
SAL10009,92,105,193,243,230,475,128,127,258,35,19,54,408,383,793,122,132,256,95,99,191,18,18,37,233,249,480,16,18,35,7,21,32,36,28,71,40,71,111,0,0,0,100,141,242,30,56,89,9,36,43,10,14,21,24,53,75,0,0,0,68,162,231,170,300,471,7,3,14,10,18,32,0,0,0,23,24,52,93,87,176,1020,1147,2168
SAL10010,42,25,65,109,104,211,14,12,27,9,14,20,128,128,263,65,59,116,5,15,24,8,7,17,84,76,157,6,4,13,3,10,12,15,9,22,10,20,27,0,0,0,31,42,76,4,11,11,4,11,16,3,0,7,3,12,17,0,0,0,16,29,45,46,77,119,6,3,5,9,8,19,0,0,0,14,11,17,68,36,103,380,350,737
SAL10011,0,4,7,12,7,21,0,0,0,0,3,3,13,13,24,10,9,18,0,0,0,5,0,5,16,9,21,0,0,0,0,0,0,6,0,6,0,0,4,0,0,0,4,4,9,4,0,3,0,0,0,0,0,0,0,5,5,0,0,0,5,3,12,9,6,14,4,0,4,0,0,0,0,0,0,4,0,4,10,3,12,53,31,88
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,9,11
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,4,9
SAL10014,40,43,82,169,136,302,32,26,58,13,7,20,214,166,387,89,90,177,39,42,83,16,19,36,153,149,301,8,5,10,9,6,19,20,3,21,15,16,31,0,0,0,49,35,84,52,61,113,12,9,20,7,3,17,11,28,41,0,0,0,87,102,190,135,135,274,7,3,17,15,10,24,0,0,0,24,20,39,19,12,35,586,528,1116
SAL10015,0,0,0,13,8,18,0,0,0,0,0,0,13,5,17,9,3,15,4,0,6,0,0,3,14,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,6,6,8,12,0,0,0,0,0,5,0,0,0,0,0,5,32,26,53,58,55,111
SAL10016,81,57,136,140,132,273,78,84,162,30,16,45,245,239,489,135,124,255,44,56,102,18,14,29,196,197,390,12,8,15,12,3,15,19,25,43,25,37,66,0,0,0,62,80,141,80,127,207,29,42,71,27,20,41,49,86,133,0,0,0,184,276,455,252,352,602,3,8,10,11,11,31,0,0,0,19,22,36,119,114,224,908,969,1875
SAL10017,98,80,173,260,208,470,73,57,134,18,12,31,352,283,634,135,157,291,47,48,92,20,27,41,203,226,429,6,8,15,9,7,13,16,12,24,16,24,40,0,0,0,48,46,94,65,74,140,25,33,59,11,11,18,36,70,100,0,0,0,135,188,324,181,232,414,4,0,5,13,11,27,0,0,0,20,13,31,55,51,104,906,880,1785
