SAL_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SAL10001,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,15,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,5,49,138,98,147,163,30,5,0,629,23,22,22,21,30,34,23,3,0,180,23,29,25,25,29,43,10,0,0,182,0,0,5,4,4,6,0,0,0,25,53,107,189,142,208,248,63,7,0,1021,0,4,5,3,6,4,0,0,0,22,9,0,0,0,0,3,0,0,0,11,9,7,6,3,6,10,0,0,0,32,60,111,193,147,210,256,64,7,0,1056,79,39,63,47,53,87,160,72,25,618,4,5,4,4,9,14,3,4,0,55,154,155,262,197,271,356,228,81,26,1729,9,56,106,69,126,96,13,0,0,480,33,46,39,48,75,88,15,0,0,352,31,26,22,18,30,33,12,0,0,174,4,0,8,0,0,6,0,0,0,16,74,131,175,136,236,225,43,0,0,1017,0,0,3,4,0,0,0,0,0,11,3,0,0,0,5,6,0,0,0,12,3,0,3,3,3,4,0,0,0,27
SAL10003,9,38,166,240,237,194,51,8,0,937,16,20,37,37,40,42,69,6,0,284,3,10,11,18,20,9,12,0,0,86,0,0,3,5,11,0,3,4,0,26,32,75,223,299,305,250,131,18,0,1324,0,5,6,5,8,5,0,0,0,28,3,4,3,0,0,6,5,0,0,28,0,12,8,5,9,15,5,0,0,54,34,84,227,304,312,260,139,18,0,1378,73,16,15,21,26,74,193,173,56,651,4,3,11,13,9,12,25,15,22,114,110,102,254,343,354,342,353,209,77,2147,0,35,155,175,207,115,36,0,0,722,25,31,59,106,90,115,57,8,0,489,24,20,19,32,24,18,14,0,0,141,0,0,3,6,4,0,0,0,0,18,52,79,238,322,333,243,98,10,0,1375,4,3,4,0,6,0,0,0,0,24,7,0,0,0,4,3,4,0,0,18,7,8,4,0,11,8,4,0,0,46
SAL10004,10,16,40,54,69,46,10,0,0,239,13,4,13,7,4,8,3,0,0,55,4,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,23,54,59,76,57,14,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,25,54,59,76,56,14,0,0,311,13,0,0,0,6,18,30,23,0,99,0,4,0,3,0,3,0,0,0,16,41,30,56,64,84,76,47,32,0,423,3,3,25,40,50,28,4,0,0,160,20,8,13,27,24,34,4,0,0,130,4,0,5,4,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,28,16,44,71,75,63,5,0,0,311,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,10
SAL10005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,11,39,94,73,93,59,3,0,0,374,20,15,34,21,22,19,3,0,0,141,0,0,5,4,13,6,0,0,0,28,0,0,0,3,0,0,0,0,0,7,38,57,141,98,124,80,13,0,0,547,6,6,9,5,3,4,0,0,0,35,5,4,9,0,0,0,0,0,0,13,11,11,15,8,3,4,0,0,0,49,44,69,156,106,127,86,13,0,0,599,46,11,19,21,29,59,103,54,13,349,3,4,5,3,0,0,4,4,0,34,87,80,183,136,163,148,113,59,13,975,8,23,61,44,54,26,0,0,0,211,33,19,48,61,49,43,9,0,0,252,4,6,20,7,9,12,3,0,0,60,0,0,4,0,0,0,0,0,0,5,44,50,130,108,106,80,11,0,0,534,0,0,9,0,3,5,0,0,0,17,3,7,7,0,4,5,0,0,0,22,4,5,13,6,3,0,0,0,0,36
SAL10007,21,39,77,81,89,60,13,0,0,380,9,7,12,12,7,21,12,3,0,84,5,5,0,5,4,8,0,0,0,28,0,0,5,6,3,5,0,0,0,20,31,48,87,102,112,92,19,9,0,508,3,4,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,15,36,54,88,104,111,92,23,9,0,525,36,4,5,11,21,45,87,42,14,273,0,0,11,6,4,10,3,11,4,46,72,58,102,120,139,147,114,61,13,843,7,26,51,42,37,44,3,0,0,210,27,15,42,33,36,38,11,0,0,201,0,4,6,3,3,0,3,0,0,21,0,0,0,0,4,0,0,0,0,9,34,45,99,75,82,80,21,0,0,440,0,0,0,0,4,0,0,0,0,5,0,6,3,6,0,0,0,0,0,12,0,3,3,0,3,0,0,0,0,16
SAL10008,0,4,5,6,4,7,4,6,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,7,6,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,8,7,6,6,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,3,7,8,7,7,7,0,43,0,0,0,0,4,0,4,0,0,17,3,0,0,0,4,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,10,3,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10009,30,115,343,358,256,181,14,0,0,1304,52,43,65,48,33,32,19,0,0,288,12,8,13,17,5,8,3,0,0,65,3,0,5,4,5,3,0,0,0,13,96,161,432,429,301,217,36,0,0,1672,13,10,17,16,8,0,0,0,0,56,13,0,0,0,0,0,0,0,0,22,25,5,13,15,11,3,0,0,0,79,126,169,447,442,307,224,34,0,0,1755,77,23,26,31,27,65,157,77,6,497,7,10,18,16,9,14,0,0,0,71,204,199,489,491,351,301,197,82,9,2326,29,78,205,206,179,88,4,0,0,783,103,78,150,186,145,76,21,0,0,757,20,14,54,21,15,16,0,0,0,136,0,0,3,0,6,0,0,0,0,21,145,174,416,405,343,180,29,0,0,1697,0,8,9,7,0,8,0,0,0,32,7,3,5,13,3,0,0,0,0,33,15,7,18,13,5,7,0,0,0,66
SAL10010,18,40,100,97,95,61,3,0,0,412,17,15,19,15,22,26,7,0,0,120,0,0,12,3,4,11,0,0,0,39,0,0,0,3,0,4,0,0,0,8,36,60,132,120,125,102,13,0,0,577,5,0,6,12,8,5,0,0,0,43,6,0,0,0,0,0,0,0,0,10,15,0,6,18,12,7,0,0,0,47,46,60,135,132,131,102,14,0,0,626,29,18,20,13,38,63,88,57,8,334,7,5,5,3,8,14,6,5,0,48,84,82,163,148,172,179,108,58,8,1007,3,20,48,44,36,27,3,0,0,186,20,15,64,70,51,47,10,0,0,273,6,6,19,4,7,16,3,0,0,51,0,0,0,0,0,0,0,0,0,9,35,45,130,117,96,86,13,0,0,518,0,4,0,0,5,0,0,0,0,15,0,3,5,0,8,0,0,0,0,22,0,3,11,4,6,0,0,0,0,36
