SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10002,0,0,0,0,0,0,0,0,0,45,24,5,76,3,0,3,77,77,0,153
SAL10003,0,0,0,0,0,0,4,0,4,96,37,13,147,0,0,0,154,80,0,230
SAL10004,0,0,0,0,0,0,0,0,3,32,9,0,41,0,0,0,43,8,0,49
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,0,0,0,0,0,0,0,0,30,43,12,84,8,8,12,93,92,0,190
SAL10007,0,0,0,0,0,0,5,0,7,25,11,5,43,0,0,3,49,31,0,78
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10009,0,0,0,0,0,0,0,0,5,106,84,14,202,4,4,8,213,95,3,311
SAL10010,0,0,0,0,0,0,0,3,4,20,35,5,66,4,6,12,77,57,8,144
SAL10011,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,10,0,16
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10013,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,4
SAL10014,0,0,0,0,0,0,0,0,0,58,26,8,93,0,0,6,96,31,0,127
SAL10015,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,7,4,0,5
SAL10016,0,0,0,0,0,0,3,0,3,88,73,10,180,7,7,9,191,88,0,280
SAL10017,0,0,0,0,0,0,0,0,3,60,47,12,117,7,0,6,127,62,0,187
SAL10018,0,0,0,0,0,0,0,0,0,9,9,0,18,0,0,0,16,9,0,30
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10021,0,0,0,0,0,0,0,0,0,13,8,0,23,0,0,0,23,20,0,45
SAL10022,0,0,0,0,0,0,3,0,7,32,43,14,85,13,7,16,100,218,9,328
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10025,0,4,0,0,0,4,0,6,16,185,162,45,391,8,6,17,405,213,12,630
SAL10026,4,4,0,0,0,4,5,0,6,106,99,36,243,6,5,9,257,171,7,426
SAL10027,0,0,0,0,0,0,0,0,6,76,48,10,127,4,3,9,139,50,0,189
SAL10028,0,0,0,0,0,0,0,3,3,12,5,0,17,0,0,0,14,3,3,28
SAL10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10030,0,0,0,0,0,0,0,0,0,94,37,7,141,0,0,6,144,49,0,190
SAL10031,0,0,0,0,0,0,4,0,4,29,11,5,41,0,0,0,50,32,0,79
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
SAL10036,0,0,0,0,0,0,0,0,0,76,36,18,129,3,0,0,130,62,0,196
SAL10037,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,6
SAL10038,0,0,0,0,0,0,0,0,3,64,44,21,128,6,6,12,137,102,0,236
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,6
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10044,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,0,0,7
SAL10045,0,0,0,0,0,0,0,0,0,5,3,0,12,0,0,0,12,5,0,15
SAL10046,0,4,0,0,0,4,0,6,13,78,80,11,173,0,5,4,183,96,6,288
SAL10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL10049,0,0,0,0,0,0,3,4,7,110,78,38,220,15,6,26,253,310,10,567
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
