SAL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10002,34,0,0,0,0,34,7,0,0,0,0,7,12,0,0,0,0,12,6,0,0,0,0,6,15,0,0,0,0,11,47,0,0,0,0,47,40,0,0,0,0,40,78,0,0,0,0,78,56,0,0,0,0,56,96,0,0,0,0,96,58,0,0,0,0,58,38,0,0,0,0,39,498,5,0,0,0,499
SAL10003,9,3,16,0,0,31,6,0,3,0,0,11,0,4,0,0,0,3,4,0,5,0,0,12,3,0,0,0,0,11,6,9,19,0,0,28,12,5,18,0,0,33,23,11,25,0,0,54,13,6,35,0,0,59,24,21,44,0,0,95,87,34,48,0,0,165,15,3,15,0,0,34,206,94,234,0,0,535
SAL10004,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,30,0,0,0,0,30,42,0,0,0,0,43,46,0,0,0,0,49,17,0,0,0,0,17,15,0,0,0,0,15,3,0,0,0,0,3,8,0,0,0,0,8,187,3,0,0,0,188
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,12,0,0,0,0,15,7,0,0,0,0,7,7,0,0,0,0,7,8,4,0,0,0,14,26,0,0,0,0,26,80,9,0,0,0,92,80,3,0,0,0,85,47,0,0,0,0,54,15,0,0,0,0,15,7,0,0,0,0,7,3,0,0,0,0,3,23,0,0,0,0,22,317,19,0,0,0,332
SAL10007,8,0,0,0,0,8,8,0,0,0,0,8,5,0,0,0,0,5,8,0,0,0,0,14,15,0,0,0,0,15,70,0,0,0,0,70,70,0,0,0,0,70,50,0,0,0,0,54,17,0,0,0,0,17,10,0,0,0,0,8,9,0,0,0,0,9,21,0,0,0,0,21,292,0,0,0,0,300
SAL10008,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SAL10009,28,0,0,0,0,28,9,0,0,0,0,9,3,0,0,0,0,8,12,0,0,0,0,12,15,0,0,0,0,19,86,8,0,0,0,100,185,12,0,0,0,195,322,0,0,0,0,324,126,0,0,0,0,126,68,0,0,0,0,68,29,0,0,0,0,29,55,0,0,0,0,55,947,22,0,0,0,969
SAL10010,23,0,0,0,0,23,8,0,0,0,0,6,12,0,0,0,0,12,13,0,0,0,0,13,32,0,0,0,0,29,91,3,0,0,0,94,84,0,0,0,0,84,65,0,0,0,0,62,16,0,0,0,0,17,17,0,0,0,0,17,4,0,0,0,0,4,19,0,0,0,0,19,372,6,3,0,0,383
