SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL10001,11,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,15,27
SAL10002,1862,1920,3785,20,16,44,97,107,208,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,4,5,7,0,0,0,104,114,221,7,3,13,0,4,4,135,137,279,60,50,113,2059,2114,4170
SAL10003,2137,2364,4499,80,103,184,164,172,340,0,3,6,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,172,186,359,18,20,36,8,8,9,272,312,589,121,174,294,2528,2850,5377
SAL10004,465,508,974,23,13,32,40,43,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,81,0,4,4,0,0,0,62,60,122,9,12,27,541,571,1116
SAL10005,13,8,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,12,14,21
SAL10006,1007,1049,2056,69,64,130,101,100,202,3,4,7,3,3,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,111,115,221,0,5,6,4,0,4,179,178,360,37,50,92,1226,1281,2507
SAL10007,865,818,1683,40,47,78,72,87,160,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,88,165,0,4,4,0,0,0,117,141,252,54,47,99,1034,1000,2027
SAL10008,48,47,100,3,0,7,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,12,0,0,0,0,0,0,8,9,16,9,3,8,64,53,121
SAL10009,2450,2651,5103,138,136,274,368,407,772,6,3,13,13,12,18,0,0,0,5,0,3,6,5,8,0,3,3,0,0,0,0,0,0,390,427,820,17,19,27,7,13,22,550,588,1139,106,98,200,3102,3336,6438
SAL10010,1086,1021,2110,36,41,79,114,109,217,0,0,0,0,4,8,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,112,110,224,0,4,4,0,0,0,151,156,312,58,40,93,1294,1217,2511
SAL10011,150,123,274,4,4,9,8,10,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,17,0,0,0,0,0,4,14,12,29,9,4,16,174,141,316
