SAL_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,15
SAL10002,162,0,0,0,0,0,0,9,174,165,0,0,0,0,0,0,6,175,107,7,4,6,0,0,0,3,132,51,17,32,3,0,0,0,8,112,27,12,18,21,12,3,0,4,94,11,10,40,34,13,5,0,0,112,7,12,67,46,14,0,3,0,158,15,19,72,44,15,4,5,6,175,12,13,89,52,18,5,3,7,196,9,11,73,51,16,0,3,9,177,10,16,38,41,17,4,4,6,131,8,5,21,21,11,10,4,3,76,3,0,20,14,4,3,5,0,40,3,5,7,15,8,4,0,3,37,0,0,3,10,3,3,3,0,25,593,122,491,359,126,42,28,68,1818
SAL10003,120,0,0,0,0,0,0,15,134,98,3,0,0,0,0,0,7,103,99,8,6,0,0,0,0,15,120,89,38,19,9,4,0,0,11,172,55,49,68,7,3,0,0,13,193,50,51,73,19,0,0,0,11,207,50,47,67,19,6,0,0,8,197,68,34,68,22,10,0,0,9,214,53,36,59,34,9,0,4,9,202,52,26,57,33,8,0,0,3,176,43,32,61,35,11,0,0,14,201,25,28,76,33,12,0,0,17,194,13,8,47,33,15,0,5,21,149,5,11,38,18,12,0,3,14,98,11,6,33,17,15,7,5,43,136,825,378,678,285,105,16,18,188,2486
SAL10004,48,0,0,0,0,0,0,0,46,12,3,0,0,0,0,0,4,25,10,0,6,3,0,0,0,0,14,9,6,8,3,0,0,0,0,34,3,12,9,16,4,0,0,0,40,3,4,20,9,0,0,0,3,36,3,5,20,14,4,0,0,0,43,0,5,26,14,5,0,0,0,46,0,9,18,11,6,0,0,0,45,3,4,17,13,4,0,0,6,49,0,0,12,7,6,0,0,0,34,0,3,9,5,0,0,0,0,20,0,0,8,0,0,0,0,0,16,0,3,0,5,5,0,0,0,12,0,0,0,0,0,0,4,0,3,100,48,160,93,29,6,9,15,460
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9
SAL10006,77,0,0,0,0,0,0,3,84,49,15,8,0,0,0,0,5,77,44,26,14,8,0,0,0,0,92,33,10,26,12,5,0,0,0,92,18,12,21,15,4,5,0,0,74,6,12,26,12,11,0,9,4,74,3,15,22,20,9,5,0,0,84,0,9,22,17,11,3,0,5,71,6,12,33,19,5,8,3,3,82,10,9,37,10,9,9,5,4,90,6,0,21,27,11,0,3,0,70,6,7,18,12,4,0,0,4,59,4,4,7,6,4,7,4,5,36,3,5,7,7,7,0,0,0,32,0,0,3,4,0,0,0,4,15,269,138,273,171,91,38,22,49,1044
SAL10007,48,0,0,0,0,0,0,5,56,42,10,0,0,0,0,0,4,58,28,8,10,7,0,0,0,3,59,14,16,23,16,0,0,0,3,76,5,5,20,14,8,5,0,4,54,0,3,18,18,3,3,5,4,61,0,7,29,20,7,0,0,3,73,9,4,21,6,5,0,0,4,50,3,8,24,26,4,0,0,7,79,13,4,22,21,9,3,0,0,66,4,8,10,23,7,3,0,3,51,9,3,23,11,13,0,0,5,64,0,4,7,0,6,3,4,4,29,0,0,9,12,0,0,3,0,28,0,3,3,5,0,0,0,0,22,177,93,218,175,65,27,15,49,823
SAL10008,8,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,11,6,0,0,3,45
SAL10009,215,0,0,0,0,0,0,4,225,178,22,13,0,0,0,0,14,217,121,65,47,17,3,0,0,9,263,59,64,101,41,5,0,0,11,279,43,36,98,68,17,4,3,13,279,23,31,105,50,18,0,4,3,235,24,21,83,51,20,11,0,5,219,18,30,85,47,14,3,5,10,212,14,15,62,50,25,0,0,0,171,12,15,65,47,14,5,0,6,157,10,11,54,40,16,0,3,4,125,3,15,29,28,10,3,0,0,92,0,3,24,14,12,0,3,0,58,0,0,10,6,0,0,0,0,16,0,4,0,6,7,3,7,0,22,726,320,765,450,150,45,29,75,2569
SAL10010,56,4,0,0,0,0,0,4,60,47,9,6,0,0,0,0,5,71,40,13,17,11,3,0,0,3,79,16,24,24,22,6,0,5,0,93,7,12,53,18,7,0,4,0,92,10,6,19,12,5,0,0,0,65,7,7,26,16,12,0,0,6,70,3,8,28,18,6,0,6,0,61,3,6,38,15,11,6,0,5,75,7,10,33,25,13,0,3,3,96,6,6,27,18,3,3,0,4,65,0,4,14,14,9,0,0,4,47,0,3,19,8,6,0,0,0,44,5,0,3,6,0,3,0,0,25,0,0,5,0,4,0,3,0,20,211,108,299,182,94,22,15,34,962
