SSC_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SSC10002,0,6,12,13,0,10,3,12,0,58,11,20,41,12,12,16,13,14,7,140,34,50,44,3,19,17,20,16,0,210,35,33,50,8,8,17,29,23,0,206,69,34,88,10,19,19,20,20,3,284,54,41,54,6,25,18,27,20,7,249,8,0,11,3,8,3,10,6,0,44,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,212,185,310,45,96,98,122,116,18,1194,3,0,0,17,13,41,0,8,0,84,6,37,3,23,30,43,0,4,0,151,15,62,4,14,63,14,4,0,5,185,29,55,6,11,70,17,0,8,0,195,38,44,9,44,109,23,7,5,7,281,16,26,9,21,65,24,4,17,3,190,0,5,0,7,6,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,232,36,131,350,164,13,51,20,1102
SSC10003,0,0,3,7,3,10,0,9,0,42,3,11,18,16,6,7,3,9,0,76,52,78,38,22,23,19,4,8,9,259,81,90,42,10,20,22,13,10,6,294,101,79,46,12,26,24,8,20,3,318,68,73,17,3,20,14,16,17,3,241,17,39,13,0,3,13,6,7,3,107,3,8,0,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,326,379,175,75,108,113,49,84,29,1340,0,3,3,12,4,21,0,0,0,45,3,23,7,21,12,21,0,0,0,86,52,107,11,25,55,11,0,3,3,269,67,123,4,19,58,25,0,7,3,306,63,119,12,25,74,25,0,3,8,339,30,77,0,13,59,14,0,8,4,212,12,24,0,0,19,4,0,5,0,66,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,222,473,37,110,292,130,3,27,18,1316
SSC10004,0,0,3,4,3,0,0,6,0,19,0,0,7,7,0,7,0,3,0,29,7,3,21,0,3,5,3,3,0,45,14,14,9,8,3,3,5,8,0,65,23,13,15,7,3,0,8,10,0,78,5,11,11,5,3,5,7,4,0,54,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,49,60,26,17,22,26,30,4,291,0,0,0,10,0,5,0,0,0,22,0,0,3,6,3,7,0,0,0,21,3,15,0,10,18,0,0,3,0,47,9,19,0,8,18,3,0,5,0,67,6,18,6,9,28,6,0,6,0,73,7,21,0,4,14,7,0,0,0,49,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,76,8,46,77,29,0,17,0,280
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10006,0,0,13,3,0,3,0,16,4,31,0,0,21,3,3,0,3,12,3,52,3,7,34,5,3,12,23,17,0,99,7,14,33,7,0,7,38,12,0,115,5,13,22,8,0,4,36,15,0,106,7,7,12,3,3,3,24,4,3,66,0,0,0,0,0,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,132,31,15,24,126,81,10,473,0,0,0,10,3,15,0,8,0,32,0,3,3,13,8,15,0,3,0,50,12,17,4,26,19,14,0,5,0,112,10,13,5,24,17,11,7,16,0,101,4,4,0,26,16,9,3,24,0,98,3,14,3,16,14,12,0,9,0,72,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,52,20,118,81,82,11,64,3,466
SSC10007,0,0,6,0,0,11,0,10,0,34,3,0,18,0,0,7,3,13,0,43,3,3,54,0,0,0,33,17,0,111,9,0,36,0,0,0,43,14,3,108,13,8,33,6,0,0,33,14,8,108,12,6,15,6,0,0,27,17,0,83,3,4,0,0,0,0,7,6,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,42,17,164,13,11,18,145,84,11,505,0,0,0,3,4,15,0,0,0,28,0,0,3,4,10,6,0,4,0,30,6,15,4,15,17,14,6,13,0,87,5,6,7,20,19,9,12,3,0,83,14,11,3,14,19,9,8,11,0,91,12,9,3,6,8,3,0,15,0,54,3,0,0,0,3,3,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39,49,21,61,77,60,24,54,3,395
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,7,0,0,0,0,24
SSC10009,0,0,26,6,0,18,6,33,0,90,4,3,63,3,6,18,15,24,4,142,31,44,137,26,12,19,81,42,8,400,41,36,107,11,10,11,97,19,7,347,38,25,78,17,13,11,69,12,6,266,12,18,25,10,10,12,36,14,3,128,4,5,3,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,441,69,56,98,311,144,29,1394,0,4,6,32,10,64,0,9,0,124,14,18,9,42,29,28,3,5,0,143,22,90,27,56,74,42,7,23,3,342,28,69,11,53,80,30,7,20,0,307,25,54,13,42,75,36,4,11,5,260,7,28,4,20,33,19,3,7,0,118,0,0,0,0,3,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,256,72,238,307,220,27,82,14,1302
SSC10010,0,0,7,3,0,6,3,5,0,27,0,0,12,5,0,0,6,12,0,45,3,11,36,5,0,8,28,21,0,120,5,12,37,6,0,5,24,23,6,119,11,5,28,4,0,0,33,18,5,107,5,9,21,3,0,0,30,13,0,89,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,43,139,23,8,26,130,95,14,507,0,0,5,7,0,22,0,5,0,38,0,3,4,14,8,23,3,3,0,56,10,16,4,18,28,14,8,10,0,108,3,17,5,14,19,6,5,10,0,84,10,8,3,16,18,18,3,26,0,106,4,14,0,5,16,8,0,16,0,62,0,0,0,4,3,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,65,23,81,90,91,19,65,6,456
