SSC_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SSC10001,0,3,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,9,3,22
SSC10002,68,96,56,448,6,662,0,0,0,4,0,7,131,4,9,5,0,149,144,28,15,49,3,235,10,3,0,0,0,13,155,52,34,261,3,501,84,0,8,0,0,90,13,3,0,3,0,13,26,3,8,35,0,68,63,10,5,37,3,117,6,0,0,3,0,13,45,0,0,0,0,45,21,14,8,99,0,143,514,108,47,312,7,985,3,0,0,0,0,3,42,8,12,10,0,72,39,5,0,18,0,68,96,15,10,56,0,177,24,0,0,0,0,31,14,3,0,0,0,18,23,8,0,11,0,40,49,9,3,4,0,64,17,10,6,40,0,78,47,9,3,3,9,71,4,0,3,3,0,9,73,3,15,4,0,95,11,0,0,0,0,11,46,0,5,7,0,55,144,0,8,0,0,155,3,0,0,0,0,4,990,63,55,39,11,1158,39,7,3,11,102,157,2606,297,184,1032,135,4253
SSC10003,35,181,128,840,11,1193,0,0,0,7,3,16,339,21,16,30,3,406,39,4,3,3,0,54,29,5,5,10,0,57,316,149,103,773,19,1361,39,4,4,0,0,56,22,5,0,11,0,44,66,13,4,72,0,157,111,19,20,65,0,215,25,0,7,10,0,45,43,4,0,3,0,50,99,61,48,426,9,640,640,105,43,218,10,1012,49,0,0,0,0,49,54,5,3,22,0,91,8,3,0,3,0,17,25,3,3,13,0,44,16,3,0,0,0,21,17,7,7,6,0,41,29,0,3,11,0,40,35,0,8,6,0,49,80,45,30,233,4,393,27,4,4,0,0,36,17,5,0,0,0,25,58,0,0,13,0,76,9,0,0,0,0,9,32,0,0,0,0,34,16,0,0,0,0,16,9,0,4,14,0,26,364,39,53,72,0,527,15,0,5,12,354,377,2312,413,297,1951,397,5373
SSC10004,0,33,30,417,3,480,0,0,0,0,0,0,12,0,0,5,0,17,0,0,3,0,0,4,10,3,0,9,0,17,40,31,30,388,4,493,6,0,0,0,0,6,0,0,0,13,0,16,11,3,0,39,0,54,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,11,8,176,0,197,3,3,0,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,11,10,8,131,0,155,0,0,0,0,0,0,6,3,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,20,6,8,23,0,53,0,0,0,7,39,48,107,61,46,853,49,1109
SSC10005,0,3,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,13,0,22
SSC10006,12,41,40,1160,26,1281,0,0,0,18,0,18,8,0,0,7,0,8,0,0,0,0,0,3,3,4,3,5,0,13,64,45,38,845,21,1010,4,0,0,0,0,10,3,0,0,7,0,14,10,8,0,67,3,87,0,3,0,10,0,17,0,0,0,8,0,9,4,3,0,0,3,13,13,8,8,177,0,210,3,3,0,10,0,22,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,3,0,0,8,0,13,0,0,0,0,0,8,0,0,3,0,0,7,0,0,0,3,0,6,0,0,0,0,0,0,33,18,6,237,3,300,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,10,28,4,3,37,3,74,0,3,0,38,121,166,167,99,68,1961,181,2473
SSC10007,3,37,23,1026,27,1118,0,0,0,22,0,22,6,0,0,3,0,11,0,0,0,0,0,0,7,5,0,11,0,24,46,34,18,677,18,792,11,0,0,0,0,9,0,0,0,3,0,6,7,3,4,42,3,63,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,189,0,204,3,0,0,14,0,16,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,4,0,8,8,0,0,0,0,6,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,7,9,138,6,177,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,9,26,4,9,5,0,42,0,4,0,23,148,179,123,65,41,1671,187,2084
SSC10008,0,0,5,38,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,44,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,0,5,90,7,102
SSC10009,28,177,117,2188,12,2525,0,0,0,19,0,21,9,0,3,7,0,27,4,0,0,0,0,6,13,16,6,41,0,78,214,160,103,1840,27,2334,28,0,7,0,0,35,5,0,0,7,0,15,40,25,4,206,3,279,6,0,3,16,0,30,0,3,0,6,0,14,85,0,0,0,0,91,38,48,15,540,14,649,11,5,3,68,0,85,9,0,0,0,0,8,3,0,0,0,0,3,3,0,0,9,0,8,9,0,0,10,0,18,9,7,9,10,0,37,17,8,4,3,0,36,18,3,3,26,0,52,0,0,0,3,0,9,38,39,24,472,7,576,3,0,3,0,0,7,24,3,3,0,0,32,3,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,12,3,0,21,0,36,128,30,23,38,3,232,3,0,0,44,179,227,612,309,199,4064,218,5401
SSC10010,0,66,40,1044,27,1176,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,7,0,4,8,0,17,59,58,49,914,25,1104,7,0,3,0,0,6,0,0,0,3,0,3,12,3,6,66,0,96,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,6,8,14,185,3,211,3,3,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,9,0,3,7,0,17,3,6,0,0,0,14,0,0,0,0,0,0,18,22,19,192,3,244,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,11,0,21,22,7,6,18,0,53,0,0,0,38,106,142,129,104,77,1866,155,2337
