SSC_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,19,0,49,0,0,0,3,8,0,13,0,0,6,3,0,0,14,3,0,16,10,12,0,46,0,0,3,4,8,0,15,0,4,25,14,3,3,45,0,0,4,3,0,3,14,0,5,13,13,11,0,49,16,9,59,15,26,3,131,9,3,33,29,23,0,99,0,0,6,3,0,0,10,0,0,4,4,14,0,23,0,0,3,5,6,0,18,36,20,228,162,173,36,664,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,20,18,62,12,120,3,0,3,3,0,0,14,3,0,29,21,159,12,221,3,0,9,15,21,0,49,5,0,14,21,52,9,103,3,0,15,16,25,4,63,3,0,5,15,29,3,53,0,0,18,6,3,0,29,5,0,32,17,19,3,74,4,0,6,12,10,3,38,7,4,65,23,10,3,110,0,0,4,6,12,3,30,3,13,29,31,22,0,90,23
SSC10003,7,0,24,4,0,4,3,4,0,13,6,0,15,3,5,0,27,12,7,45,16,7,3,89,3,0,6,11,6,0,27,21,10,63,23,12,3,134,3,0,14,7,17,3,39,19,7,37,6,5,0,79,35,25,78,18,9,3,171,31,8,71,28,21,0,167,5,0,3,0,4,0,16,0,0,13,7,15,3,40,0,0,8,10,4,5,34,151,66,441,170,155,33,1024,0,0,0,0,0,0,3,0,0,4,0,0,0,3,9,4,37,11,31,3,89,0,0,11,0,4,0,14,8,0,34,30,74,4,151,7,3,30,10,14,0,71,8,0,45,24,29,9,118,4,6,17,8,29,0,56,12,0,14,13,21,0,70,10,0,24,11,10,3,59,22,13,97,24,17,5,170,9,0,15,12,16,4,57,60,17,164,42,28,10,322,8,0,17,7,24,5,65,26,13,61,16,12,5,130,65
SSC10004,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,4,3,0,4,3,4,0,16,0,0,0,0,0,0,3,0,0,3,3,12,0,21,5,3,27,8,4,0,46,6,5,19,3,20,3,53,0,0,0,0,0,0,4,0,0,0,3,6,0,6,0,0,0,0,3,0,4,10,7,69,29,69,3,198,0,0,0,3,0,0,5,0,0,0,0,12,0,8,5,0,3,3,35,0,49,0,0,0,0,3,0,4,0,0,6,5,24,0,28,0,0,0,3,0,0,3,0,0,3,6,10,0,19,0,0,0,0,7,0,7,0,0,0,0,11,0,9,0,0,3,0,3,0,12,0,0,3,0,3,0,8,0,0,3,0,5,0,7,3,0,12,3,9,0,25,0,0,0,0,3,0,3,3,5,8,13,26,3,59,3
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,17,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,6,0,0,4,0,0,0,4,0,0,0,3,9,0,14,0,0,3,6,5,0,15,0,0,12,9,10,0,37,0,7,13,21,34,3,78,0,0,0,0,0,0,3,0,0,3,3,3,0,14,0,0,0,0,3,0,4,0,9,35,60,140,19,262,0,0,0,0,3,0,6,0,0,0,3,46,0,56,0,0,4,0,31,0,35,0,0,0,0,8,0,14,0,0,0,3,35,0,34,0,0,0,0,10,0,10,0,0,3,6,31,9,47,0,0,0,4,30,7,49,0,0,0,4,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,4,0,9,0,0,3,0,9,0,17,0,0,0,8,21,0,25,0,0,3,9,16,0,31,0
SSC10007,9,0,12,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,4,0,3,0,12,0,0,0,0,5,0,7,0,0,8,0,3,0,14,4,0,12,3,11,3,34,0,0,6,8,23,4,41,0,0,0,0,0,0,3,0,0,0,0,7,0,10,0,0,0,0,0,0,0,6,6,39,30,112,20,215,0,0,3,3,23,0,30,0,0,4,6,88,7,107,0,0,3,3,18,3,29,0,0,0,4,24,0,34,0,0,0,0,39,0,36,0,0,0,0,6,4,14,0,0,8,3,18,3,29,0,0,0,0,7,0,11,0,0,0,0,10,3,13,0,0,0,0,3,0,3,4,0,0,0,3,0,8,0,0,0,0,3,0,3,0,0,3,0,3,0,12,0,0,0,0,9,3,9,0,0,8,3,6,3,18,6
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,21,3,0,4,3,7,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,42,5,59,0,0,3,4,5,0,10,0,0,0,0,4,0,9,0,0,4,6,24,0,36,0,0,0,4,12,0,11,0,3,14,12,11,0,44,0,0,3,8,14,0,28,0,3,16,13,27,3,62,11,10,55,7,30,3,118,11,9,76,62,73,5,236,0,0,0,0,9,0,5,0,0,7,5,37,0,58,0,0,3,4,8,0,17,28,30,194,172,394,25,850,0,0,0,0,3,0,6,6,5,15,35,214,11,284,0,0,10,18,71,3,96,0,0,4,9,17,0,37,0,0,9,23,104,3,138,0,0,3,3,35,0,45,3,0,7,21,80,5,121,0,0,3,10,55,6,81,0,0,3,8,35,0,51,0,0,0,3,12,0,14,0,0,8,13,29,0,54,0,0,0,3,24,0,25,0,3,31,13,26,0,76,0,0,3,9,27,3,39,8,7,27,24,51,3,116,18
SSC10010,18,3,31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,13,0,0,0,0,0,0,4,0,0,3,0,12,0,12,0,0,0,3,6,0,14,0,0,4,0,9,3,19,0,0,10,3,9,0,26,0,3,13,16,39,3,73,0,0,0,0,0,0,0,0,0,0,3,8,0,11,0,0,0,0,7,0,5,4,7,35,48,150,17,255,0,0,0,0,3,0,3,0,0,0,0,47,0,46,0,0,0,4,44,3,57,0,0,0,0,7,0,7,0,0,0,0,50,3,55,0,0,0,4,10,0,13,0,0,3,3,24,0,31,0,0,3,8,26,3,42,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,4,4,7,0,12,0,0,0,0,8,3,11,0,0,5,3,10,0,23,0,0,0,3,14,4,22,0,0,4,6,18,3,29,0
