SSC_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SSC10001,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,18,44,0,44,12,21,20,0,202,4,3,4,0,3,0,0,0,0,19,57,13,145,0,40,0,10,37,0,305,16,7,6,0,16,14,16,3,0,83,39,8,7,0,23,155,13,15,5,272,28,3,11,42,4,22,0,18,0,131,10,0,8,3,26,5,47,8,3,113,9,19,3,0,3,3,0,0,0,36,9,37,0,0,70,0,0,0,3,119,3,3,3,0,15,21,0,0,0,50,14,70,13,0,33,4,0,0,0,138,7,4,0,0,6,0,6,20,0,58,11,17,6,28,60,0,0,0,3,134,27,108,3,36,27,0,0,3,0,202,6,75,10,36,36,0,0,10,4,178,7,7,3,9,7,3,0,0,0,38,11,0,45,15,10,0,0,3,0,84,23,10,24,8,13,15,19,20,15,136
SSC10003,0,4,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,40,21,13,3,5,8,6,4,0,112,6,4,0,0,4,0,0,0,0,15,48,12,66,0,27,11,9,19,3,190,40,23,3,0,17,18,0,0,0,102,55,22,12,0,16,107,8,13,0,229,33,3,9,45,3,12,0,15,0,133,24,13,4,5,20,11,31,0,5,110,20,28,8,0,16,4,0,0,0,82,52,78,5,0,62,10,0,0,5,209,13,11,0,0,16,33,0,8,3,73,69,207,12,0,51,8,0,0,3,360,23,19,7,11,13,4,0,25,0,100,27,53,4,23,42,0,3,3,8,158,38,151,5,23,30,3,0,0,0,252,19,162,3,24,48,4,0,6,5,267,15,10,3,16,0,3,0,0,0,49,10,13,35,15,12,3,0,7,0,108,23,15,12,7,23,10,0,6,8,111
SSC10004,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,9,15,8,13,0,7,3,8,5,0,64,0,0,0,0,0,0,0,0,0,4,7,4,15,0,4,0,0,6,0,42,0,0,0,0,0,3,0,0,0,5,3,0,0,0,5,29,0,10,0,54,3,0,8,9,0,3,3,6,0,29,4,0,0,0,3,0,8,0,0,14,3,3,0,0,4,0,0,0,0,11,0,0,0,0,7,0,0,0,0,9,0,0,3,0,3,4,0,0,0,7,3,16,3,0,9,3,0,0,0,27,0,0,0,0,0,0,0,4,0,4,13,12,7,18,23,0,3,3,0,72,9,35,3,13,15,0,0,0,0,73,3,36,3,24,13,0,0,3,0,82,0,3,0,0,0,0,0,0,0,4,4,0,12,3,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,15
SSC10005,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,0,0,0,0,0,0,3,3,0,7,0,6,14,0,0,0,49,3,0,72,4,3,19,0,3,9,13,17,0,60,0,3,3,0,0,0,0,3,0,12,0,5,33,0,4,0,13,20,0,76,0,0,0,0,4,3,3,0,0,13,9,0,8,0,4,73,0,11,0,115,15,0,22,30,10,7,0,32,3,116,3,0,0,0,6,0,30,3,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,4,0,0,0,10,0,0,0,0,3,8,0,0,0,15,0,8,6,0,5,0,0,0,0,21,0,5,6,3,3,0,5,15,0,42,3,6,0,18,12,0,9,3,0,54,3,16,4,21,5,0,0,3,0,54,4,31,0,67,20,0,3,9,0,131,3,3,0,3,0,0,0,0,0,15,0,3,14,7,0,0,3,9,0,45,3,0,9,5,6,0,5,6,8,45
SSC10007,30,0,11,3,3,0,0,26,0,78,3,4,43,0,4,0,112,9,0,176,8,0,14,4,4,0,7,30,0,65,0,3,20,0,3,0,3,6,0,37,7,0,28,0,9,0,13,8,0,60,0,0,3,0,3,0,0,4,0,17,9,3,7,0,0,55,0,10,0,83,10,0,3,20,3,10,0,13,0,59,3,0,0,0,3,0,19,0,0,24,0,0,0,0,3,4,0,0,0,9,0,4,0,0,13,0,0,0,0,15,0,0,0,0,0,3,0,0,0,9,0,6,4,0,7,0,0,7,0,25,0,0,4,0,4,0,4,8,0,23,0,7,0,10,3,0,4,3,3,32,4,26,0,18,6,0,0,0,0,51,3,15,3,17,6,0,0,6,0,54,0,3,0,0,3,0,0,0,0,6,0,0,25,3,3,0,3,3,0,46,0,0,10,3,3,0,6,14,7,38
SSC10008,28,0,4,0,3,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,0,0,0,0,0,0,0,9,0,14,16,28,132,0,14,0,167,7,10,380,17,9,44,0,23,5,28,27,3,149,3,4,20,0,12,0,5,0,0,36,12,13,84,0,23,9,36,27,0,200,12,3,17,0,5,11,4,3,0,67,38,3,16,0,27,191,4,21,0,305,27,0,25,67,12,43,4,49,0,218,9,3,4,3,13,10,60,5,0,108,0,4,7,0,5,0,0,0,0,14,11,11,0,0,42,7,0,0,0,66,5,0,11,0,11,7,3,0,0,44,8,38,15,0,20,0,0,0,0,93,4,6,10,12,15,0,15,32,0,84,12,29,7,31,54,0,5,6,0,152,13,98,6,26,18,0,0,0,0,166,9,114,11,130,47,4,0,9,3,328,6,3,0,9,3,3,0,0,0,18,11,13,75,15,18,3,0,13,0,140,12,3,27,7,7,7,5,14,20,101
SSC10010,6,0,0,0,0,0,0,12,0,18,0,6,15,0,3,0,41,6,0,71,8,5,22,0,9,0,27,20,0,92,0,0,7,0,0,0,0,0,0,10,0,0,36,0,8,0,11,29,0,89,3,0,4,0,5,6,0,0,0,19,5,0,11,0,3,67,4,13,0,105,16,0,12,25,3,26,3,19,0,97,0,0,3,0,0,4,29,3,0,38,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,15,0,0,4,0,0,7,7,0,0,17,0,6,6,0,10,0,0,3,0,28,0,3,3,0,3,0,6,19,0,35,0,9,3,11,12,0,4,8,0,48,0,30,5,7,3,0,0,6,0,57,0,36,6,48,15,0,0,7,0,116,4,0,0,0,0,0,0,3,0,7,0,0,20,15,0,4,0,3,0,44,0,0,8,0,5,7,12,10,12,55
