SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,0,0,0,0,0,0,0,0,5,56,25,4,89,4,0,7,96,66,0,159
SSC10003,0,0,0,0,0,0,0,0,0,79,40,5,122,4,5,6,130,94,0,230
SSC10004,0,0,0,0,0,0,0,0,0,17,7,0,26,0,0,0,26,10,0,37
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,0,3,0,0,0,3,4,0,6,38,37,6,82,9,16,18,99,87,0,187
SSC10007,0,0,0,0,0,0,0,0,3,20,20,3,40,9,3,10,46,35,3,84
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,0,0,0,0,0,0,0,0,3,79,57,8,135,4,8,10,151,81,0,236
SSC10010,0,0,0,0,0,3,0,0,3,24,30,0,49,12,0,11,63,51,0,111
SSC10011,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,9,4,0,8
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC10014,0,0,0,0,0,0,0,0,4,74,21,4,100,3,3,4,104,27,0,128
SSC10015,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,8
SSC10016,0,4,0,0,0,4,0,0,3,104,73,9,183,14,5,16,197,82,0,286
SSC10017,0,0,0,0,0,0,0,0,0,71,40,3,111,7,0,9,121,60,0,173
SSC10018,0,0,0,0,0,0,0,0,0,3,8,0,16,3,0,8,19,12,0,36
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10021,0,0,0,0,0,0,0,0,0,8,6,0,19,0,0,0,15,12,0,28
SSC10022,0,0,0,0,0,3,6,5,17,20,44,12,75,18,31,53,126,257,5,395
