SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC10001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,..,0,0,0,4,0,0,0,0,8,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,22
SSC10002,..,0,3,0,0,3,0,3,0,12,..,0,0,3,3,18,9,7,0,44,3,3,4,0,0,0,4,3,0,24,375,368,237,261,359,312,123,64,20,2123,..,11,154,332,556,514,187,73,16,1854,..,17,26,27,24,8,3,0,0,110,..,3,11,39,38,33,13,7,9,160,733,..,..,..,..,..,..,..,..,733,..,373,..,..,..,..,..,..,..,373,..,269,255,55,15,18,0,0,0,607,..,17,15,12,7,26,28,20,12,139,..,9,3,5,6,3,0,0,0,21,..,0,3,0,0,3,0,3,0,14,..,3,5,5,16,24,18,14,3,94,3,4,10,9,4,0,5,3,0,33,738,712,479,487,676,634,262,127,36,4142
SSC10003,..,13,17,19,10,10,3,3,0,73,..,8,12,35,42,65,92,70,48,370,8,3,5,5,3,3,8,4,3,45,384,203,310,398,412,341,312,189,78,2624,..,3,245,426,435,392,371,192,36,2093,..,10,110,89,79,68,24,13,0,398,..,7,9,46,71,39,21,24,9,224,768,..,..,..,..,..,..,..,..,768,..,218,..,..,..,..,..,..,..,218,..,108,110,37,40,9,0,0,0,309,..,24,23,5,13,7,23,12,16,116,..,4,6,3,10,3,0,0,0,30,..,17,36,25,25,14,10,6,3,136,..,11,23,64,91,110,149,82,54,587,9,3,18,10,6,14,7,12,3,85,776,409,590,715,766,658,598,336,123,4963
SSC10004,..,0,0,0,0,0,0,0,0,4,..,0,0,0,4,16,3,4,3,31,0,0,0,0,0,3,3,0,0,5,145,60,56,71,86,74,32,21,7,553,..,3,57,108,134,106,42,20,3,465,..,12,19,13,7,3,11,0,0,70,..,0,7,12,13,3,0,0,0,33,263,..,..,..,..,..,..,..,..,263,..,72,..,..,..,..,..,..,..,72,..,31,18,3,3,0,0,0,0,58,..,10,0,0,0,9,3,0,0,15,..,4,3,0,0,0,0,0,0,9,..,3,0,0,0,0,3,0,0,5,..,0,4,4,6,16,6,9,3,49,0,7,0,0,3,4,4,0,0,22,269,140,104,140,171,144,62,28,7,1056
SSC10005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,..,0,0,0,3,0,0,0,0,7,..,0,3,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,8,4,0,0,18
SSC10006,..,11,3,6,0,7,4,0,0,26,..,3,12,8,21,33,28,25,8,128,9,13,7,0,4,3,3,3,0,48,254,167,159,140,143,153,91,50,12,1175,..,7,92,132,143,161,103,40,3,681,..,53,72,42,22,21,3,3,3,214,..,20,42,52,45,15,9,6,3,188,485,..,..,..,..,..,..,..,..,485,..,98,..,..,..,..,..,..,..,98,..,102,28,13,9,5,0,0,0,149,..,24,7,3,0,12,11,3,0,60,..,11,6,0,3,0,0,0,0,26,..,12,13,12,5,13,8,0,0,62,..,7,27,24,44,68,50,28,8,256,14,20,15,14,9,3,11,3,0,87,504,350,287,278,290,296,189,87,22,2303
SSC10007,..,6,3,0,3,3,4,0,0,16,..,3,4,3,7,20,17,26,4,87,4,8,4,0,0,3,4,3,0,27,219,109,129,120,128,92,85,57,13,950,..,3,91,149,153,130,102,45,4,687,..,33,74,37,27,10,13,3,0,192,..,0,18,26,22,3,4,8,4,81,416,..,..,..,..,..,..,..,..,416,..,89,..,..,..,..,..,..,..,89,..,58,16,7,7,8,0,0,0,97,..,0,0,0,7,3,4,3,0,22,..,5,0,0,0,0,0,0,0,8,..,6,10,0,4,3,8,0,0,35,..,9,21,19,31,50,43,28,11,204,12,10,14,5,3,8,5,5,0,68,427,217,247,250,251,216,180,88,23,1905
SSC10008,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,5,6,8,3,0,0,45,..,0,10,5,14,10,13,3,0,49,..,0,0,5,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,21,..,..,..,..,..,..,..,..,21,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,21,3,14,14,12,12,12,3,0,89
SSC10009,..,10,10,4,3,3,0,0,0,29,..,8,14,10,16,25,17,7,0,104,11,14,11,5,5,7,5,0,0,61,692,385,462,406,332,211,132,38,8,2664,..,23,428,509,439,289,179,62,8,1920,..,98,224,115,60,20,13,3,0,527,..,21,53,73,59,18,17,5,0,235,1373,..,..,..,..,..,..,..,..,1373,..,273,..,..,..,..,..,..,..,273,..,208,46,21,13,3,0,0,0,293,..,31,12,3,4,6,15,4,3,84,..,19,23,4,4,0,0,0,0,50,..,37,31,12,3,6,3,0,0,85,..,17,50,36,30,36,30,12,3,208,23,37,25,9,10,3,10,3,0,117,1397,743,881,771,619,386,260,84,15,5160
SSC10010,..,4,3,0,0,4,3,0,0,23,..,3,11,0,9,23,21,26,13,93,9,6,8,3,4,3,6,0,0,37,232,160,154,125,133,145,95,49,17,1107,..,6,116,139,149,179,125,47,4,771,..,34,80,54,35,15,8,0,0,224,..,13,25,25,28,15,7,3,0,115,433,..,..,..,..,..,..,..,..,433,..,100,..,..,..,..,..,..,..,100,..,95,29,17,15,5,0,0,0,155,..,0,6,8,7,6,11,6,0,52,..,7,4,3,0,3,4,0,0,18,..,9,6,0,7,18,9,3,0,45,..,3,22,17,30,40,33,34,14,189,19,15,12,9,6,5,6,0,0,77,454,282,295,270,275,293,194,93,25,2187
SSC10011,..,0,0,0,0,0,0,0,0,0,..,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,30,17,17,21,22,11,9,3,0,128,..,0,21,22,29,11,6,6,0,104,..,0,11,6,0,0,0,0,0,22,..,0,0,3,0,3,0,0,0,8,73,..,..,..,..,..,..,..,..,73,..,20,..,..,..,..,..,..,..,20,..,17,3,3,0,0,0,0,0,26,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,4,0,8,8,0,0,0,15,0,0,0,0,0,3,0,0,0,5,71,35,37,35,40,25,13,11,0,274
SSC10012,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,8,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7
SSC10013,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,5,5,0,0,0,22,..,0,0,6,5,4,0,4,0,19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,3,11,..,..,..,..,..,..,..,..,11,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,10,0,5,6,4,0,3,0,42
SSC10014,..,3,4,3,3,3,0,0,0,16,..,0,3,9,9,13,17,8,0,52,0,3,4,0,0,3,3,0,0,12,407,236,281,337,269,186,94,30,5,1861,..,15,292,571,388,270,141,24,11,1704,..,10,43,17,27,12,3,0,0,115,..,0,15,29,52,25,5,4,4,128,878,..,..,..,..,..,..,..,..,878,..,261,..,..,..,..,..,..,..,261,..,162,127,24,5,7,0,0,0,320,..,14,17,9,7,16,11,19,9,112,..,5,19,4,0,0,0,0,0,29,..,10,6,9,4,3,0,0,0,36,..,0,16,15,18,19,16,3,0,87,3,3,6,4,0,4,3,0,0,28,878,480,543,679,499,349,183,53,16,3696
SSC10015,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,3,8,7,0,21,0,0,0,0,3,0,3,0,0,5,16,16,6,11,19,25,32,15,4,132,..,0,11,15,20,27,38,9,0,122,..,3,0,3,3,6,3,4,0,23,..,0,0,0,0,3,0,0,0,4,41,..,..,..,..,..,..,..,..,41,..,4,..,..,..,..,..,..,..,4,..,7,0,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,4,0,0,0,0,0,0,0,4,..,3,3,0,4,11,10,14,0,55,0,0,0,0,3,0,4,3,0,10,41,27,13,24,39,47,52,28,3,280
SSC10016,..,75,63,14,9,7,3,0,0,168,..,16,41,46,50,83,86,63,49,427,3,20,16,3,11,6,3,5,0,70,554,417,447,418,414,325,212,122,70,2989,..,3,251,477,444,320,187,97,20,1808,..,88,252,76,83,43,15,3,0,554,..,0,19,73,111,35,16,16,13,286,1071,..,..,..,..,..,..,..,..,1071,..,295,..,..,..,..,..,..,..,295,..,183,55,15,27,8,0,0,0,297,..,33,26,4,3,10,27,5,3,115,..,28,14,5,6,0,3,0,0,57,..,128,137,37,16,17,7,7,0,349,..,28,95,89,95,135,125,93,62,718,11,27,31,10,6,11,8,7,0,115,1083,809,881,794,798,585,398,220,101,5677
SSC10017,..,8,9,12,0,3,0,4,0,34,..,0,11,10,24,35,49,63,30,228,0,9,6,0,6,4,6,6,0,42,512,240,270,373,351,262,271,201,68,2565,..,3,233,539,459,392,396,254,66,2345,..,12,96,74,51,20,10,3,0,267,..,3,20,30,58,22,11,19,15,178,1077,..,..,..,..,..,..,..,..,1077,..,279,..,..,..,..,..,..,..,279,..,139,72,36,31,18,4,0,0,296,..,19,19,6,5,8,15,11,3,84,..,8,7,3,0,0,0,0,0,25,..,31,24,20,3,14,5,4,0,104,..,7,21,21,50,54,66,87,50,359,12,17,16,11,7,6,9,7,0,87,1083,532,507,736,670,535,519,385,132,5101
SSC10018,..,0,0,0,0,0,0,0,0,6,..,0,0,0,6,10,20,20,5,59,0,3,3,0,0,0,0,0,0,11,77,43,35,57,55,68,56,36,6,434,..,0,27,52,70,85,67,25,7,331,..,13,17,27,19,13,4,3,0,91,..,0,0,11,9,4,3,0,3,36,171,..,..,..,..,..,..,..,..,171,..,37,..,..,..,..,..,..,..,37,..,23,10,5,6,3,0,0,0,41,..,3,3,0,0,3,4,4,0,18,..,4,0,0,0,0,0,0,0,5,..,0,0,0,0,3,0,0,0,9,..,0,4,5,15,18,36,29,10,122,0,7,3,3,0,4,0,0,0,20,166,86,73,107,113,125,118,63,19,873
