SSC_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SSC10001,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,58,140,210,206,284,249,44,5,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,20,17,13,4,0,0,70,0,0,0,0,4,0,0,0,0,4,3,0,12,9,11,12,0,0,0,48,0,3,3,6,8,8,0,0,0,28,31,36,21,11,34,19,4,0,0,151,24,17,9,9,22,5,0,0,0,90,3,5,8,3,11,4,0,0,0,30,0,0,5,8,3,0,0,0,0,20,0,14,24,20,13,10,0,0,0,77,0,4,0,4,4,0,0,0,0,25,0,12,13,17,15,10,0,0,0,67,0,3,3,4,9,9,0,0,0,28,4,8,14,14,23,12,0,0,0,76,0,14,29,31,46,34,7,0,0,157,3,13,23,14,39,31,8,0,0,136,3,0,4,4,0,0,0,0,0,18,0,3,5,4,16,3,0,0,0,35
SSC10003,42,76,259,294,318,241,107,18,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,8,12,11,0,7,0,0,37,0,0,0,0,3,0,0,0,0,9,0,0,4,7,16,3,0,0,0,33,0,0,13,10,8,4,3,0,0,44,16,16,18,36,26,17,7,0,0,125,14,11,12,10,7,3,0,0,0,55,0,3,5,4,12,6,0,0,0,25,0,0,8,6,10,3,0,0,0,35,0,3,21,43,26,10,5,0,0,110,0,3,11,6,5,5,0,0,0,34,0,7,39,35,43,18,9,0,0,157,0,7,15,11,18,4,5,0,0,52,0,0,23,25,17,22,0,0,0,93,3,11,33,30,44,45,9,0,0,182,3,4,28,42,56,48,10,4,0,191,3,0,4,6,10,5,0,0,0,24,5,3,8,11,18,5,0,0,0,49
SSC10004,19,29,45,65,78,54,7,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,8,5,4,9,0,0,0,30,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,4,0,0,0,19,0,0,0,3,0,0,0,0,0,3,0,0,4,7,7,3,0,0,0,26,3,3,9,13,13,11,0,0,0,57,0,3,18,15,19,15,0,0,0,65,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,13
SSC10005,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,31,52,99,115,106,66,15,0,0,473,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,8,0,0,5,0,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,6,0,0,3,0,0,0,0,0,0,4,10,16,14,19,19,13,0,0,0,80,14,9,18,13,13,10,3,0,0,77,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,8,0,0,3,0,3,0,0,0,0,8,0,0,10,5,6,0,0,0,0,19,0,4,0,7,9,0,0,0,0,25,0,4,13,19,4,9,0,0,0,48,3,12,25,18,27,31,0,0,0,113,0,0,3,0,0,0,0,0,0,4,0,0,3,5,9,0,0,0,0,19
SSC10007,34,43,111,108,108,83,20,4,0,505,0,3,9,4,4,8,0,0,0,26,0,0,8,9,6,0,0,0,0,27,3,0,3,0,9,0,0,0,0,21,0,0,0,0,3,0,0,0,0,8,0,0,3,0,3,0,3,0,0,10,0,0,0,4,0,0,0,0,0,5,10,6,19,5,11,6,3,0,0,62,8,9,11,3,11,3,0,0,0,44,0,4,3,0,6,0,0,0,0,11,0,0,0,0,0,4,0,0,0,9,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,17,0,0,0,3,5,0,0,0,0,12,0,3,5,0,4,0,0,0,0,19,0,0,4,15,6,13,0,0,0,46,0,4,3,14,15,10,0,0,0,49,0,0,0,0,3,0,0,0,0,4,0,0,9,7,4,3,0,0,0,19
SSC10008,0,0,10,3,10,3,6,3,0,32,0,0,0,0,4,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,90,142,400,347,266,128,22,0,0,1394,0,3,3,0,0,3,0,0,0,10,0,5,7,13,9,0,0,0,0,37,3,3,13,12,13,3,0,0,0,39,0,0,0,4,3,3,0,0,0,10,0,3,13,7,8,0,0,0,0,35,0,0,4,0,0,0,0,0,0,9,32,21,51,41,35,9,0,0,0,181,57,20,32,17,10,4,0,0,0,149,0,0,0,8,6,3,0,0,0,31,0,0,3,3,0,0,0,0,0,9,0,10,17,15,12,0,0,0,0,49,0,7,6,7,0,0,0,0,0,19,0,9,16,15,10,3,0,0,0,50,5,3,12,12,8,8,0,0,0,51,0,3,26,19,26,7,3,0,0,83,3,5,31,43,39,18,0,0,0,134,5,32,78,70,62,35,3,0,0,284,4,3,3,0,4,3,0,0,0,12,4,7,26,18,6,4,0,0,0,70
SSC10010,27,45,120,119,107,89,5,0,0,507,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,7,0,3,8,6,5,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,0,0,13,0,0,3,0,0,0,0,0,0,3,8,18,11,7,23,11,0,0,0,82,17,10,19,14,10,3,0,0,0,69,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,16,0,0,4,0,0,0,0,0,0,5,0,0,6,5,0,3,0,0,0,15,0,4,0,3,6,4,0,0,0,18,0,0,6,10,4,6,0,0,0,22,0,0,10,7,14,9,0,0,0,36,0,5,18,24,23,19,3,0,0,92,0,0,0,0,3,0,0,0,0,5,3,0,4,5,0,0,0,0,0,22
