SSC_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SSC10002,3,3,3,7,4,3,0,0,28,9,16,16,8,9,0,0,0,50,18,31,39,81,91,30,12,4,307,23,31,30,50,31,11,3,0,183,0,0,0,3,0,0,0,0,4,0,6,9,0,7,3,0,0,24,3,11,0,3,4,3,0,0,25,5,43,26,45,37,13,3,0,173,13,17,10,10,3,4,0,0,59,4,4,4,5,4,0,0,0,28,4,0,3,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,14,13,12,13,11,19,5,9,0,79,92,174,157,237,224,76,28,3,1001,0,3,0,7,8,0,0,0,15,0,0,4,5,3,0,0,0,12,0,0,3,8,7,0,0,0,27,0,3,0,5,0,0,0,0,11,0,0,0,3,0,0,0,0,3,11,19,6,27,16,7,4,0,87,11,30,33,20,24,7,4,0,135,32,54
SSC10003,0,5,7,15,7,5,6,0,49,0,13,21,20,8,0,0,0,67,14,36,44,69,55,54,23,6,306,5,25,26,16,14,22,8,0,122,0,0,3,0,3,0,0,0,11,3,19,17,14,17,17,7,3,97,0,3,4,6,16,10,3,0,35,13,79,64,76,59,39,11,3,355,3,27,26,27,36,15,8,0,147,5,12,14,13,3,7,0,0,47,0,3,10,3,0,9,0,0,31,0,0,0,0,0,3,0,0,9,0,0,7,3,3,0,0,0,15,20,24,25,36,24,36,14,7,186,67,258,272,296,246,225,82,25,1472,0,9,11,11,9,3,0,0,45,0,6,5,8,5,0,0,0,23,0,3,6,11,3,3,3,3,34,0,0,9,3,3,0,0,0,17,0,3,3,0,0,0,0,0,13,0,31,34,40,39,18,15,3,184,8,27,26,29,36,40,14,0,185,17,85
SSC10004,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,4,3,15,15,18,19,16,3,0,82,6,11,4,6,9,0,0,0,35,0,0,3,0,3,0,0,0,18,0,0,3,3,3,0,0,0,12,0,0,6,6,0,0,0,0,17,3,5,10,15,4,0,0,0,39,4,3,0,7,8,0,0,0,25,4,0,0,4,0,0,0,0,10,0,3,4,8,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,0,0,0,23,24,44,59,80,58,18,3,0,282,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,4,15,11,3,0,0,46,0,8,12,10,16,4,0,0,51,3,13
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SSC10006,0,0,4,0,3,0,0,0,4,0,3,3,0,0,0,0,0,6,15,32,41,40,36,21,8,0,190,3,12,4,16,8,8,0,0,46,0,3,0,4,0,0,0,0,13,0,0,9,0,4,0,0,0,12,0,5,0,3,3,0,0,0,8,3,15,4,4,0,3,0,0,33,7,4,0,4,9,4,0,0,26,0,0,0,0,0,0,0,0,0,7,12,5,6,5,0,0,0,34,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,14,11,15,17,5,17,3,0,88,48,91,96,93,73,58,13,0,470,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,3,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,16,14,20,9,3,0,80,0,11,8,3,6,0,3,0,30,19,34
SSC10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,47,33,34,10,7,3,200,8,14,3,4,8,4,0,0,43,0,3,4,3,3,3,0,0,15,0,0,0,3,0,0,0,0,3,0,3,0,0,7,0,0,0,14,3,0,3,10,3,0,0,0,23,3,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,3,3,4,3,0,0,16,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,12,8,15,16,15,16,3,8,98,35,94,89,78,82,35,14,6,428,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,3,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,12,3,11,6,15,11,6,0,0,53,0,8,10,7,9,4,0,0,33,9,13
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,5,0,4,3,4,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
SSC10009,0,6,0,0,0,3,0,0,15,4,10,3,0,0,0,0,0,21,48,184,145,118,53,42,8,0,598,14,26,23,15,13,0,0,0,95,3,7,4,5,3,0,0,0,25,0,16,11,5,5,3,3,0,43,0,3,3,7,12,0,0,0,33,8,26,51,29,9,8,3,0,137,0,14,4,4,5,4,0,0,35,0,5,0,0,0,0,0,0,9,7,12,18,8,3,4,4,0,49,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,14,11,29,14,19,15,9,7,0,103,103,327,286,221,123,78,26,3,1167,0,4,4,3,3,3,0,0,19,0,5,5,3,0,0,0,0,12,4,8,3,0,0,0,0,0,22,0,4,0,0,0,0,0,0,8,3,3,4,0,0,0,0,0,15,5,55,44,48,26,7,7,0,192,10,38,32,22,19,5,3,0,124,57,103
SSC10010,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,13,14,39,49,50,51,20,10,3,238,3,13,6,6,5,5,3,0,41,3,0,4,0,4,0,0,0,10,0,0,4,5,6,3,0,0,15,0,3,3,0,4,0,0,0,16,0,9,10,3,7,3,0,0,27,3,6,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,8,0,3,3,5,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,8,13,14,11,10,15,10,0,86,38,93,94,94,95,54,23,5,494,0,0,0,0,4,0,0,0,7,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,5,0,9,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,7,16,15,18,8,0,0,66,3,7,0,3,8,0,0,0,24,13,40
