SSC_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
SSC10002,25,29,10,11,32,5,4,6,0,118,26,24,21,27,39,11,10,6,3,160,73,18,205,37,46,24,24,38,7,468,0,0,3,0,11,4,0,0,0,30,6,0,6,13,25,8,5,5,0,74,3,4,0,0,11,4,0,0,0,26,3,6,9,0,6,6,0,0,4,39,229,373,269,109,243,91,54,63,20,1443
SSC10003,42,42,8,4,27,8,0,3,0,146,37,39,23,16,33,12,0,0,0,158,50,28,99,32,33,25,14,15,3,311,0,3,3,0,9,3,0,3,0,25,12,6,6,7,31,11,0,3,0,86,9,10,5,0,11,5,0,6,0,47,4,9,3,3,10,0,0,0,0,33,452,801,176,108,278,126,17,40,23,2023
SSC10004,4,10,0,4,9,3,0,0,0,30,10,3,7,3,5,0,0,0,0,32,19,12,53,22,23,11,13,14,0,167,0,0,0,7,5,5,0,0,0,16,3,0,0,3,4,0,0,0,0,14,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,61,122,59,50,66,24,14,19,4,419
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC10006,3,5,3,3,5,3,0,3,0,22,9,9,0,30,6,4,0,3,0,58,13,17,102,43,38,15,52,31,5,310,3,0,3,3,5,7,0,0,0,20,3,0,0,4,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,4,3,10,0,28,31,77,117,89,64,38,64,51,6,538
SSC10007,3,6,0,0,0,0,3,0,0,15,8,0,5,8,3,0,3,3,4,33,22,3,132,26,32,6,57,25,4,306,0,0,0,5,4,0,0,3,0,15,0,0,6,3,3,0,9,4,0,29,0,0,0,3,0,0,0,0,0,3,4,0,7,3,8,3,8,8,0,35,44,59,149,52,54,18,78,44,4,506
SSC10008,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,8,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,24,3,3,0,3,0,0,3,0,36
SSC10009,10,23,19,11,21,3,4,3,0,101,28,23,25,41,41,14,11,10,0,194,63,31,370,96,117,55,135,53,13,933,4,3,4,9,13,10,9,6,0,56,10,6,5,10,20,8,4,3,0,56,3,3,0,3,4,0,0,0,0,12,5,6,4,3,0,10,7,0,0,37,172,359,439,195,240,104,168,77,19,1778
SSC10010,0,4,0,0,3,0,0,0,0,18,6,13,4,15,5,3,3,3,0,47,22,20,111,34,36,17,55,40,4,341,0,0,0,3,3,3,4,0,0,14,0,3,4,7,5,0,4,11,0,30,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,5,5,0,21,39,90,125,57,66,34,74,66,8,559
SSC10011,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,3,0,22,0,5,7,3,7,0,52,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,8,3,25,10,13,9,10,9,0,89
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
