SSC_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,9
SSC10002,160,0,0,0,0,0,0,19,184,167,3,0,0,0,0,0,24,196,106,12,10,4,0,0,0,12,139,40,19,23,20,3,3,0,3,110,16,14,43,20,13,0,0,4,108,10,9,74,39,16,0,3,4,157,11,14,72,37,16,3,0,9,169,10,8,90,60,18,0,4,6,202,12,15,81,53,19,0,8,3,190,18,13,40,34,16,7,4,3,130,11,3,30,26,9,4,3,3,87,0,0,15,15,6,0,4,0,38,3,3,5,12,11,4,3,3,47,0,0,11,6,0,0,3,0,21,0,3,4,3,3,3,4,0,20,571,119,497,330,121,36,33,86,1795
SSC10003,95,0,0,0,0,0,0,10,108,95,3,0,0,0,0,0,9,103,116,14,6,0,0,0,0,17,147,104,37,27,6,0,0,0,17,186,74,45,69,11,0,3,0,20,224,58,50,72,19,0,0,0,13,202,75,42,74,29,9,0,0,14,242,51,42,56,26,3,3,0,15,200,50,28,47,23,11,0,0,18,174,42,26,67,36,15,4,0,14,202,29,20,71,35,9,3,3,21,196,25,11,48,34,16,0,0,8,143,9,12,32,24,18,3,0,9,109,11,5,25,20,16,3,7,12,96,13,9,34,14,7,3,3,11,89,852,345,618,281,99,26,19,192,2430
SSC10004,38,0,0,0,0,0,0,3,39,19,0,0,0,0,0,0,6,28,14,0,8,0,0,0,0,0,28,4,7,11,11,0,0,0,3,34,0,0,21,6,3,0,0,0,35,3,4,23,9,0,0,0,0,41,0,5,32,14,3,0,0,3,59,0,4,10,11,4,0,0,0,35,0,4,16,18,0,3,0,3,47,0,3,15,8,3,3,0,0,32,0,0,8,3,3,0,0,0,17,0,0,8,3,0,0,0,0,9,0,3,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,88,34,160,77,28,9,6,20,430
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7
SSC10006,67,4,0,0,0,0,0,14,87,55,15,15,0,0,0,0,7,97,42,19,23,3,3,0,0,8,101,22,15,21,8,5,0,3,8,78,10,4,17,18,4,5,3,3,63,3,11,27,15,9,4,0,8,79,4,7,24,19,5,0,0,4,76,5,10,29,19,3,5,3,11,85,4,10,29,16,7,7,7,6,91,6,8,18,21,11,0,4,4,74,3,6,21,8,9,0,3,0,52,0,3,10,15,3,8,0,6,50,3,0,12,9,8,0,0,3,33,0,0,5,5,0,4,0,3,20,3,0,5,0,0,0,0,0,15,233,126,259,173,69,32,26,84,998
SSC10007,56,0,0,0,0,0,0,6,66,35,3,4,0,0,0,0,6,56,21,17,16,4,0,0,0,8,65,17,8,26,9,8,0,0,3,75,4,4,17,22,6,0,0,9,65,0,7,27,18,9,0,0,4,64,4,10,22,9,8,0,0,3,56,5,11,29,25,8,3,0,6,83,8,3,13,12,8,0,0,3,52,0,5,14,24,3,0,0,3,58,3,5,20,13,10,0,0,9,61,3,3,8,3,8,3,3,3,39,0,4,10,6,7,3,4,7,36,0,3,3,9,4,0,4,0,25,0,0,6,0,4,0,0,4,14,161,76,204,166,84,20,14,73,809
SSC10008,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,8,4,3,0,3,34
SSC10009,194,0,0,0,0,0,0,7,200,153,20,14,4,0,0,0,11,202,101,47,57,12,7,0,0,14,241,51,42,81,43,11,9,3,8,242,25,28,104,42,19,4,3,9,226,16,16,67,59,20,7,0,6,192,9,26,84,47,10,0,0,8,188,16,11,57,39,24,0,0,0,152,10,11,57,38,4,0,0,10,134,4,8,35,31,14,0,3,6,97,4,9,32,28,10,3,0,12,94,0,3,20,12,13,4,3,0,57,0,3,8,3,4,3,0,0,27,0,0,0,4,6,0,0,0,15,0,0,0,0,8,0,0,0,8,582,232,620,352,131,29,27,92,2071
SSC10010,71,7,0,0,0,0,0,6,84,55,13,4,0,0,0,0,11,85,33,16,7,9,5,0,0,3,70,21,19,31,11,3,3,0,8,89,7,7,27,8,10,0,0,4,57,3,9,29,20,6,0,0,0,70,8,3,19,22,10,3,3,7,70,4,7,33,15,8,6,0,3,73,12,8,26,28,14,0,5,10,97,5,4,23,17,3,0,0,0,59,3,5,13,19,8,0,0,4,53,0,7,14,10,7,3,3,0,48,4,0,7,3,6,7,3,0,31,0,0,9,3,0,3,3,4,18,0,4,3,0,3,3,0,3,19,226,107,250,174,79,27,17,65,937
