SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,3,0,18
SSC10002,3,40,72,64,78,81,12,4,0,361,0,12,66,36,67,54,7,0,0,247,0,6,36,35,61,36,3,0,0,176,0,0,23,28,48,29,0,0,0,131,0,0,33,46,53,42,4,0,0,183,0,0,7,30,26,23,0,0,0,86,20,19,23,25,36,25,11,11,0,172,347,377,493,506,695,649,267,134,36,3504
SSC10003,0,23,68,51,67,68,46,10,4,330,0,5,76,50,59,58,45,7,0,309,0,3,80,73,69,45,18,9,0,296,0,0,57,60,72,40,13,6,0,243,0,0,78,134,99,72,31,9,3,419,0,0,32,128,137,82,37,12,4,416,24,14,56,68,62,64,73,24,21,407,225,202,641,773,830,718,655,358,139,4545
SSC10004,0,3,16,18,21,16,0,3,3,80,0,0,16,16,24,19,0,0,0,75,0,3,3,11,16,12,0,0,0,48,0,0,0,14,17,9,0,0,0,35,0,0,10,24,20,18,0,0,0,68,0,0,0,11,10,3,0,0,0,22,4,5,3,5,13,4,0,8,0,52,85,65,105,143,183,149,62,27,7,833
SSC10005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,4,0,0,22
SSC10006,0,9,40,29,37,24,3,3,0,149,0,3,13,29,18,13,0,0,0,71,0,0,12,16,9,10,0,0,0,55,0,0,6,8,6,4,0,0,0,30,0,0,3,26,15,4,3,0,0,49,0,0,0,4,0,0,0,0,0,10,26,9,33,24,29,25,27,17,8,184,190,179,319,304,312,316,206,93,19,1941
SSC10007,0,7,36,30,19,13,8,0,0,116,0,4,19,15,11,13,4,0,0,71,0,0,16,15,18,14,0,0,0,62,0,0,6,12,18,13,0,0,0,49,0,0,24,38,29,20,0,0,0,126,0,0,5,7,6,0,3,0,0,26,14,7,17,24,27,18,30,19,8,172,132,108,268,268,278,241,203,99,32,1631
SSC10008,0,0,3,0,3,0,0,0,0,7,0,0,0,8,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,6,0,14,14,11,11,12,3,0,76
SSC10009,0,42,115,75,64,48,14,3,0,357,0,9,80,67,67,22,7,0,0,254,0,10,61,62,45,31,4,0,0,217,0,10,50,42,32,24,0,3,0,163,0,8,82,111,84,27,4,0,0,315,0,0,25,32,28,9,0,0,0,98,17,14,54,33,26,33,14,4,0,189,396,374,926,802,645,426,285,86,15,3964
SSC10010,0,10,38,34,28,24,3,0,0,131,0,3,29,17,15,19,0,0,0,93,0,3,15,21,15,10,3,0,0,68,0,0,11,11,11,11,0,0,0,39,0,0,9,14,18,12,0,0,0,60,0,0,3,5,3,0,0,0,0,12,12,18,20,16,23,22,25,12,7,144,154,152,313,281,305,323,211,102,29,1866
SSC10011,0,0,8,3,3,0,0,3,0,14,0,0,3,4,0,0,0,0,0,15,0,0,8,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,7,6,8,6,11,3,7,4,0,56,30,20,50,46,55,31,18,10,0,259
SSC10012,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,11
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,6,4,0,3,0,32
SSC10014,3,21,90,83,71,47,16,0,0,324,3,8,59,90,56,37,10,0,0,261,0,6,63,75,54,23,3,0,0,221,0,0,38,52,44,17,0,0,0,155,0,0,39,111,65,20,6,0,0,238,0,0,4,23,16,9,0,0,0,60,11,12,32,25,16,23,14,0,0,125,234,250,570,699,508,368,193,56,18,2904
