SSC_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SSC10001,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10002,..,3,61,153,260,280,105,42,10,920,..,9,9,14,11,6,3,0,0,56,..,0,0,3,5,7,4,4,0,30,359,..,..,..,..,..,..,..,..,359,..,178,..,..,..,..,..,..,..,178,..,133,146,31,9,7,0,0,0,333,..,6,15,9,5,12,11,4,0,55,..,6,0,5,6,3,0,0,0,23,..,0,0,0,0,0,0,0,0,5,..,3,7,3,11,6,7,5,3,49,0,0,3,6,3,0,3,0,0,13,359,340,242,228,312,323,136,58,19,2021,..,13,87,177,298,239,87,26,0,927,..,9,16,16,10,4,3,0,0,56,..,3,12,36,30,23,8,6,4,126,371,..,..,..,..,..,..,..,..,371,..,195,..,..,..,..,..,..,..,195,..,129,110,20,9,5,0,0,0,277,..,10,7,0,4,19,16,13,11,83,..,0,0,0,0,0,0,0,0,3
SSC10003,..,0,105,198,205,194,197,110,24,1045,..,7,51,49,33,41,20,4,0,196,..,3,0,6,17,12,6,3,7,50,391,..,..,..,..,..,..,..,..,391,..,111,..,..,..,..,..,..,..,111,..,57,60,23,19,3,0,0,0,173,..,15,12,3,3,3,9,3,3,48,..,0,5,0,10,0,0,0,0,16,..,8,18,13,11,8,5,0,0,61,..,4,12,24,46,49,57,13,10,212,0,0,13,3,5,6,3,3,0,36,395,201,279,318,350,312,288,141,47,2338,..,3,137,230,224,197,170,83,9,1047,..,11,59,38,46,24,8,3,0,198,..,0,9,41,59,26,15,16,6,180,373,..,..,..,..,..,..,..,..,373,..,105,..,..,..,..,..,..,..,105,..,50,47,16,15,7,0,0,0,133,..,7,12,6,6,5,13,11,13,66,..,4,5,4,0,0,0,0,0,15
SSC10004,..,0,26,50,65,54,22,5,4,233,..,6,7,10,6,3,6,0,0,31,..,0,0,0,0,0,0,0,0,4,122,..,..,..,..,..,..,..,..,122,..,34,..,..,..,..,..,..,..,34,..,26,13,0,3,0,0,0,0,39,..,3,0,0,0,0,0,0,0,8,..,3,3,0,0,0,0,0,0,9,..,3,0,0,0,0,0,0,0,5,..,0,0,0,3,4,4,0,0,13,0,7,0,0,0,4,3,0,0,10,121,76,48,61,82,66,37,9,6,505,..,3,35,55,65,48,16,13,0,232,..,4,15,4,3,3,3,0,0,32,..,0,5,13,12,5,0,0,0,31,145,..,..,..,..,..,..,..,..,145,..,37,..,..,..,..,..,..,..,37,..,7,6,3,0,0,0,0,0,19,..,5,0,0,0,3,3,0,0,8,..,0,0,0,0,0,0,0,0,0
SSC10005,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,13,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,3,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10006,..,5,40,63,74,78,57,21,3,336,..,22,38,23,11,10,0,3,0,106,..,4,3,11,15,5,3,3,0,39,242,..,..,..,..,..,..,..,..,242,..,57,..,..,..,..,..,..,..,57,..,60,15,12,6,0,0,0,0,93,..,14,3,3,0,8,5,0,0,32,..,11,3,0,3,0,0,0,0,17,..,7,8,6,7,5,3,0,0,37,..,9,14,16,26,33,22,6,3,124,7,5,9,8,4,3,3,0,0,42,247,186,128,141,142,144,94,39,9,1132,..,4,51,69,70,83,44,16,3,342,..,31,38,15,12,11,0,0,3,104,..,23,36,37,36,10,4,3,0,150,245,..,..,..,..,..,..,..,..,245,..,38,..,..,..,..,..,..,..,38,..,42,7,3,0,0,0,0,0,53,..,13,0,0,0,4,5,3,0,26,..,4,3,0,0,0,0,0,0,8
SSC10007,..,0,40,72,66,71,53,26,3,335,..,9,36,19,13,4,4,0,0,92,..,0,0,3,6,0,0,0,0,15,203,..,..,..,..,..,..,..,..,203,..,44,..,..,..,..,..,..,..,44,..,37,19,7,5,3,0,0,0,65,..,0,0,0,3,0,3,0,0,14,..,3,0,0,0,0,0,0,0,3,..,7,8,0,0,0,0,0,0,19,..,6,10,13,17,33,28,4,7,119,5,4,13,6,3,4,0,5,0,44,208,110,123,129,122,119,93,35,12,951,..,3,54,75,85,59,51,18,4,345,..,23,38,18,12,5,4,0,0,105,..,0,21,18,17,0,4,3,4,69,216,..,..,..,..,..,..,..,..,216,..,42,..,..,..,..,..,..,..,42,..,21,3,0,3,3,0,0,0,29,..,0,0,0,0,3,3,3,0,15,..,0,0,0,0,0,0,0,0,3
SSC10008,..,0,3,3,7,5,6,3,0,26,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,14,..,..,..,..,..,..,..,..,14,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,10,3,7,3,7,3,0,46,..,0,3,5,7,8,4,0,0,22,..,0,0,3,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10009,..,8,187,249,219,142,97,38,3,940,..,36,105,59,32,13,7,0,0,258,..,3,7,6,8,3,0,0,0,25,696,..,..,..,..,..,..,..,..,696,..,127,..,..,..,..,..,..,..,127,..,110,30,12,11,3,0,0,0,168,..,14,9,4,0,0,4,0,0,33,..,14,20,3,4,0,0,0,0,33,..,27,19,7,0,3,0,0,0,53,..,12,31,22,8,12,9,3,0,100,11,18,17,7,4,0,3,3,0,61,712,361,418,371,287,169,125,44,5,2496,..,14,240,257,224,147,78,21,3,984,..,58,113,52,25,11,4,0,0,270,..,17,52,60,48,12,13,5,0,208,674,..,..,..,..,..,..,..,..,674,..,141,..,..,..,..,..,..,..,141,..,93,17,5,7,3,0,0,0,126,..,13,4,3,9,4,13,6,3,51,..,5,6,3,0,0,0,0,0,16
SSC10010,..,3,53,74,75,87,67,29,3,380,..,16,36,28,15,12,3,0,0,110,..,0,5,10,13,3,3,0,0,29,217,..,..,..,..,..,..,..,..,217,..,42,..,..,..,..,..,..,..,42,..,52,19,14,12,4,0,0,0,102,..,0,7,7,4,5,6,3,0,27,..,6,4,0,0,3,4,0,0,13,..,3,4,0,3,10,3,0,0,28,..,0,17,10,22,20,15,6,3,93,16,9,7,9,0,3,0,0,0,37,225,131,144,150,143,147,101,36,8,1083,..,10,71,70,79,91,56,20,0,391,..,21,41,22,23,7,5,0,0,115,..,13,19,21,10,12,4,3,0,83,222,..,..,..,..,..,..,..,..,222,..,62,..,..,..,..,..,..,..,62,..,36,7,4,0,3,0,0,0,52,..,0,3,0,3,4,4,5,0,19,..,3,0,3,0,0,0,0,0,6
