SSC_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
SSC10001,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,22,79,59,58,234,294,142,275,29,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,9,13,10,10,4,0,70,0,0,0,0,0,3,0,0,0,4,0,13,9,4,5,14,0,0,0,48,3,0,0,5,13,6,0,3,0,28,0,41,26,21,20,19,5,11,0,151,3,22,18,18,8,11,3,0,0,90,0,0,0,4,8,7,0,3,0,30,0,3,0,0,7,6,0,3,0,20,0,0,7,8,19,27,4,6,3,77,0,5,0,0,3,3,3,4,0,25,0,3,10,14,9,12,0,4,3,67,3,0,4,8,7,3,0,0,0,28,0,5,10,7,32,12,3,3,0,76,5,10,18,27,27,34,12,23,3,157,3,17,19,25,36,19,3,9,0,136,3,3,0,3,6,0,0,0,0,18,0,8,5,3,7,3,0,4,0,35
SSC10003,27,92,86,87,186,312,157,381,23,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,4,3,4,5,9,0,37,0,0,0,0,0,3,0,3,0,9,0,6,5,8,4,6,0,6,0,33,0,3,4,6,3,14,6,7,3,44,4,19,27,17,26,15,6,14,0,125,4,15,10,0,4,13,8,3,0,55,0,0,4,0,8,3,4,3,0,25,3,3,4,3,6,5,3,3,0,35,7,3,9,6,21,34,9,20,4,110,0,3,3,5,4,4,5,5,0,34,3,14,20,16,26,32,13,35,0,157,0,4,6,4,8,15,4,9,0,52,15,10,3,9,27,16,5,8,0,93,4,28,20,8,26,36,16,37,3,182,5,14,39,34,32,32,15,17,0,191,0,6,3,0,3,9,0,0,0,24,3,11,6,9,5,14,3,5,0,49
SSC10004,7,17,13,25,60,55,29,78,3,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,4,3,6,4,0,0,0,30,0,8,4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,3,3,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,3,0,3,0,10,6,0,0,0,26,5,6,5,10,13,7,3,5,0,57,3,5,14,15,9,17,3,0,0,65,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,13
SSC10005,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,12,27,28,44,109,92,58,91,13,473,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,8,0,0,0,0,3,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4,3,23,21,16,15,3,3,0,0,80,3,24,11,15,6,3,10,6,0,77,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,3,0,3,0,3,0,3,0,8,3,0,3,3,0,0,0,5,0,19,3,3,3,5,9,4,3,0,0,25,0,11,12,10,5,4,0,6,0,48,9,4,22,19,23,19,7,5,0,113,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,3,0,0,0,19
SSC10007,18,42,32,44,94,76,79,114,14,505,3,4,0,4,3,3,4,3,0,26,6,0,3,0,3,3,3,11,0,27,0,0,0,4,9,3,3,0,0,21,0,0,0,0,8,0,0,0,0,8,0,3,0,0,0,0,0,3,0,10,0,0,0,0,3,0,0,0,0,5,0,14,14,17,9,3,0,5,0,62,0,19,10,7,0,3,0,4,0,44,0,0,3,0,4,0,0,0,0,11,0,0,0,0,4,0,0,0,0,9,0,0,0,4,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,3,3,0,17,0,3,3,0,0,0,3,0,0,12,0,0,0,4,7,3,0,0,0,19,3,0,10,12,6,4,8,3,0,46,4,3,8,13,7,5,0,4,0,49,0,0,0,0,0,0,0,0,0,4,0,5,4,4,4,0,0,0,0,19
SSC10008,0,3,4,0,0,4,0,20,0,32,0,0,0,0,0,3,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,34,78,54,72,246,268,232,392,16,1394,0,0,4,0,0,0,0,0,0,10,3,3,0,0,11,8,0,7,0,37,0,3,3,9,15,5,3,3,0,39,0,0,0,0,7,3,0,0,0,10,0,6,3,7,5,7,3,4,0,35,0,0,3,0,4,3,0,0,0,9,9,46,33,32,32,11,9,3,3,181,7,70,22,19,12,5,5,7,0,149,3,4,7,7,0,3,3,0,0,31,0,0,0,3,3,0,0,0,0,9,0,0,4,8,16,9,5,3,0,49,0,0,3,0,4,10,4,0,0,19,3,5,8,7,10,10,4,4,0,50,5,3,8,9,7,6,3,7,0,51,14,5,4,5,39,10,3,4,0,83,3,18,16,20,21,18,8,20,0,134,13,32,51,59,53,46,16,15,0,284,0,7,0,10,0,0,0,0,0,12,3,9,7,12,13,14,8,8,0,70
SSC10010,21,34,28,27,115,106,65,86,15,507,0,0,0,4,0,0,0,0,0,6,0,0,0,0,3,3,0,3,0,7,0,3,8,6,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,4,0,0,13,0,0,0,0,0,0,0,0,0,3,5,22,17,11,15,4,3,4,0,82,3,28,13,6,11,9,5,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,6,3,0,5,0,0,0,0,15,0,3,6,0,0,0,0,0,0,18,4,3,4,3,6,0,0,0,0,22,0,9,4,7,4,9,0,5,0,36,3,13,26,14,14,9,3,3,0,92,0,0,0,0,0,0,0,0,0,5,0,3,3,0,3,3,0,0,0,22
