SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,13
SSC10002,0,7,7,3,29,18,9,13,0,84,14,15,13,8,21,30,3,18,16,136,57,234,217,227,457,502,194,368,51,2297
SSC10003,3,18,8,9,12,19,13,21,0,108,0,14,10,6,15,20,9,17,17,111,77,242,273,220,401,570,270,576,39,2660
SSC10004,0,3,0,3,3,7,3,0,0,19,0,3,0,0,0,0,0,0,0,15,22,65,59,67,120,100,47,92,4,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,14
SSC10006,0,5,5,3,5,5,7,12,0,45,3,4,3,0,7,8,4,0,13,45,41,106,110,125,184,146,86,121,20,943
SSC10007,0,5,6,3,11,10,3,4,0,46,0,3,0,0,7,12,0,5,3,38,32,100,85,122,171,120,100,155,20,906
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,3,0,10,4,31,0,61
SSC10009,5,16,10,13,22,29,15,29,0,140,3,8,11,3,20,20,6,8,21,101,108,311,242,281,497,429,313,471,30,2695
SSC10010,3,3,3,0,14,3,3,3,0,44,0,5,3,3,11,3,0,10,14,55,41,129,120,100,192,157,81,116,27,962
SSC10011,0,0,3,3,3,0,0,4,0,15,0,0,0,0,0,3,0,0,0,3,3,11,18,16,19,21,13,20,0,121
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,5
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,6,0,16
SSC10014,4,5,14,8,20,25,3,13,0,87,0,4,12,4,14,17,8,8,14,90,56,153,178,179,546,461,210,264,31,2074
SSC10015,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,5,3,22,14,16,18,22,10,29,7,136
SSC10016,0,14,12,15,25,18,3,15,0,96,0,9,3,7,15,19,10,9,28,107,116,384,337,352,576,552,308,420,53,3107
SSC10017,0,15,11,11,16,23,3,19,0,90,0,11,3,5,8,17,7,9,10,69,79,322,297,291,437,466,222,371,31,2521
SSC10018,0,0,0,0,3,3,0,3,0,10,0,0,0,3,9,12,4,9,4,37,20,40,44,44,54,55,27,83,5,376
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,4,6,3,17,0,42
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,0,7,0,21
SSC10021,0,3,3,3,0,0,0,7,0,19,0,0,0,4,0,7,3,0,0,22,12,44,44,50,75,83,45,96,6,463
SSC10022,0,0,0,0,4,4,0,0,0,11,3,11,0,3,6,9,6,3,29,78,28,65,46,75,130,80,39,31,39,525
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,8,0,6,0,30
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,22,0,34
SSC10025,18,26,19,36,63,65,40,44,0,304,11,17,16,21,50,36,14,33,36,236,246,689,684,766,1289,1112,635,842,82,6347
SSC10026,4,22,12,19,23,22,18,13,0,137,5,12,4,5,24,24,16,24,29,131,100,336,322,368,595,523,248,357,55,2906
SSC10027,0,12,10,10,15,11,11,12,0,73,4,7,9,7,11,11,3,7,8,64,84,276,248,296,396,355,242,358,27,2288
SSC10028,0,0,0,0,3,0,0,3,0,15,0,0,0,0,4,3,0,0,3,17,17,38,30,55,56,43,22,42,7,311
SSC10029,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,12,11,6,5,9,12,28,0,82
SSC10030,3,9,13,16,48,35,20,21,3,162,4,10,26,19,37,50,23,44,28,239,163,256,348,385,1043,1417,787,1186,84,5670
SSC10031,0,8,10,5,16,22,0,14,0,79,3,10,4,3,15,13,6,9,14,79,42,205,186,169,332,376,152,295,32,1792
SSC10032,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,8,12,10,8,4,20,0,60
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,7,6,0,7,0,39
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,11,0,3,0,31
SSC10036,4,22,17,15,22,18,10,16,0,129,3,14,8,17,24,31,7,26,24,152,105,424,389,431,462,589,332,599,54,3385
SSC10037,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,6,3,7,4,5,4,10,0,43
SSC10038,0,12,9,10,20,16,8,9,0,95,4,19,26,14,28,21,8,16,36,168,81,267,423,284,730,609,208,269,60,2936
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,7,0,4,0,20
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,4,10,0,4,0,48
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,6,13,16,12,10,0,67
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,3,12,0,33
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,5,7,0,6,0,31
SSC10044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,11,10,12,10,14,10,12,0,66
SSC10045,0,3,0,0,0,0,0,0,0,6,0,3,0,3,4,0,0,3,3,15,7,26,31,30,42,30,18,30,3,223
SSC10046,5,13,12,9,17,13,3,17,0,87,4,11,7,5,13,20,0,8,19,80,83,311,273,325,430,324,138,297,36,2217
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,7,4,3,14,0,40
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,3,0,8,0,22
SSC10049,0,12,11,8,24,27,15,15,3,117,6,12,9,16,39,41,9,12,32,180,87,307,243,301,672,652,271,320,72,2925
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,4,0,15
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,0,21
