SSC_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC10039,17,12,29,3,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,6,4,10,0,0,0,0,0,0,10,9,16,6,3,8,30,30,56
SSC10040,44,63,99,4,0,4,8,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,12,3,15,7,9,11,59,72,132
SSC10041,58,51,104,4,3,3,21,9,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,30,0,0,3,0,0,0,28,16,38,11,6,11,90,68,153
SSC10042,22,12,35,3,3,3,12,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,26,0,0,0,0,0,0,15,12,31,0,0,0,35,27,60
SSC10043,20,14,31,4,3,6,3,3,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,11,9,20,0,0,0,26,21,51
SSC10044,39,44,84,0,4,3,18,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,33,0,0,0,0,0,0,15,16,35,8,7,16,60,71,133
SSC10045,129,151,280,15,7,23,24,30,54,3,3,12,10,12,22,0,0,0,0,3,5,0,0,3,0,0,3,0,0,0,0,0,0,43,48,93,0,3,6,0,0,0,61,58,120,12,12,22,205,222,425
SSC10046,1403,1703,3108,286,346,627,444,541,981,7,8,17,82,99,181,0,5,8,15,22,30,4,8,7,0,3,4,4,5,6,0,0,0,562,682,1244,26,32,59,19,19,32,887,1078,1962,162,207,373,2455,2984,5443
SSC10047,30,29,60,3,5,4,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,14,0,0,0,0,0,0,6,17,19,3,3,8,42,47,87
SSC10048,13,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,11,3,0,10,23,20,43
SSC10049,2011,2134,4141,207,218,422,642,715,1359,14,9,19,24,23,46,3,0,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,684,752,1435,103,120,221,23,10,31,1010,1100,2112,260,301,564,3282,3532,6820
SSC10050,12,8,24,0,0,0,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,8,3,7,0,0,0,17,13,31
SSC10051,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,6,0,0,0,0,3,6
SSC10052,16,12,31,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,8,0,0,0,23,14,34
SSC10053,7,3,6,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,6,10,8,5,14,14,15,32
SSC10054,31,17,44,5,0,5,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,7,5,18,0,0,3,38,25,67
SSC10055,23,24,48,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,5,0,0,0,0,0,0,3,4,5,6,7,10,34,29,59
SSC10056,52,51,104,6,4,6,11,11,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,25,0,0,4,0,0,0,14,19,30,5,4,14,78,68,146
SSC10057,19,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,13,32,28,58
SSC10058,26,17,37,0,0,0,6,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,13,12,20,0,3,3,0,0,0,13,13,26,11,15,26,50,45,92
SSC10059,56,64,120,18,17,36,15,15,25,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,37,5,7,4,0,0,0,36,41,75,10,12,22,102,118,217
SSC10060,953,960,1911,149,148,300,420,463,886,10,13,28,41,30,77,3,0,0,6,6,14,0,3,4,5,3,11,3,10,7,0,0,0,488,535,1021,10,22,29,8,5,12,654,713,1362,169,216,387,1775,1887,3665
SSC10061,1926,2106,4034,229,251,476,1178,1282,2465,62,64,125,44,42,90,9,18,31,25,32,54,3,7,10,7,6,6,22,27,55,0,0,0,1348,1486,2829,329,367,700,46,53,97,1950,2154,4101,356,344,697,4223,4607,8832
SSC10062,469,439,912,32,35,74,150,130,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,130,281,17,3,21,0,0,0,202,177,374,28,32,67,701,647,1350
SSC10063,571,559,1132,50,60,108,471,482,954,0,0,0,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,477,489,973,9,9,19,5,6,13,548,566,1111,69,59,132,1190,1183,2373
SSC10064,10,9,16,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,3,3,10,5,4,11,15,22,35
SSC10065,7,6,16,3,4,5,8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,0,0,0,0,0,0,12,5,16,3,4,3,20,14,34
SSC10066,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,5,12
SSC10067,33,32,68,8,6,17,6,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,17,0,0,0,0,0,0,16,14,33,3,3,4,52,53,107
SSC10068,7,3,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,9,4,12
SSC10069,140,126,265,24,21,46,31,16,47,0,3,4,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,69,3,4,3,0,0,0,62,58,119,10,13,20,211,193,410
SSC10070,52,42,95,4,0,6,9,6,17,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,11,19,33,0,3,3,3,0,6,21,26,45,17,15,26,84,75,161
SSC10071,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC10072,450,443,892,29,26,56,147,145,290,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,147,302,12,18,30,0,0,0,193,196,386,22,27,51,662,665,1329
SSC10073,403,379,784,53,60,113,142,135,277,9,0,6,3,8,13,0,0,0,3,3,4,0,0,0,3,3,6,0,0,0,0,0,0,157,156,305,7,13,21,0,0,0,217,225,438,21,29,54,648,634,1277
SSC10074,10,9,24,4,4,9,9,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,0,0,0,0,0,0,12,15,28,5,3,7,27,29,62
SSC10075,76,60,141,4,3,7,18,27,45,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,47,0,0,0,0,0,0,25,31,55,3,3,7,109,95,200
SSC10076,150,136,288,17,15,32,31,35,70,3,3,7,4,3,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,40,48,89,0,3,4,0,0,0,60,64,116,47,44,92,253,246,499
SSC10077,6,7,18,0,3,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,12,0,0,0,11,16,30
SSC10078,397,384,777,25,28,60,144,163,311,0,0,0,3,3,8,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,158,168,325,6,5,14,4,0,6,192,210,406,34,43,82,624,633,1259
SSC10079,82,50,133,13,5,17,17,17,34,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24,20,40,0,0,0,0,0,0,34,31,60,13,6,17,122,87,208
SSC10080,4,0,5,3,0,5,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,8,8,12,0,0,0,5,10,16
SSC10081,163,154,315,5,10,24,36,39,72,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,40,48,85,0,0,0,0,0,0,49,57,111,19,14,39,233,228,463
SSC10082,20,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,24,14,43
SSC10083,9,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,6,23
SSC10084,48,50,95,5,12,19,5,3,13,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,0,0,0,0,0,0,16,20,33,3,7,11,66,74,136
SSC10085,4882,5310,10189,1788,1928,3721,1748,2060,3812,92,109,200,274,326,602,21,23,43,34,42,79,20,21,41,19,27,46,36,30,60,3,0,3,2245,2640,4884,624,660,1280,72,59,126,4729,5290,10016,875,959,1837,10483,11562,22041
SSC10086,2464,2558,5021,227,227,447,1105,1041,2144,28,15,45,45,50,91,12,6,23,13,7,18,3,4,3,3,3,10,13,12,25,0,0,0,1225,1141,2365,693,652,1348,36,38,70,2174,2059,4235,346,345,695,4985,4960,9944
SSC10087,3,0,7,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,3,9,3,13,14,0,12,28,6,27
SSC10088,142,152,296,12,15,25,40,32,74,8,10,15,12,4,13,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,60,54,118,0,8,4,0,3,3,77,77,153,36,34,71,253,265,520
SSC10089,148,149,295,14,19,38,37,41,79,3,5,5,8,11,21,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,58,59,110,17,16,35,0,0,0,92,96,184,17,14,40,264,257,520
SSC10090,1896,2007,3904,270,291,559,1129,1161,2284,45,33,79,30,40,67,16,14,25,11,6,20,3,8,12,3,0,0,11,17,25,0,0,0,1249,1279,2528,636,717,1350,36,27,63,2186,2316,4499,242,253,496,4326,4571,8900
SSC10091,18,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,39
SSC10092,15,8,22,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,9,0,0,0,18,9,31
SSC10093,1126,1169,2292,25,21,48,283,309,589,6,10,18,4,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,320,621,26,30,60,0,0,3,350,378,731,67,58,130,1551,1601,3150
SSC10094,102,97,196,3,7,8,26,29,52,0,0,0,9,13,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,76,8,3,12,3,0,3,47,52,96,14,15,21,160,157,319
SSC10095,69,56,120,0,6,3,23,33,57,3,3,4,9,7,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,43,73,0,0,0,0,0,0,35,45,81,8,7,15,111,114,221
SSC10096,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,10,6,16
SSC10097,909,962,1872,63,65,129,292,334,620,3,0,0,0,5,4,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,300,338,636,86,79,162,18,16,31,465,494,959,218,210,430,1596,1671,3262
SSC10098,4727,5060,9789,710,697,1411,2495,2409,4908,56,62,122,85,71,154,25,27,52,18,14,32,11,9,24,9,7,18,31,38,66,0,0,0,2728,2646,5375,2071,2159,4231,92,74,168,5597,5579,11176,833,798,1622,11158,11436,22596
SSC10099,210,197,408,20,19,39,39,33,73,0,0,0,4,13,18,0,3,9,0,0,0,0,0,0,8,8,13,0,0,0,0,0,0,49,56,111,0,0,0,0,3,3,71,82,149,31,34,65,309,313,630
SSC10100,106,95,203,18,13,33,24,22,51,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,53,0,0,0,0,0,4,47,49,96,10,20,35,168,160,324
SSC10101,897,994,1891,128,177,309,359,417,776,23,25,50,12,29,45,0,6,7,3,10,13,0,0,0,0,0,3,4,3,11,0,0,0,408,489,898,31,19,49,11,3,19,579,694,1274,164,183,346,1647,1868,3512
SSC10102,1190,1243,2436,251,273,525,465,485,943,14,14,25,25,24,56,9,9,16,5,10,14,3,0,6,0,3,4,5,5,13,0,0,0,527,549,1074,28,37,60,7,7,17,812,860,1674,115,91,208,2126,2190,4315
