SSC_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SSC10001,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,13,92,178,178,259,206,26,3,0,948,35,45,22,10,21,36,22,0,0,192,3,7,0,8,3,9,0,0,0,22,3,0,6,11,6,0,0,0,0,29,58,140,210,206,284,249,44,5,0,1194,0,8,4,9,6,4,3,0,0,33,17,0,6,0,0,3,0,0,0,22,17,10,11,12,3,3,3,0,0,60,72,152,220,214,294,253,48,5,0,1254,92,26,23,19,24,63,86,53,19,395,3,8,12,11,8,13,3,4,0,59,165,189,253,243,319,333,140,61,19,1711,8,77,119,96,160,95,10,0,0,564,69,64,47,88,117,83,9,0,0,481,3,4,7,10,3,7,0,0,0,31,0,4,6,0,3,0,0,0,0,24,84,151,185,195,281,190,18,0,0,1102,5,9,4,3,3,3,0,0,0,20,10,3,3,3,4,0,0,0,0,21,16,12,8,3,5,5,0,0,0,45
SSC10003,3,42,215,255,275,186,50,6,0,1035,31,33,35,28,31,47,52,9,0,260,0,0,3,3,9,5,3,0,0,27,3,0,8,7,3,4,4,0,0,23,42,76,259,294,318,241,107,18,0,1340,0,0,5,10,13,10,0,0,0,35,4,0,3,3,3,4,3,3,0,20,4,3,8,9,10,12,3,3,0,53,44,76,261,306,331,248,109,17,0,1397,72,16,12,18,25,74,184,132,42,568,10,6,27,24,28,18,30,7,7,153,118,102,300,344,389,346,316,152,46,2115,6,45,188,196,213,113,26,3,0,777,30,38,53,95,115,92,43,3,0,470,3,0,19,9,11,3,4,0,0,48,0,3,3,4,0,0,0,0,0,14,45,86,269,306,339,212,66,3,0,1316,0,5,3,6,0,3,0,0,0,19,3,6,3,4,4,4,0,0,0,26,3,5,6,13,6,10,0,0,0,47
SSC10004,7,17,36,56,67,40,0,0,0,226,5,11,6,7,6,13,4,0,0,57,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,19,29,45,65,78,54,7,0,0,291,0,6,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,9,19,34,45,65,81,54,7,0,0,299,19,4,4,0,3,19,26,7,6,92,0,3,0,3,3,0,0,0,0,16,41,37,47,70,85,72,37,7,6,408,0,7,21,30,45,31,0,0,0,130,18,12,24,34,29,20,0,0,0,138,0,0,0,6,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,22,21,47,67,73,49,4,0,0,280,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,6,3,0,0,0,4,0,0,0,0,6
SSC10005,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,7,31,81,98,73,47,4,0,0,348,15,18,14,14,20,13,7,0,0,102,3,0,3,3,3,0,0,0,0,12,4,0,5,0,4,3,0,0,0,13,31,52,99,115,106,66,15,0,0,473,7,11,11,13,3,11,0,0,0,60,9,0,3,0,0,0,0,0,0,13,19,11,15,13,3,11,0,0,0,73,47,60,115,122,111,76,11,0,0,552,50,21,20,22,33,68,80,40,9,339,3,0,8,9,11,7,12,0,0,54,100,85,142,158,155,152,106,38,9,945,4,27,45,41,43,27,0,0,0,192,24,20,48,59,46,40,3,0,0,243,0,4,11,6,0,3,0,0,0,28,0,0,4,0,0,0,0,0,0,6,32,50,112,101,98,72,9,0,0,466,0,4,7,7,3,0,0,0,0,24,7,4,3,3,7,8,0,0,0,38,10,13,13,8,14,4,0,0,0,63
SSC10007,11,26,92,88,91,53,3,3,0,366,19,10,15,12,18,13,15,0,0,114,0,3,3,4,0,3,0,0,0,18,3,0,0,3,3,3,0,0,0,14,34,43,111,108,108,83,20,4,0,505,0,6,6,7,3,3,0,0,0,24,3,0,0,0,0,3,0,0,0,5,3,6,6,3,3,3,0,0,0,26,35,47,121,111,115,87,20,4,0,534,29,7,5,14,13,43,77,36,11,231,8,7,4,9,12,8,9,0,0,59,67,56,130,140,137,140,106,39,16,827,4,15,51,36,45,27,0,3,0,181,20,11,34,43,42,27,14,0,0,193,0,4,3,3,4,0,0,0,0,17,3,0,0,0,0,0,0,0,0,8,28,30,87,83,91,54,11,3,0,395,7,8,3,3,4,0,0,0,0,20,0,4,3,0,3,3,0,0,0,19,3,7,7,4,3,6,0,0,0,36
SSC10008,0,0,3,3,10,3,0,0,0,27,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,3,6,3,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,10,3,10,3,6,3,0,37,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,10,3,10,9,7,3,0,40,0,0,3,3,3,3,3,0,0,19,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,33,99,347,310,230,109,15,0,0,1140,54,35,35,32,25,13,6,0,0,204,0,3,8,3,12,8,0,0,0,34,0,0,3,3,9,0,0,0,0,16,90,142,400,347,266,128,22,0,0,1394,16,10,9,14,10,3,0,0,0,58,12,7,3,0,0,3,0,0,0,23,24,15,12,14,7,9,0,0,0,83,115,158,414,363,279,139,22,0,0,1474,76,18,19,20,17,41,114,46,5,352,5,4,21,4,14,14,3,3,0,65,194,172,452,384,307,194,137,48,5,1890,18,73,155,134,140,57,3,0,0,579,94,64,142,157,109,57,10,0,0,636,5,7,37,10,7,4,0,0,0,71,5,0,3,0,3,0,0,0,0,14,124,143,342,307,260,118,16,0,0,1302,6,10,9,3,5,0,0,0,0,34,12,3,15,10,7,6,0,0,0,56,20,14,20,15,14,6,0,0,0,92
SSC10010,12,30,94,96,75,62,7,0,0,378,9,13,12,13,20,16,0,0,0,89,3,0,3,3,4,7,0,0,0,21,0,6,3,3,4,0,0,0,0,15,27,45,120,119,107,89,5,0,0,507,3,6,13,9,9,3,0,0,0,47,9,3,3,3,0,0,0,0,0,12,13,13,14,9,9,9,0,0,0,64,35,59,127,126,116,95,5,0,0,568,32,12,13,22,36,56,93,42,8,309,3,3,9,8,9,13,8,8,0,56,73,72,148,153,159,158,111,42,5,928,4,17,44,35,36,22,0,0,0,164,36,30,48,41,60,37,9,0,0,259,0,4,6,0,3,3,0,0,0,22,3,0,3,0,0,0,0,0,0,6,38,56,108,84,106,62,9,0,0,456,7,3,4,3,4,0,0,0,0,20,3,3,4,0,0,0,0,0,0,12,12,3,7,7,5,3,0,0,0,36
