SSC_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,5,11,10,3,3,0,33,0,0,0,0,0,0,3,0,6,3,0,0,0,11,0,3,6,0,0,0,7,0,3,3,0,3,0,14,0,7,8,0,0,0,20,3,3,15,0,0,0,23,4,15,9,3,5,0,31,0,12,9,0,7,0,28,7,11,16,0,0,0,34,0,14,9,0,0,0,23,4,18,27,3,5,0,60,0,11,11,0,0,0,21,0,11,5,0,0,0,16,11,18,15,3,0,0,48,18,59,27,4,3,0,108,3,15,5,0,4,0,27,3,8,9,0,0,0,19,3,13,7,4,6,0,30,69,232,186,23,36,0,554
SSC10003,12,5,0,0,3,0,23,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,5,0,3,0,0,0,10,7,0,3,4,3,0,16,4,4,7,0,0,0,14,6,3,0,0,0,0,11,3,4,3,0,0,0,10,8,9,5,0,0,0,22,0,3,0,0,3,0,16,15,16,8,4,3,0,41,3,3,0,0,0,0,8,6,13,0,3,0,0,24,9,6,3,0,0,0,21,36,37,6,3,3,0,86,17,29,5,0,3,0,52,25,40,9,0,0,0,74,3,12,9,0,0,0,18,152,185,73,19,24,3,455
SSC10004,4,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,4,0,0,0,0,12,8,8,0,0,0,0,16,4,0,5,0,0,0,12,4,4,6,0,0,0,14,3,17,3,3,0,0,24,6,6,3,0,0,0,17,4,5,4,0,0,0,15,3,4,0,0,0,0,7,0,3,0,0,0,0,4,0,15,3,0,0,0,17,0,10,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,91,29,7,7,0,180
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSC10006,0,0,3,3,0,0,8,0,0,0,0,0,0,3,6,0,0,0,0,0,10,0,0,5,0,0,0,5,3,4,0,0,3,0,16,7,14,0,7,5,0,32,8,9,3,3,0,0,20,10,20,12,3,0,0,48,4,15,4,5,0,0,32,13,6,3,3,0,0,27,3,11,0,0,0,0,15,0,6,0,0,0,0,9,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,3,0,8,58,111,30,32,17,0,251
SSC10007,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,3,0,6,3,3,0,0,0,0,8,4,6,3,0,0,0,22,9,7,7,0,0,0,33,13,13,3,3,0,0,26,3,20,8,3,0,0,34,5,12,0,0,0,0,14,6,14,5,3,0,0,23,0,9,3,0,0,0,16,0,0,0,0,0,0,0,0,13,0,0,0,0,14,4,5,0,0,0,0,12,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,10,57,111,35,12,10,0,227
SSC10008,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3
SSC10009,0,3,3,0,0,0,6,4,0,0,0,0,0,8,3,0,0,0,0,0,4,0,0,0,0,0,0,4,3,5,4,0,0,0,9,4,4,6,0,0,0,16,3,8,11,0,4,0,24,12,18,9,3,0,0,46,7,15,3,3,0,0,40,14,33,4,3,0,0,59,15,48,12,4,3,0,84,38,58,17,12,3,0,127,9,34,9,3,0,0,50,11,25,3,3,0,0,43,12,57,11,0,0,4,87,14,31,8,3,3,0,56,3,11,4,3,0,0,25,0,4,0,0,0,0,5,8,12,0,0,0,0,18,171,374,107,40,24,7,713
SSC10010,0,3,0,0,4,0,6,0,3,0,0,0,0,3,4,0,0,0,0,0,7,5,0,0,0,0,0,7,9,3,0,0,3,0,18,10,8,9,0,7,0,29,10,12,3,0,3,0,31,11,20,7,0,4,0,42,12,25,0,0,0,0,40,8,20,10,0,3,0,36,3,13,0,0,0,0,15,6,11,4,0,0,0,22,5,4,0,0,0,0,5,3,0,0,0,0,0,3,5,9,3,0,0,0,10,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,91,133,40,12,21,0,307
