SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC10001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,15
SSC10002,263,534,11,67,77,363,23,114,227,961,341,1501,70,303,81,312,245,844,400,1464,739,2961,3,13,13,43,3,9,43,127,64,192,10,35,16,37,71,174,98,248,159,444,15,40,1177,3978
SSC10003,662,1312,11,41,47,206,4,37,336,1232,403,1520,31,120,50,169,134,408,215,701,614,2220,0,0,5,30,3,9,82,199,93,230,12,27,24,65,98,209,136,292,230,528,29,66,1532,4128
SSC10004,99,197,3,18,18,69,0,5,96,399,119,494,9,27,25,76,26,88,56,188,170,677,0,0,5,15,0,4,15,42,21,52,0,5,9,17,5,15,15,33,37,88,4,4,310,974
SSC10005,4,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
SSC10006,220,447,11,43,21,104,12,37,130,513,173,697,13,47,12,34,45,134,66,214,238,913,3,12,16,49,9,31,92,250,119,348,4,13,16,34,48,101,64,150,187,498,8,23,657,1873
SSC10007,218,421,3,26,30,149,8,34,128,522,175,726,8,18,22,62,42,126,67,211,241,936,0,5,8,19,3,11,33,99,47,131,0,5,6,20,30,64,39,83,84,216,9,18,546,1589
SSC10008,13,27,0,0,0,11,0,4,8,37,14,47,0,0,0,4,3,4,4,5,18,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,87
SSC10009,469,931,18,98,66,294,21,97,490,1924,593,2407,34,139,62,202,103,327,199,669,789,3079,4,19,18,64,10,27,121,356,152,463,10,36,21,41,55,122,90,197,236,657,20,33,1513,4705
SSC10010,238,484,9,35,32,134,11,41,141,564,186,772,14,57,17,55,54,172,82,283,271,1051,3,6,3,20,5,12,44,125,58,163,5,16,9,26,46,93,56,136,111,297,10,21,632,1854
SSC10011,13,28,0,9,5,33,4,11,22,89,33,146,4,15,0,4,7,27,12,46,47,192,0,0,0,3,0,0,3,12,3,18,0,0,0,0,4,17,4,17,8,32,0,0,69,246
SSC10012,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC10013,3,8,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,3,0,10,4,16,0,0,4,10,0,0,0,0,4,10,0,0,0,0,0,0,0,0,4,10,0,0,13,35
SSC10014,242,501,6,43,61,266,15,75,375,1446,457,1835,49,194,57,201,122,401,225,796,690,2637,0,5,13,33,4,18,37,106,54,167,12,44,14,35,47,118,77,197,128,370,6,15,1070,3519
SSC10015,55,102,0,0,0,5,0,0,14,61,16,67,0,4,0,5,6,20,10,27,22,95,0,0,0,0,0,3,3,4,4,5,0,0,3,5,3,5,3,7,8,17,0,0,85,208
SSC10016,528,1040,9,51,62,269,14,67,419,1604,503,1989,36,143,58,198,97,312,191,648,697,2632,4,26,26,81,7,26,99,235,135,372,13,42,34,81,102,205,149,330,286,699,27,62,1541,4431
SSC10017,581,1155,8,37,83,377,7,35,427,1679,527,2131,37,158,57,204,128,403,226,762,750,2892,0,3,9,28,3,13,56,149,71,188,10,37,23,53,74,155,106,249,173,437,19,38,1532,4529
SSC10018,113,227,0,14,11,58,3,6,55,216,72,300,3,12,5,25,18,59,28,95,99,397,0,0,3,10,0,0,14,48,22,56,0,3,3,4,7,20,12,27,36,89,3,4,253,722
SSC10019,3,9,0,0,6,10,0,0,7,30,10,37,0,3,0,3,3,9,4,10,15,49,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,22,59
SSC10020,8,17,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,6,6,8,8,18,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,13,36
SSC10021,72,142,4,29,22,104,3,18,54,225,81,373,4,19,11,33,30,100,47,150,125,529,0,0,0,7,4,10,8,31,10,44,0,4,3,6,10,29,12,38,28,78,0,3,228,757
SSC10022,100,197,7,44,19,92,21,118,75,319,117,569,11,33,15,44,68,211,89,291,206,852,6,36,41,167,32,128,164,487,245,813,17,59,12,30,113,261,150,351,395,1161,18,44,715,2256
SSC10023,14,20,0,11,0,5,0,0,3,16,7,31,0,0,0,0,8,13,8,13,12,46,0,0,0,7,0,0,5,22,7,29,0,0,0,3,0,3,3,6,12,30,0,0,31,100
SSC10024,4,11,0,0,0,7,0,0,10,31,13,39,0,0,0,0,0,3,0,3,11,40,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,18,58
SSC10025,1136,2262,46,266,183,876,81,376,954,3759,1271,5271,132,551,148,500,365,1208,645,2266,1919,7537,12,60,60,211,32,94,223,606,325,969,28,89,53,130,182,390,271,604,596,1579,25,44,3674,11416
SSC10026,710,1433,14,85,55,247,25,124,348,1366,438,1823,46,186,51,171,194,619,297,973,737,2795,6,30,24,82,24,75,199,555,252,744,14,52,39,94,133,289,192,433,446,1177,26,56,1915,5460
SSC10027,532,1042,3,20,40,178,7,39,251,979,306,1219,13,60,41,136,51,151,113,352,416,1565,0,0,13,46,3,8,62,153,80,212,3,9,21,48,48,106,79,156,160,369,9,27,1122,3002
SSC10028,104,210,3,13,10,42,0,4,26,103,37,163,3,13,7,18,25,86,36,123,73,287,0,0,0,11,0,4,9,25,13,42,0,4,0,0,13,24,9,31,25,72,0,0,206,563
SSC10029,27,46,0,0,0,3,0,0,10,41,14,46,3,5,0,8,3,15,8,31,20,79,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,8,0,0,50,131
SSC10030,1283,2488,0,11,29,137,0,0,443,1536,480,1682,7,39,45,130,45,140,97,312,572,1995,0,3,11,25,3,10,63,153,80,190,5,15,21,35,54,114,78,166,154,354,55,107,2062,4947
SSC10031,240,490,12,53,49,222,14,62,178,747,252,1077,61,271,54,199,197,631,308,1100,562,2183,0,4,5,26,0,0,8,34,23,62,11,33,14,36,41,85,61,150,80,214,7,17,896,2905
SSC10032,11,14,0,0,0,0,0,3,8,37,8,37,0,0,0,0,4,11,5,16,15,58,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,25,76
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC10034,4,11,0,0,0,4,0,3,3,19,6,29,0,0,3,11,3,7,3,23,15,49,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,3,5,6,0,0,20,77
SSC10035,9,21,0,0,0,3,0,0,5,20,6,23,0,0,3,11,0,3,3,10,10,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,19,58
SSC10036,536,1068,7,52,136,599,18,93,600,2405,767,3149,56,232,95,314,180,574,327,1116,1090,4270,3,9,11,44,9,22,42,111,64,185,10,37,17,45,96,204,128,284,192,467,16,37,1829,5843
SSC10037,7,18,0,0,0,7,0,0,0,3,3,11,0,0,3,8,4,9,6,17,6,21,0,0,0,0,0,0,3,14,3,14,0,0,0,0,3,3,3,3,4,17,0,0,21,56
SSC10038,575,1183,3,19,54,234,17,64,393,1438,464,1759,30,115,59,196,136,437,228,748,690,2508,0,0,14,40,6,27,68,181,86,242,14,36,66,167,83,185,157,387,246,631,52,115,1571,4439
SSC10039,3,12,0,7,0,0,0,6,3,20,9,27,0,8,0,0,0,0,0,8,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,46
SSC10040,9,17,0,0,4,13,0,0,7,18,9,36,0,0,0,0,5,20,12,23,14,63,0,0,0,0,0,6,0,3,3,9,0,0,0,0,4,3,4,3,3,7,0,0,31,90
SSC10041,13,26,0,0,0,0,0,0,14,53,14,53,0,0,0,4,3,10,3,11,18,65,0,0,0,0,0,0,4,11,4,11,0,0,0,0,3,3,3,3,9,18,3,4,39,112
SSC10042,11,31,0,0,0,0,0,0,5,16,5,16,0,0,0,3,0,4,3,8,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,55
SSC10043,4,3,0,0,0,0,0,0,11,36,11,36,0,0,0,0,0,0,0,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,15,49
