SSC_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SSC10001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,4,43,0,12,10,3,0,0,0,75,12,81,0,11,14,4,0,0,0,113,33,41,6,15,114,19,0,4,0,231,9,29,0,25,22,4,0,0,3,92,7,17,0,0,3,4,0,0,0,36,7,0,9,12,15,3,0,3,0,47,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,3,0,3,0,0,0,0,8,76,213,28,81,184,46,4,11,9,664,0,14,8,0,7,3,0,0,0,34,5,18,3,0,9,7,4,0,0,48,49,30,118,5,13,9,18,18,5,269,36,4,86,4,6,5,7,19,0,160,0,0,5,0,3,0,0,0,0,9,4,62,0,12,8,3,0,0,0,98,19,91,0,13,10,4,3,0,0,139,81,89,6,19,137,31,8,8,7,379,8,37,4,35,22,10,9,3,3,133,10,27,4,0,9,7,0,3,0,62
SSC10003,9,101,4,4,8,5,0,0,0,134,13,85,0,3,10,0,0,3,0,121,82,90,3,19,108,29,0,0,3,334,30,88,3,24,27,0,0,3,0,182,14,32,5,0,8,7,0,0,0,72,6,3,6,4,12,13,0,3,0,48,4,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,15,3,3,0,0,4,0,0,0,0,12,192,449,23,67,202,61,3,11,10,1024,18,40,3,5,8,6,0,0,4,80,32,21,7,3,10,3,0,3,0,80,44,61,73,6,8,13,9,9,0,232,21,25,36,3,3,3,3,8,0,104,6,9,3,0,3,0,0,0,0,25,14,162,3,8,14,10,0,0,3,212,24,101,0,7,12,3,0,3,0,151,197,170,15,24,146,54,3,3,10,613,50,152,10,30,46,5,0,3,4,300,18,52,13,0,14,8,0,3,0,112
SSC10004,0,21,3,8,0,0,0,4,0,37,3,24,0,3,3,0,0,0,0,41,8,9,0,7,36,7,0,0,0,67,0,9,0,8,3,0,0,0,0,24,0,3,0,0,3,0,0,0,0,5,0,0,8,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,71,11,36,56,13,0,4,0,198,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,15,10,23,0,0,0,10,6,0,64,4,5,14,0,0,3,3,3,0,33,3,3,0,3,0,0,0,0,0,10,0,29,3,8,0,0,0,4,0,46,6,32,0,3,4,3,0,0,0,52,20,17,3,12,45,10,3,0,0,108,8,16,0,16,6,0,0,0,0,45,0,3,3,0,3,0,0,0,0,11
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,0,25,4,18,3,5,3,5,0,59,0,15,0,7,0,0,0,0,0,27,9,3,0,5,38,18,0,6,0,89,3,3,0,21,8,3,0,3,0,42,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,7,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,10,21,47,16,73,53,29,7,21,0,262,0,5,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,3,0,10,3,11,66,0,4,5,29,17,0,133,0,0,18,0,0,0,9,3,0,30,0,0,7,0,0,0,0,3,0,7,3,27,0,23,3,5,3,4,0,69,0,18,0,8,0,0,0,0,0,34,12,10,3,9,44,24,3,6,0,106,7,7,0,31,8,3,0,8,0,67,0,0,0,0,0,0,0,0,0,3
SSC10007,0,18,3,5,6,0,0,0,0,31,4,12,0,3,4,0,0,0,0,27,7,0,0,4,30,6,3,6,0,60,3,9,0,21,0,0,3,0,0,37,0,0,0,0,3,0,0,0,0,4,0,0,9,3,0,8,0,3,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,0,15,24,43,20,45,50,12,10,12,0,215,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,102,0,0,0,35,12,4,169,7,0,20,0,0,0,9,3,0,32,3,0,8,0,0,0,8,7,0,19,0,18,8,8,6,0,0,3,0,35,3,22,0,3,4,0,0,0,0,38,12,3,3,4,35,5,8,6,0,78,3,14,3,25,0,0,3,0,0,43,0,3,0,0,3,0,0,0,0,6
SSC10008,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC10009,4,84,9,32,10,0,0,3,3,147,3,75,0,13,9,0,0,0,0,93,34,37,0,17,147,31,3,12,0,279,10,25,0,61,16,18,3,5,0,134,0,6,0,0,6,3,0,0,0,15,9,7,38,16,18,7,5,5,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,6,0,0,0,13,65,249,59,148,210,77,17,30,3,850,0,10,0,0,0,0,0,3,0,21,4,3,7,3,4,0,0,0,0,26,37,45,286,9,13,16,92,23,11,537,9,4,40,0,0,4,16,9,0,78,6,3,4,3,0,0,4,0,0,31,5,106,13,38,10,0,3,3,3,183,13,84,4,12,9,3,6,0,0,121,65,60,10,21,159,42,15,17,3,403,11,32,4,71,19,18,4,4,0,160,0,6,3,0,6,3,0,0,0,21
SSC10010,0,21,4,15,3,0,0,3,0,49,0,13,0,0,0,0,0,0,0,18,5,4,0,0,44,15,0,4,0,87,3,8,0,23,4,0,3,3,0,44,0,0,0,4,0,0,0,0,0,10,3,4,8,3,0,3,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,17,54,13,50,65,23,5,23,0,255,0,4,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,10,8,12,76,0,0,3,47,24,4,175,3,4,22,0,0,0,7,3,0,33,0,0,3,0,0,0,7,3,0,9,0,29,4,19,3,3,0,7,0,60,0,22,0,3,0,0,0,0,0,32,7,11,3,0,49,21,7,8,4,108,6,8,0,24,4,0,3,0,0,54,0,4,0,4,0,0,0,0,0,7
