SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC10002,4,75,19,30,3,166,20,3,51,30,22,3,139,0,0,8,6,6,0,17,3,0,10,10,45,0,67,3,0,14,15,38,6,65,88,24,411,282,568,69,1443
SSC10003,24,94,23,16,3,227,61,12,102,31,23,7,235,12,0,10,3,10,5,37,6,0,18,12,39,3,82,8,0,15,14,20,11,73,329,95,800,305,417,83,2023
SSC10004,3,35,9,12,0,59,8,5,26,11,21,3,71,0,0,0,0,0,0,4,0,0,0,3,12,0,14,0,0,0,0,8,0,4,27,16,118,64,189,7,419
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC10006,3,11,9,16,0,38,0,7,17,25,46,7,97,0,0,0,4,0,0,11,0,0,3,3,21,0,30,0,0,0,4,8,3,12,9,6,58,87,350,30,538
SSC10007,0,16,3,14,3,45,0,0,6,8,23,3,39,0,0,0,3,0,0,4,0,0,0,0,23,0,30,0,0,0,3,12,3,19,13,12,50,49,351,38,506
SSC10008,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,8,13,5,36
SSC10009,16,64,11,36,3,142,15,9,89,66,81,5,272,0,0,0,3,9,0,14,0,0,10,13,85,3,111,0,0,3,11,40,0,54,56,36,295,302,1045,52,1778
SSC10010,0,18,7,16,0,43,0,3,16,26,44,3,95,0,0,0,0,0,0,3,0,0,0,4,21,0,29,0,0,0,0,24,0,24,4,7,57,69,391,32,559
SSC10011,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,4,0,0,8,14,59,4,89
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC10013,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7
SSC10014,9,67,8,21,0,140,26,9,99,31,41,3,217,0,0,0,3,4,0,11,0,0,5,6,49,0,71,7,3,15,7,16,9,51,199,43,528,246,405,64,1491
SSC10015,0,3,0,0,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,3,0,5,0,0,6,17,51,3,78
SSC10016,19,127,28,31,3,253,37,23,180,81,94,7,425,3,0,5,4,12,3,25,5,0,15,9,49,3,77,4,0,7,13,35,9,68,177,77,700,362,797,64,2189
SSC10017,22,126,31,27,4,273,45,26,158,51,34,6,327,0,0,10,3,12,0,25,4,0,10,10,40,0,71,0,0,9,6,30,3,49,200,81,671,324,554,44,1870
SSC10018,0,10,7,3,0,22,0,0,3,9,13,0,23,0,0,0,0,3,0,3,0,0,0,0,7,3,7,0,0,0,0,13,6,21,4,5,26,34,148,14,220
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,0,24
SSC10020,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,11
