SSC_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,4,8,13
SSC10002,37,40,70,16,21,40,0,0,0,0,0,0,0,0,0,880,737,1618,50,70,120,42,0,44,3,0,7,3,0,3,4,0,6,6,4,7,1040,884,1920,9,4,17,0,0,0,0,0,0,39,30,61,0,4,3,0,0,0,49,38,83,0,0,0,0,0,0,0,7,4,3,8,11,0,0,0,5,10,13,17,7,21,65,49,117,12,7,19,0,0,0,0,0,0,13,7,20,16,51,68,48,99,154,10,13,25,1194,1102,2297
SSC10003,3,4,9,127,209,335,73,66,139,0,3,3,0,0,0,824,658,1475,24,61,85,11,0,11,15,0,18,14,12,27,12,8,24,15,16,35,1139,1032,2163,10,27,36,3,4,8,0,0,0,0,6,8,0,3,4,0,0,0,21,31,57,8,9,17,0,0,0,3,7,12,3,7,7,0,0,0,11,20,34,11,4,15,45,58,101,6,4,13,0,0,3,0,0,0,11,4,14,73,84,153,75,140,216,11,4,10,1340,1316,2660
SSC10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,198,435,9,17,29,0,0,0,6,0,6,0,0,3,3,0,3,3,0,3,260,221,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,3,8,21,23,18,32,54,4,0,3,291,280,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,10,3,14
SSC10006,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,353,326,676,24,21,43,10,0,10,0,0,0,3,0,3,3,0,3,3,7,14,397,362,758,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,11,10,25,46,90,136,8,4,11,473,466,943
SSC10007,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,369,275,642,29,18,46,10,0,10,3,0,3,0,0,0,0,0,0,13,10,28,427,307,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,21,33,58,58,124,5,4,7,505,395,906
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,3,7,16,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,18,0,0,0,0,0,0,32,24,61
SSC10009,4,11,12,8,6,11,0,0,0,0,0,0,0,0,0,1065,952,2019,78,65,147,21,0,21,5,0,5,3,0,3,6,3,13,4,5,10,1193,1043,2235,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,21,22,7,29,3,0,7,0,0,0,0,0,0,3,0,9,24,60,83,139,188,328,10,5,20,1394,1302,2695
SSC10010,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,368,332,699,29,21,52,12,0,12,4,0,4,0,0,0,0,0,0,3,6,10,424,364,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,18,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,13,20,47,70,117,9,5,15,507,456,962
