SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC10001,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6
SSC10002,..,92,92,250,8,257,237,0,237,342,0,342,182,0,182,96,0,96,1099,100,1203
SSC10003,..,584,584,757,55,819,342,13,356,297,0,295,79,0,79,30,0,30,1506,658,2165
SSC10004,..,46,46,100,3,105,61,0,68,81,0,81,34,0,34,24,0,24,299,47,349
SSC10005,..,4,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11
SSC10006,..,256,256,277,28,309,146,0,143,128,0,131,60,0,60,31,0,31,634,285,917
SSC10007,..,209,209,251,15,268,111,3,112,110,0,110,53,0,53,21,0,21,542,220,767
SSC10008,..,0,0,14,0,16,7,0,7,3,0,3,6,0,6,0,0,0,27,3,28
SSC10009,..,206,206,523,34,562,327,4,329,393,3,400,168,0,168,72,0,72,1488,246,1734
SSC10010,..,188,188,261,21,283,115,0,119,127,0,127,71,0,71,29,0,29,605,215,819
SSC10011,..,16,16,22,3,24,15,0,15,22,0,22,5,0,5,3,0,3,73,16,86
SSC10012,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC10013,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,4,14
SSC10014,..,88,88,219,9,229,249,6,256,340,0,340,131,0,131,67,0,67,1005,105,1106
SSC10015,..,55,55,52,0,53,11,0,11,5,0,5,4,0,4,4,0,4,82,58,133
SSC10016,..,722,722,633,100,731,359,39,395,354,9,367,141,0,147,32,0,29,1521,873,2391
SSC10017,..,357,357,633,35,670,296,8,302,368,3,365,155,0,160,48,0,48,1497,403,1901
SSC10018,..,125,125,130,0,135,42,0,42,55,0,55,22,0,22,4,0,4,252,127,378
SSC10019,..,3,3,3,3,7,5,0,5,7,0,7,0,0,0,3,0,3,22,8,23
SSC10020,..,3,3,7,0,9,7,0,7,0,0,0,0,0,0,0,0,0,11,5,19
