SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC10001,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6
SSC10002,1069,11,0,0,0,1082,89,3,0,0,0,91,27,3,0,0,0,29,1180,20,0,0,0,1203
SSC10003,503,286,1010,10,13,1819,106,35,147,0,0,290,9,6,29,0,4,49,623,328,1184,10,12,2165
SSC10004,310,16,0,0,0,323,21,3,0,0,0,28,3,0,0,0,0,3,336,14,0,0,0,349
SSC10005,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC10006,557,117,3,0,6,686,160,47,0,0,0,215,11,3,0,0,0,17,734,172,3,3,4,917
SSC10007,508,8,28,20,3,559,148,0,14,24,0,184,20,0,3,0,0,18,665,8,44,40,3,767
SSC10008,20,0,0,0,0,20,10,0,0,0,0,10,0,0,0,0,0,0,28,0,0,0,0,28
SSC10009,1464,109,3,0,0,1577,105,24,0,0,0,130,15,4,0,0,6,25,1591,132,3,0,6,1734
SSC10010,603,13,3,0,0,623,164,15,0,5,0,181,19,0,0,0,0,19,786,21,3,4,0,819
SSC10011,70,0,0,0,0,70,15,0,0,0,0,15,3,0,0,0,0,3,86,0,0,0,0,86
SSC10012,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC10013,8,0,0,0,0,8,7,0,0,0,0,7,0,0,0,0,0,0,14,0,0,0,0,14
SSC10014,214,794,32,0,4,1043,13,38,3,0,0,50,17,8,0,0,0,16,235,835,37,0,4,1106
SSC10015,94,0,0,0,3,98,32,0,0,0,0,30,4,0,0,0,0,4,129,0,3,0,3,133
SSC10016,1367,286,274,4,12,1953,227,93,73,0,3,395,26,3,10,0,4,49,1625,383,362,5,21,2391
SSC10017,1577,22,48,0,0,1643,206,7,8,0,0,223,30,0,0,0,0,31,1808,30,60,0,0,1901
SSC10018,247,3,3,3,0,253,93,0,13,0,0,102,16,0,5,0,0,20,354,3,15,6,3,378
SSC10019,16,0,0,0,0,24,7,0,0,0,0,7,0,0,0,0,0,0,27,0,0,0,0,23
SSC10020,14,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,19
SSC10021,226,0,0,0,3,227,25,0,0,0,0,25,3,0,0,0,0,3,252,0,0,0,3,251
SSC10022,447,134,0,0,0,582,209,96,3,0,0,305,28,11,0,0,3,46,684,245,3,0,3,939
SSC10023,29,0,0,0,0,30,11,0,0,0,0,11,0,0,0,0,0,0,44,0,0,0,0,43
SSC10024,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,25
SSC10025,3231,396,13,3,5,3642,398,121,3,3,0,521,65,17,0,0,3,82,3686,530,14,3,11,4237
SSC10026,1599,312,13,3,33,1958,260,103,4,0,24,391,51,17,0,0,3,74,1911,429,17,3,57,2424
SSC10027,1100,417,67,13,4,1610,129,146,26,0,0,308,12,28,3,0,0,47,1242,595,102,15,9,1961
SSC10028,188,0,0,0,0,196,53,3,0,0,0,56,7,0,0,0,0,7,249,3,0,0,0,248
SSC10029,46,0,0,0,0,48,20,0,0,0,0,20,0,0,0,0,0,0,66,0,0,0,0,67
SSC10030,110,1123,2070,10,17,3340,12,75,88,4,0,178,0,27,41,0,5,74,122,1224,2205,16,26,3592
SSC10031,843,6,0,0,0,851,44,0,0,0,0,41,12,0,0,0,0,12,901,9,0,0,0,908
SSC10032,32,0,0,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,35
SSC10033,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10034,23,0,0,0,0,24,7,0,0,0,0,7,0,0,0,0,0,4,23,0,0,0,0,29
SSC10035,25,0,0,0,0,25,8,0,0,0,0,8,0,0,0,0,0,0,30,0,0,0,0,30
SSC10036,1712,102,106,0,4,1919,135,52,55,0,0,246,40,16,9,0,3,65,1885,168,173,0,9,2228
SSC10037,24,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,28,0,0,0,0,31
SSC10038,281,71,1372,8,5,1738,50,6,188,5,0,242,12,4,31,0,0,51,343,79,1591,11,3,2031
SSC10039,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14
SSC10040,38,0,0,0,0,37,7,0,0,0,0,12,0,0,0,0,0,0,44,0,0,3,0,49
SSC10041,46,0,0,0,0,46,22,0,0,0,0,22,3,0,0,0,0,3,70,0,0,0,0,70
