SSC_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
SSC10001,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,3,36,25,15,32,0,133,0,0,0,0,5,4,0,0,0,10,3,12,12,14,40,68,29,85,3,261,0,3,0,4,8,14,6,6,0,51,0,18,9,10,20,24,10,26,0,116,0,13,5,3,4,6,0,3,0,44,0,3,0,3,14,13,15,25,3,81,0,0,0,0,7,6,4,5,0,21,0,0,0,3,8,18,4,10,0,41,0,3,0,3,3,11,3,6,0,28,6,0,5,3,12,14,16,26,0,75,0,3,3,0,7,4,0,3,3,23,0,3,0,0,24,17,3,6,0,55,0,3,8,3,7,8,6,5,0,45,0,0,7,3,6,13,4,7,0,41,0,8,3,0,4,6,0,3,0,25,0,0,0,0,20,14,9,9,0,48,12,8,3,3,18,27,4,13,15,91
SSC10003,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,7,4,15,20,7,20,0,75,0,0,0,0,4,7,0,0,0,9,6,0,9,13,11,46,20,53,0,154,0,0,0,6,12,15,9,20,0,59,0,15,7,12,14,12,6,31,3,106,0,11,16,6,6,12,4,18,0,75,0,3,7,10,14,16,12,19,0,84,0,0,0,0,9,18,5,13,0,48,0,3,0,3,18,28,24,18,3,96,0,3,3,0,0,13,4,14,0,37,3,7,14,11,24,43,24,74,0,201,0,4,0,4,6,12,3,15,0,43,0,4,3,4,18,18,15,9,0,73,0,14,6,3,3,14,4,17,0,66,0,0,8,6,10,16,9,24,0,73,0,3,3,4,3,3,0,3,0,25,0,6,4,3,8,9,5,14,0,52,0,10,5,0,8,14,7,9,10,61
SSC10004,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,3,0,3,0,9,0,3,0,4,3,13,4,24,0,51,0,0,0,0,3,3,0,0,0,4,0,0,0,4,8,8,6,11,0,31,0,0,0,0,0,0,3,0,0,4,0,4,3,3,3,3,0,5,0,21,0,7,0,3,0,0,0,0,0,17,0,0,3,0,0,4,0,3,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,3,0,3,7,21,6,6,4,0,48,0,0,0,3,5,0,4,6,0,20,0,0,0,0,3,5,3,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4
SSC10005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,0,0,3,0,0,0,0,0,0,4,0,0,0,3,20,14,12,20,0,70,0,0,0,3,12,18,5,3,0,45,0,0,0,0,4,3,0,0,0,12,3,0,4,4,15,16,13,9,0,66,0,0,0,0,0,3,0,0,0,9,0,6,0,4,12,4,0,3,0,34,0,3,0,9,11,7,3,5,3,39,3,3,0,4,3,3,8,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,0,0,11,0,0,0,3,3,5,0,3,0,16,0,0,3,0,9,4,6,3,0,30,0,0,3,0,0,0,0,0,0,7,0,0,3,0,6,3,0,4,0,19,0,0,0,7,0,0,0,3,0,7,0,3,0,0,5,3,4,8,0,22,3,3,3,0,3,7,4,0,4,34
SSC10007,3,4,4,3,6,13,3,15,0,53,8,3,9,9,20,15,42,43,3,149,0,3,0,7,22,3,3,5,0,46,0,0,0,0,17,4,4,0,0,28,0,3,3,8,6,9,7,20,3,52,0,0,0,0,0,0,5,5,0,11,3,13,3,0,0,0,3,4,0,26,0,5,0,3,0,0,0,0,0,15,0,3,3,3,4,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,7,0,4,0,0,3,3,0,3,0,17,3,0,0,0,4,3,0,0,0,10,0,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,3,4,0,26,0,0,0,0,8,13,0,5,0,29
SSC10008,0,3,4,0,0,4,3,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,0,0,0,0,3,0,0,0,0,7,9,0,0,13,36,49,90,140,3,346,7,3,0,4,23,22,21,27,0,111,0,0,0,0,13,6,6,3,0,30,4,3,5,6,24,49,25,48,0,168,0,4,0,0,11,7,8,18,0,53,0,16,15,11,27,16,12,20,0,118,0,30,10,10,10,6,3,8,0,71,0,3,8,4,12,12,10,34,0,83,0,0,0,0,0,0,3,3,0,6,0,0,0,0,6,0,3,11,0,21,0,0,0,0,9,0,3,5,0,20,0,0,0,3,0,12,9,12,0,44,0,3,3,3,8,5,3,6,0,39,0,0,0,7,24,19,8,14,0,73,0,0,3,5,3,5,0,4,0,25,0,3,3,6,5,9,4,5,0,40,0,0,0,0,0,0,0,0,0,3,3,0,3,3,12,14,8,27,0,73,0,0,5,0,14,18,6,8,13,64
SSC10010,0,0,0,3,7,3,0,0,0,12,4,0,3,0,13,13,10,17,0,66,4,0,3,0,18,23,15,14,0,66,0,0,0,0,0,5,0,3,0,13,0,3,4,10,9,24,15,7,0,75,0,0,0,0,3,3,3,0,0,18,0,3,0,0,4,5,3,3,0,23,0,13,3,0,4,8,0,0,3,29,0,3,4,0,3,7,3,11,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,0,0,15,0,0,0,0,0,3,0,0,0,10,0,3,3,0,6,3,0,3,4,16,0,0,0,0,10,3,3,3,0,24,0,3,4,5,3,0,4,3,0,23,0,3,4,4,9,5,0,5,3,32,0,0,0,0,3,0,0,0,0,7,0,0,0,0,9,3,3,3,0,25,0,6,3,3,6,3,0,10,3,36
