SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,13
SSC10002,3,5,12,17,36,10,0,0,0,84,6,19,22,16,29,30,3,0,0,136,139,295,390,398,570,436,69,3,0,2297
SSC10003,3,9,20,16,30,11,12,0,0,108,7,7,19,24,20,23,13,0,0,111,81,159,519,600,654,449,174,22,0,2660
SSC10004,0,7,3,4,4,3,0,0,0,19,0,0,3,3,5,3,0,0,0,15,39,45,92,127,155,100,10,0,0,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,14
SSC10006,0,7,14,8,9,3,0,0,0,45,4,7,3,10,11,9,0,0,0,45,62,97,206,217,196,137,17,3,0,943
SSC10007,3,5,12,11,3,3,0,0,0,46,3,3,11,5,15,3,0,0,0,38,58,70,198,188,202,135,37,4,0,906
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,14,6,13,3,0,61
SSC10009,9,14,56,36,18,10,3,0,0,140,7,10,26,18,23,13,5,0,0,101,215,286,738,650,526,252,36,0,0,2695
SSC10010,3,5,9,14,3,3,0,0,0,44,4,8,12,15,5,4,0,3,0,55,65,100,222,198,207,151,16,3,0,962
SSC10011,0,0,3,7,3,0,0,0,0,15,0,0,0,0,0,4,0,0,0,3,7,9,27,33,29,11,4,0,0,121
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,0,16
SSC10014,4,7,18,23,24,6,5,0,0,87,5,3,19,15,35,10,3,0,0,90,90,188,462,593,436,250,46,0,0,2074
SSC10015,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,7,13,11,24,35,30,15,10,0,136
SSC10016,11,13,20,18,13,22,3,0,0,96,3,17,28,12,19,13,3,0,0,107,181,370,765,677,688,368,58,9,0,3107
SSC10017,3,3,13,27,22,16,4,4,0,90,3,9,12,19,15,12,0,3,0,69,150,193,454,674,586,355,78,26,3,2521
SSC10018,0,0,3,0,3,0,3,0,0,10,0,3,5,6,9,3,0,0,0,37,16,25,55,81,91,71,28,4,0,376
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,14,4,0,0,42
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,21
SSC10021,4,4,0,0,7,0,0,0,0,19,0,3,3,3,3,6,0,0,0,22,30,53,72,114,104,69,18,3,0,463
SSC10022,0,3,6,0,3,0,0,0,0,11,8,11,18,8,11,9,0,0,0,78,48,86,104,97,109,62,13,0,0,525
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,13,7,3,0,0,30
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8,9,5,0,0,34
SSC10025,21,35,79,61,58,42,9,0,0,304,17,27,48,44,50,44,3,3,0,236,477,666,1270,1506,1466,855,97,11,0,6347
SSC10026,9,18,34,22,25,20,4,0,0,137,8,10,18,32,23,19,8,0,0,131,179,318,668,555,619,467,80,3,5,2906
SSC10027,3,8,14,14,22,12,3,0,0,73,4,14,11,6,7,9,3,4,0,64,129,195,446,440,469,442,151,7,0,2288
SSC10028,0,3,0,3,5,4,0,0,0,15,4,0,5,0,0,0,0,0,0,17,29,24,45,47,70,78,13,0,3,311
SSC10029,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,15,7,21,23,11,0,0,82
SSC10030,0,12,64,41,24,14,3,0,0,162,3,23,109,46,39,13,5,3,0,239,55,446,2377,1444,842,416,78,11,0,5670
SSC10031,6,12,17,11,22,12,3,0,0,79,4,15,17,3,16,20,3,0,0,79,105,240,288,275,398,437,45,0,0,1792
SSC10032,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,13,14,11,14,0,3,0,60
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,7,14,9,3,0,0,39
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,8,5,6,0,4,0,31
SSC10036,3,10,35,31,24,14,7,0,0,129,7,10,12,44,55,16,8,0,0,152,192,262,417,906,902,526,162,20,0,3385
SSC10037,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,7,18,7,7,0,0,43
SSC10038,0,9,26,22,22,15,4,0,0,95,4,30,53,23,29,28,4,0,0,168,79,293,1025,579,494,384,73,4,0,2936
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,7,0,0,0,0,20
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,11,11,14,3,0,0,48
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,10,13,19,13,6,0,0,67
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,9,3,0,0,33
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,3,0,0,31
SSC10044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,3,0,12,26,13,9,0,0,66
SSC10045,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,4,0,0,15,10,15,23,31,57,51,23,8,0,223
SSC10046,3,11,11,20,22,16,0,0,0,87,12,0,11,22,14,13,3,3,4,80,175,110,269,494,535,497,122,19,6,2217
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,10,8,3,3,0,40
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,8,0,3,0,0,22
SSC10049,9,23,29,15,15,21,3,0,0,117,12,18,48,38,41,20,4,0,0,180,163,366,676,558,584,478,87,4,0,2925
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,15
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,7,0,0,0,21
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,15,9,0,0,0,35
SSC10055,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,9,10,3,0,0,30
SSC10056,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,7,3,11,17,21,4,0,0,75
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,0,0,0,0,22
SSC10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,4,0,0,0,23
SSC10059,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,14,22,16,34,8,0,0,103
SSC10060,3,12,9,13,21,9,3,0,0,71,3,4,10,6,12,9,3,0,0,52,135,142,237,289,388,282,48,8,0,1525
SSC10061,3,20,34,32,23,22,5,0,0,138,0,19,60,50,48,29,3,0,0,207,109,440,1393,1476,1086,639,196,11,3,5363
SSC10062,4,3,9,6,14,14,4,0,0,55,0,6,0,4,10,16,5,0,0,34,56,94,104,121,192,141,61,6,0,779
SSC10063,3,5,19,13,7,5,3,0,0,60,5,0,17,6,14,3,0,0,0,51,81,111,377,314,260,172,25,0,0,1355
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,13
SSC10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,0,0,23
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,7
SSC10067,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,3,6,9,19,3,0,0,49
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,14
SSC10069,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,10,11,10,24,52,52,11,0,0,172
SSC10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,10,20,19,7,0,0,60
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10072,3,0,5,6,16,10,0,0,0,44,4,3,3,6,12,3,3,0,0,34,47,64,65,124,213,131,69,5,0,728
SSC10073,0,3,3,7,6,9,0,0,0,29,0,3,0,3,5,0,0,0,0,20,33,44,99,135,161,123,19,0,0,613
SSC10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,5,0,0,0,22
SSC10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,11,19,29,12,15,5,0,94
SSC10076,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,6,7,15,21,51,36,16,3,0,163
SSC10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,5,0,0,0,15
SSC10078,0,5,3,6,9,6,0,0,0,32,0,4,4,3,7,0,3,0,0,20,25,60,128,107,95,71,12,0,0,495
SSC10079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,10,5,29,18,8,3,0,79
