SSC_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SSC10001,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,12,13,21,43,31,12,0,0,133,0,0,3,0,6,3,0,0,0,10,4,44,45,44,56,54,6,0,0,261,0,11,4,6,12,11,6,0,0,51,10,10,23,24,24,23,3,0,0,116,15,7,0,8,6,4,0,0,0,44,3,3,13,18,17,25,4,0,0,81,0,3,3,5,3,3,0,0,0,21,3,10,8,8,8,7,0,0,0,41,0,0,5,4,7,7,0,0,0,28,0,6,15,12,18,16,0,0,0,75,0,0,7,3,3,8,6,0,0,23,0,5,12,10,14,7,3,0,0,55,0,12,12,3,11,11,0,0,0,45,0,0,13,9,4,13,6,0,0,41,5,7,0,0,3,7,0,0,0,25,6,4,9,8,18,3,0,0,0,48,7,13,15,10,16,27,3,0,0,91
SSC10003,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,8,21,23,9,8,0,0,75,0,0,0,0,5,3,0,0,0,9,4,14,36,40,32,21,9,0,0,154,0,0,7,14,26,5,8,0,0,59,11,11,15,17,22,16,9,0,0,106,10,12,14,13,11,6,4,3,0,75,0,3,18,18,22,18,10,0,0,84,0,5,10,16,11,3,0,0,0,48,0,3,33,34,18,9,3,0,0,96,0,0,6,11,17,3,3,0,0,37,0,11,36,58,46,39,13,0,0,201,0,0,10,5,11,13,0,0,0,43,0,3,15,14,14,22,3,0,0,73,3,3,8,8,13,19,7,0,0,66,0,3,22,17,15,17,7,3,0,73,0,3,10,0,4,0,3,0,0,25,0,7,5,9,12,6,10,0,0,52,3,5,12,8,13,10,5,0,0,61
SSC10004,0,0,0,3,4,0,0,0,0,6,0,0,3,3,0,3,0,0,0,9,3,3,8,11,16,5,0,0,0,51,0,0,0,0,6,0,0,0,0,4,6,0,10,7,10,3,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,4,0,0,0,21,4,3,0,3,0,0,0,0,0,17,0,0,0,3,6,8,0,0,0,18,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,9,13,10,15,0,0,0,48,0,0,4,6,7,3,0,0,0,20,0,0,0,4,7,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,4
SSC10005,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,0,0,0,0,0,3,0,0,0,4,0,4,11,31,19,11,0,0,0,70,3,3,13,13,10,7,0,0,0,45,0,0,3,5,4,0,0,0,0,12,6,10,12,10,21,4,0,0,0,66,0,0,3,3,3,0,0,0,0,9,0,8,13,5,4,4,0,0,0,34,9,11,13,4,0,0,0,0,0,39,0,3,5,13,5,6,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,11,0,0,8,0,3,0,0,0,0,16,0,3,3,8,7,7,0,0,0,30,0,0,0,0,5,3,0,0,0,7,0,0,0,8,3,9,0,0,0,19,0,0,4,0,5,3,0,0,0,7,0,7,6,7,7,0,0,0,0,22,9,4,4,8,9,4,0,0,0,34
SSC10007,0,4,8,8,10,6,9,3,0,53,0,3,35,54,34,20,0,0,0,149,0,8,19,6,11,4,0,0,0,46,0,0,9,4,11,9,0,0,0,28,3,10,10,13,3,7,5,0,0,52,0,0,0,0,3,4,0,0,0,11,12,4,4,0,4,5,0,0,0,26,11,3,0,0,0,0,0,0,0,15,0,0,6,3,7,3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,7,0,0,3,3,3,3,0,0,0,17,0,0,0,0,5,3,0,0,0,10,0,0,3,0,3,6,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,10,8,3,0,0,0,0,26,0,0,8,4,15,3,0,0,0,29
SSC10008,0,0,8,3,7,4,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,0,0,0,0,0,0,0,0,0,7,0,19,111,102,82,22,0,0,0,346,4,18,32,29,12,17,0,0,0,111,0,0,10,8,8,0,0,0,0,30,9,26,38,45,28,13,0,0,0,168,0,4,18,12,9,3,0,0,0,53,18,26,30,17,16,7,0,0,0,118,34,10,14,10,3,0,0,0,0,71,4,3,14,22,23,18,3,0,0,83,0,0,0,0,4,3,0,0,0,6,0,3,7,9,0,3,0,0,0,21,0,0,4,6,4,0,0,0,0,20,0,4,16,12,8,0,0,0,0,44,3,9,10,8,5,3,0,0,0,39,0,0,22,14,17,8,0,0,0,73,0,3,4,8,8,5,0,0,0,25,0,3,16,10,5,4,0,0,0,40,0,0,0,0,3,0,0,0,0,3,7,6,27,15,12,10,3,0,0,73,3,9,22,9,13,7,3,0,0,64
SSC10010,0,3,0,0,3,3,0,0,0,12,0,0,22,18,12,10,0,0,0,66,3,6,18,18,16,11,3,0,0,66,0,3,4,0,3,0,0,0,0,13,3,6,16,18,12,14,0,0,0,75,0,0,4,7,3,0,0,0,0,18,3,4,8,3,0,3,0,0,0,23,8,3,3,0,10,0,0,0,0,29,0,0,6,4,3,12,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,15,0,0,3,0,3,0,0,0,0,10,0,0,0,5,9,3,0,0,0,16,0,0,3,3,7,4,0,0,0,24,0,3,5,3,7,4,0,0,0,23,0,0,3,10,8,4,0,0,0,32,0,0,0,0,3,0,0,0,0,7,0,3,3,9,3,3,0,0,0,25,3,3,4,13,4,4,0,0,0,36
