SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC10001,0,0,0,0,0,0,0,0
SSC10002,684,27,15,12,0,0,0,739
SSC10003,556,40,15,3,0,0,3,614
SSC10004,155,12,10,0,0,0,0,170
SSC10005,3,0,0,0,0,0,0,3
SSC10006,197,21,17,3,0,0,0,238
SSC10007,196,20,18,3,0,0,0,241
SSC10008,11,0,0,0,0,0,0,18
SSC10009,676,67,39,3,3,0,3,789
SSC10010,225,17,19,4,3,0,4,271
SSC10011,41,0,4,0,0,0,0,47
SSC10012,3,0,0,0,0,0,0,3
SSC10013,0,0,0,0,0,0,0,4
SSC10014,627,33,11,11,0,0,0,690
SSC10015,22,0,0,0,0,0,0,22
SSC10016,636,38,16,3,0,0,3,697
SSC10017,691,32,24,3,0,0,3,750
SSC10018,93,6,4,0,0,0,0,99
SSC10019,14,0,0,0,0,0,0,15
SSC10020,8,0,0,0,0,0,0,8
SSC10021,112,6,6,0,0,0,0,125
SSC10022,158,18,12,11,0,4,5,206
SSC10023,7,0,0,0,0,0,0,12
SSC10024,11,0,0,0,0,0,0,11
SSC10025,1623,147,99,27,5,0,10,1919
SSC10026,595,59,54,13,4,0,11,737
SSC10027,374,25,18,0,0,0,0,416
SSC10028,72,3,0,0,0,0,0,73
SSC10029,18,0,0,0,0,0,0,20
SSC10030,528,33,10,3,0,0,0,572
SSC10031,521,23,15,3,0,0,0,562
SSC10032,11,0,0,0,0,0,0,15
SSC10033,0,0,0,0,0,0,0,0
SSC10034,7,0,0,0,0,0,3,15
SSC10035,6,3,0,0,0,0,0,10
SSC10036,1015,35,27,10,0,0,8,1090
SSC10037,6,0,0,0,0,0,0,6
SSC10038,631,34,16,8,0,0,3,690
SSC10039,7,0,0,0,0,0,0,7
SSC10040,16,0,0,0,0,0,0,14
SSC10041,12,0,0,0,0,0,0,18
SSC10042,7,0,0,0,0,0,0,7
SSC10043,11,0,0,0,0,0,0,11
SSC10044,18,3,3,0,0,0,0,18
SSC10045,55,3,0,0,0,0,0,56
SSC10046,495,30,25,3,0,0,3,559
SSC10047,5,0,0,0,0,0,0,10
SSC10048,7,0,0,0,0,0,0,7
SSC10049,661,60,67,23,0,0,13,830
SSC10050,3,0,0,0,0,0,0,4
SSC10051,3,0,0,0,0,0,0,3
SSC10052,4,0,0,0,0,0,0,4
SSC10053,0,0,0,0,0,0,0,3
SSC10054,9,0,0,0,0,0,0,6
SSC10055,8,0,0,0,0,0,0,8
SSC10056,16,0,0,0,0,0,0,20
SSC10057,3,0,0,0,0,0,0,3
SSC10058,3,0,0,0,0,0,0,4
SSC10059,20,0,0,0,0,0,0,20
SSC10060,320,42,20,9,0,0,5,390
SSC10061,913,62,21,0,0,0,3,994
SSC10062,197,12,10,3,0,0,3,219
SSC10063,337,20,22,4,0,0,4,387
SSC10064,3,0,0,0,0,0,0,3
SSC10065,10,0,0,0,0,0,0,10
SSC10066,3,0,0,0,0,0,0,3
SSC10067,10,0,0,0,0,0,0,10
SSC10068,0,0,0,0,0,0,0,0
SSC10069,32,4,0,0,0,0,0,40
SSC10070,7,3,0,0,0,0,0,10
SSC10071,0,0,0,0,0,0,0,0
SSC10072,188,15,5,3,0,0,0,206
SSC10073,154,11,4,0,0,0,0,171
SSC10074,4,0,0,0,0,0,0,3
SSC10075,24,0,0,0,0,0,0,23
SSC10076,37,3,0,0,0,0,0,45
SSC10077,5,0,0,0,0,0,0,7
SSC10078,105,8,11,4,0,0,0,122
SSC10079,14,0,0,0,0,0,0,18
SSC10080,3,0,0,0,0,0,0,4
SSC10081,46,0,0,3,0,0,0,46
SSC10082,3,0,0,0,0,0,0,3
SSC10083,3,0,0,0,0,0,0,3
SSC10084,17,0,0,0,0,0,0,17
SSC10085,1778,131,86,23,0,4,21,2039
SSC10086,1107,53,20,18,0,0,5,1202
SSC10087,0,0,0,0,0,0,0,0
SSC10088,14,0,0,0,0,0,0,14
SSC10089,48,3,6,0,0,0,0,61
SSC10090,1217,39,12,10,0,0,3,1280
SSC10091,3,0,0,0,0,0,0,3
SSC10092,5,0,0,0,0,0,0,5
SSC10093,514,17,6,5,0,0,0,542
SSC10094,17,0,3,0,0,0,0,18
SSC10095,18,3,0,0,0,0,0,26
SSC10096,0,0,0,0,0,0,0,0
SSC10097,323,23,19,15,0,0,4,377
SSC10098,2177,92,34,31,0,0,3,2341
SSC10099,36,3,3,0,0,0,0,49
SSC10100,34,3,3,0,0,0,0,37
SSC10101,221,22,23,3,0,0,3,271
SSC10102,618,35,38,3,3,0,7,700
SSC10103,477,19,10,5,0,0,4,518
SSC10104,8,0,3,0,0,0,0,8
SSC10105,53,0,5,0,0,0,0,56
SSC10106,4148,130,78,99,5,6,16,4481
SSC10107,8,0,0,0,0,0,0,10
SSC10108,317,13,14,3,0,0,0,344
SSC10109,303,27,10,5,0,0,0,345
SSC10110,17,0,0,0,0,0,0,20
SSC10111,1262,80,32,9,0,0,8,1394
SSC10112,0,0,0,0,0,0,0,3
