SA2_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
101021007,5,7,0,5,15,6,9,0,0,19,15,0,17,51,0,0,0,0,5,5,0,7,14,653,386,118,9,1160,529,34,230,1950
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,756,1015,438,40,2251,755,69,194,3271
101021009,9,7,0,5,17,10,0,0,0,11,10,0,8,23,0,5,0,0,3,0,0,3,19,1091,1032,496,71,2688,2059,167,265,5182
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,505,502,217,32,1263,924,95,105,2376
101021012,5,0,0,3,9,0,0,0,0,5,0,0,3,9,0,0,0,0,0,3,0,0,3,1043,1973,470,27,3513,728,70,139,4443
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,1110,148,6,1740,167,18,62,1990
101021611,3,0,0,0,3,3,5,3,0,11,6,0,16,30,5,0,0,0,6,3,0,4,16,1863,2257,394,35,4557,760,62,286,5664
101031013,0,0,0,0,0,0,0,0,0,4,4,0,4,11,3,4,0,0,10,3,0,5,17,334,200,81,5,620,343,27,112,1093
101031014,7,10,0,4,19,4,4,0,0,13,13,0,13,37,0,0,0,0,0,3,0,8,12,781,611,296,21,1702,944,88,203,2938
101031015,4,0,0,0,7,4,0,0,0,4,9,0,6,14,0,0,0,0,3,3,0,9,13,474,354,83,9,921,340,14,193,1471
101031016,0,0,0,0,5,7,0,3,0,5,10,0,45,62,9,3,0,0,16,17,6,91,126,789,781,221,13,1805,704,227,840,3579
101041017,4,0,0,0,0,12,0,3,0,18,38,8,23,92,3,0,0,0,9,4,0,5,17,1158,624,418,32,2233,1129,103,302,3770
101041018,0,0,0,5,4,12,0,3,0,12,15,4,30,65,3,0,0,0,3,6,0,5,15,1412,653,405,24,2495,1123,78,366,4063
101041019,3,0,0,0,3,9,3,3,0,19,21,0,38,75,3,3,0,0,10,7,0,0,13,1086,809,428,23,2346,1114,102,233,3796
101041020,3,4,0,4,12,22,8,0,0,28,26,3,18,75,3,0,0,0,3,0,0,0,3,1385,908,329,22,2642,965,88,331,4029
101041021,3,0,0,0,5,20,4,3,0,28,36,4,18,89,0,0,0,0,3,3,0,4,8,539,345,140,16,1039,444,34,159,1672
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,0,0,3,14
101041023,0,0,0,0,0,18,3,6,0,31,29,3,31,95,0,4,0,0,4,3,3,4,13,455,239,159,15,871,465,37,142,1516
101041024,4,0,0,0,4,13,3,0,0,17,3,0,33,60,0,0,0,0,0,9,0,3,10,535,282,123,10,951,341,36,205,1530
101041025,0,0,0,0,7,6,0,0,0,8,11,0,78,98,17,4,4,0,27,13,0,10,49,1811,941,378,27,3158,1580,122,370,5230
101041026,3,4,0,3,10,14,3,4,0,22,23,0,56,100,0,0,0,0,0,9,0,3,11,1400,650,323,27,2404,1094,90,381,3966
101041027,6,0,0,0,9,37,3,3,0,44,109,0,50,204,5,7,0,0,9,8,0,7,25,1658,666,348,17,2691,1397,111,448,4651
101051539,22,19,4,3,47,16,9,3,6,28,39,0,27,100,3,4,0,0,6,16,0,10,30,2479,2340,1215,90,6125,3099,261,512,9995
101051540,4,4,0,5,5,0,4,4,0,6,19,0,17,43,0,3,3,0,7,5,0,0,14,1848,1427,387,27,3688,1280,82,560,5618
101061541,0,0,0,0,0,0,0,0,0,3,0,0,7,14,0,0,0,0,0,12,0,9,22,694,781,288,22,1790,692,41,151,2675
