SA2_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
101021007,5,4,88,3789,185,15,0,200,356,4343
101021008,36,8,99,6750,1103,164,9,1269,495,8517
101021009,108,43,347,8097,2377,283,20,2680,566,11342
101021010,14,5,58,3788,968,80,10,1063,238,5085
101021012,21,4,79,10701,1530,126,14,1668,370,12744
101021610,0,0,6,4879,1040,83,18,1139,205,6224
101021611,6,4,109,14835,778,45,6,835,869,16539
101031013,7,10,76,2162,66,9,0,69,222,2454
101031014,28,17,244,5588,554,69,14,628,542,6761
101031015,6,12,66,3026,127,19,0,147,293,3472
101031016,5,6,88,6989,438,56,3,499,551,8035
101041017,10,10,319,7555,406,64,8,471,556,8581
101041018,21,52,345,7808,446,48,12,509,626,8938
101041019,7,76,287,7898,342,30,0,377,598,8872
101041020,4,9,121,8673,208,10,0,220,672,9557
101041021,12,12,163,3485,99,11,5,108,193,3792
101041022,0,0,0,32,0,0,0,0,5,43
101041023,4,31,136,2998,103,17,0,121,304,3425
101041024,0,3,42,3072,95,8,0,97,350,3525
101041025,21,55,453,10475,427,32,0,464,578,11513
101041026,14,37,276,7665,219,18,0,239,696,8600
101041027,34,29,444,8780,344,45,24,406,696,9888
101051539,40,69,733,21034,1483,242,29,1757,1777,24565
101051540,9,32,299,12212,463,42,9,516,1105,13839
101061541,9,29,252,6149,260,38,5,305,316,6763
101061542,0,8,135,11529,453,46,7,506,680,12713
101061543,3,15,344,9544,657,134,10,806,654,11004
101061544,5,13,171,6787,218,25,0,245,644,7677
102011028,5,6,81,6894,365,24,5,389,230,7513
102011029,15,19,260,10127,489,39,8,533,380,11042
102011030,16,6,79,3908,374,51,3,431,386,4716
