SA2_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
101021007,0,8,0,51,154,7,0,9,6,167,1809,70,3,51,14,1950
101021008,0,0,0,20,159,39,17,0,0,216,2604,554,103,0,4,3271
101021009,21,0,5,77,84,81,114,8,0,281,2126,1213,1799,23,19,5182
101021010,8,0,0,25,31,23,48,0,4,106,855,729,786,0,6,2376
101021012,0,0,4,25,87,34,12,0,0,142,3619,700,113,9,3,4443
101021610,0,0,0,9,62,12,4,0,0,72,1846,115,23,0,0,1990
101021611,0,3,3,94,259,4,4,9,0,279,5523,65,30,30,16,5664
101031013,0,0,5,55,92,0,0,0,0,99,1041,15,9,11,17,1093
101031014,4,0,0,71,118,8,19,5,0,154,2551,191,147,37,12,2938
101031015,0,0,5,51,143,0,0,0,0,147,1435,3,4,14,13,1471
101031016,19,5,8,118,144,15,55,16,24,250,2434,276,677,62,126,3579
101041017,21,3,5,98,160,36,38,14,4,247,2801,372,496,92,17,3770
101041018,3,0,0,60,173,40,24,9,0,250,3220,453,308,65,15,4063
101041019,0,6,0,73,170,29,11,16,3,221,3291,326,95,75,13,3796
101041020,0,5,0,127,298,3,0,8,0,312,3914,28,5,75,3,4029
101041021,0,0,0,92,65,17,5,15,0,99,1337,193,36,89,8,1672
101041022,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,14
101041023,0,8,4,49,82,23,7,3,0,122,1167,185,58,95,13,1516
101041024,0,3,0,64,139,0,0,17,0,163,1459,0,3,60,10,1530
101041025,14,0,0,127,129,48,35,34,5,253,3777,745,558,98,49,5230
101041026,0,0,0,71,262,35,3,33,4,340,3564,259,34,100,11,3966
101041027,3,0,3,83,269,19,29,24,0,346,3810,323,285,204,25,4651
101051539,3,6,3,156,395,88,37,20,11,547,8360,1112,396,100,30,9995
101051540,0,5,0,197,488,9,0,8,3,505,5482,64,13,43,14,5618
101061541,6,0,0,51,90,20,17,4,8,137,2337,210,92,14,22,2675
101061542,0,6,9,165,249,0,0,0,5,261,4377,18,10,21,35,4458
101061543,3,0,0,81,253,43,7,6,4,308,3892,412,120,23,14,4461
101061544,0,4,3,190,310,21,0,9,0,341,3128,93,26,46,17,3312
102011028,6,0,0,22,74,3,9,0,0,84,2391,125,153,8,0,2677
102011029,27,0,0,100,120,0,24,3,0,155,4092,94,120,145,7,4457
102011030,0,7,6,80,158,0,4,11,4,177,1719,3,27,39,28,1817
102011031,32,0,0,319,185,73,24,5,0,292,4809,658,305,10,10,5804
102011032,32,0,0,164,148,100,312,4,0,570,3799,1600,4278,10,48,9730
102011033,0,0,0,15,53,5,0,4,6,65,1974,150,13,4,8,2145
102011034,76,0,0,481,73,116,10,0,0,197,2062,982,129,0,3,3175
102011035,0,0,0,12,53,12,0,0,0,71,2266,272,22,0,3,2561
102011036,0,0,0,54,55,26,0,0,0,80,2414,434,15,0,3,2862
102011037,3,0,0,26,70,11,10,0,0,85,2309,150,120,7,6,2589
102011038,86,0,0,124,80,5,18,0,0,104,2388,137,232,6,0,2760
102011039,12,0,0,60,171,29,99,0,0,293,4179,399,1182,0,8,5769
102011040,61,8,0,180,394,120,88,37,21,661,7548,2169,820,308,53,10904
102011041,32,0,0,209,107,11,17,0,0,140,3192,353,214,7,9,3776
102011042,10,0,0,101,209,118,29,12,0,367,4216,1645,397,104,9,6380
102011043,9,0,0,331,128,76,13,20,0,236,3446,889,123,43,3,4502
102021044,95,0,0,235,297,89,39,3,0,428,7367,854,463,16,6,8717
102021045,0,0,0,34,172,11,0,0,0,178,3909,97,42,8,5,4052
102021046,0,0,0,47,221,0,9,17,0,251,3806,71,159,119,3,4157
102021047,6,0,0,211,176,24,15,0,4,214,5174,453,245,3,9,5885
102021048,13,0,0,124,432,131,97,24,0,686,7371,728,929,62,5,9095
102021049,0,0,0,28,62,0,0,0,0,62,1087,6,6,0,0,1101
102021050,0,0,0,72,243,12,4,3,0,260,4597,184,60,36,8,4886
102021051,3,0,0,20,50,18,0,0,0,64,1403,339,12,0,5,1763
102021052,0,0,0,22,93,3,3,0,0,104,2481,36,49,10,8,2574
102021053,29,7,0,93,193,151,90,23,0,458,3436,2197,1608,181,27,7447
102021054,6,0,0,83,184,34,44,3,0,264,3437,507,397,44,8,4401
102021055,0,0,0,25,59,18,0,0,0,83,1538,354,27,0,10,1928
102021056,0,0,3,96,230,38,0,0,0,269,6151,372,12,4,17,6550
102021057,3,0,0,45,176,58,31,9,0,271,2920,494,285,20,3,3724
103011059,0,0,0,55,176,26,3,9,0,213,4090,246,32,19,4,4396
103011060,0,0,4,86,165,0,0,0,6,171,2512,3,3,9,22,2556
103011061,0,0,0,55,227,17,3,8,0,255,1919,98,33,18,7,2074
103011612,30,0,0,92,120,85,63,27,0,295,2641,1268,707,54,18,4684
103011613,0,0,0,41,195,29,3,0,0,228,5161,255,32,3,10,5460
103021062,0,0,3,127,259,24,16,11,0,306,2429,67,74,28,21,2620
103021063,3,0,0,66,222,21,20,13,0,280,3564,283,107,49,8,4013
103021064,0,0,0,99,238,8,0,4,0,249,2357,56,14,19,7,2446
103021065,7,3,0,142,337,18,41,18,5,420,3749,181,198,68,17,4214
103021066,3,0,0,64,102,5,5,0,0,118,1499,44,53,8,3,1609
103021067,35,5,0,91,235,19,52,8,5,313,3892,182,324,44,35,4479
103021068,0,0,0,74,130,4,0,4,0,141,1263,27,18,19,10,1348
103021069,0,3,10,132,186,4,11,25,30,255,2176,97,51,69,52,2445
103031070,6,0,0,135,271,69,16,3,0,362,4619,638,152,32,13,5458
103031071,0,0,0,59,255,10,0,9,4,267,3353,58,3,45,20,3484
103031072,0,0,5,47,191,60,4,89,0,339,4239,616,53,131,16,5051
103031073,0,0,0,71,169,7,0,4,0,179,1567,30,15,20,3,1629
103031074,0,0,0,142,390,6,3,16,0,419,4275,47,28,58,10,4424
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,0,0,0,66,188,9,3,0,0,194,2820,91,27,19,11,2977
103041077,23,3,8,144,375,102,48,4,7,528,6537,1163,369,45,33,8157
103041078,0,0,0,97,267,65,52,7,5,390,7513,572,281,26,19,8412
103041079,4,8,0,153,253,6,10,28,0,293,4153,43,45,208,11,4453
104011080,21,7,0,115,361,68,68,24,8,531,6604,627,700,175,28,8137
104011081,0,9,7,118,457,0,8,35,5,501,6035,48,32,220,39,6377
104011082,9,9,11,130,313,76,32,72,5,495,6331,823,333,587,69,8140
104021083,0,0,0,55,170,4,3,7,0,190,2335,87,15,23,11,2470
104021084,28,4,5,108,229,105,89,39,5,469,4876,1319,1152,233,45,7629
104021085,13,0,0,86,171,51,123,47,3,387,2585,719,1284,60,27,4675
104021086,0,5,0,41,105,5,0,6,0,112,1383,10,4,42,0,1437
104021087,0,0,0,49,130,0,0,11,3,146,1439,22,10,38,8,1517
104021088,0,6,0,27,89,14,21,7,0,135,3244,320,171,76,24,3835
104021089,31,4,0,252,228,82,51,26,0,383,6196,1044,660,211,31,8135
104021090,0,0,0,25,96,12,22,34,0,159,1767,109,168,175,17,2236
104021091,6,9,0,107,262,29,14,34,0,346,5043,375,110,282,41,5859
105011092,0,5,9,94,214,16,0,15,28,281,1269,53,21,57,58,1459
105011093,6,0,0,65,241,11,20,17,0,291,1557,66,105,60,15,1813
105011094,7,0,0,82,228,4,12,27,0,262,1482,28,57,27,14,1607
