SA2_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
101021007,3,4,0,4,4,0,0,29,0,0,0,3,0,7,3,4,0,4,0,0,32,3,0,8,14,8,25,35,41,18,18,11,12,197,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,5,3,0,0,0,3,21,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,11,3,0,0,0,4,3,6,7,0,0,0,8,40,17,5,10,21,23,56,70,74,32,28,25,24,381,8,4,6,8,17,32,23,33,19,19,11,17,196,0,0,0,0,0,3,6,9,4,0,0,0,29,3,0,0,6,3,14,32,31,20,12,8,9,130,0,0,3,0,0,0,3,3,3,0,0,0,19,0,4,0,0,0,7,6,7,0,3,6,3,32,5,4,8,9,3,25,42,52,25,21,11,10,209,0,0,0,0,0,0,0,0,0,0
101021008,13,20,14,6,7,4,0,68,5,0,0,3,5,15,14,24,15,5,9,8,109,18,0,5,15,18,57,90,164,101,66,23,27,572,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,4,3,14,12,7,0,0,3,49,0,0,0,0,5,4,8,11,0,0,0,0,26,3,0,0,0,4,6,9,10,0,9,3,0,51,3,0,0,3,14,16,26,38,12,11,3,4,132,33,12,9,23,32,102,155,275,141,92,33,40,939,17,5,3,4,9,31,38,107,43,32,9,14,307,0,0,0,3,0,11,6,17,9,9,5,0,60,0,4,0,6,5,30,63,113,59,45,16,17,361,0,0,0,0,8,12,12,21,7,6,6,4,84,7,0,5,3,9,11,12,24,13,9,6,6,101,16,3,8,11,21,69,89,173,84,75,29,36,612,0,0,0,0,0,0,4,3,0,0
101021009,6,14,9,3,5,0,0,53,4,0,0,4,3,9,4,15,5,3,0,3,53,3,6,0,7,23,47,77,152,67,52,18,14,475,0,0,0,3,0,6,0,7,0,0,0,0,16,0,0,0,3,0,10,11,17,0,6,0,0,48,0,0,0,0,0,3,0,8,4,0,0,0,16,5,0,0,4,3,9,3,7,0,0,3,0,41,3,6,5,11,7,20,18,38,3,7,4,0,125,26,15,12,26,39,117,153,258,114,86,31,22,905,4,3,11,6,20,49,69,94,50,24,14,21,378,3,0,0,0,0,5,5,20,5,3,3,0,47,0,0,4,3,9,30,71,107,55,40,9,10,347,4,4,0,0,0,7,6,8,3,8,5,0,47,0,0,0,4,0,13,13,11,10,11,0,6,64,12,4,8,9,14,58,92,145,77,53,19,16,503,0,0,0,0,0,3,0,3,0,0
101021010,3,0,11,3,6,0,0,27,0,0,0,0,0,3,5,9,0,5,0,0,27,5,3,0,4,8,15,31,70,30,37,15,7,238,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,3,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,6,3,0,0,0,0,3,18,4,0,3,7,3,7,10,5,6,4,3,4,48,17,4,12,7,11,46,59,109,58,59,25,18,422,12,0,4,7,3,24,29,28,20,23,12,11,170,0,0,0,0,0,0,4,9,0,0,0,0,20,3,0,0,0,5,13,31,44,15,16,8,9,156,0,0,0,0,0,0,3,7,0,5,4,0,30,0,0,0,0,0,4,5,4,11,0,3,5,32,7,4,0,4,7,22,43,65,33,30,18,13,237,0,0,0,0,0,0,0,3,0,0
101021012,20,19,41,37,39,31,3,231,5,6,3,3,5,16,16,22,16,27,13,10,140,29,26,12,14,30,96,114,241,188,245,149,45,1202,0,0,0,0,0,4,4,3,4,0,0,0,19,7,0,0,7,0,3,16,24,12,6,5,5,68,0,0,0,0,6,6,9,4,5,7,0,3,32,7,5,3,0,3,7,10,6,4,8,3,3,59,8,4,3,5,10,24,32,41,19,17,10,11,187,66,36,21,25,52,157,196,375,272,327,204,66,1801,33,13,7,3,11,29,48,110,61,75,37,19,444,3,4,0,3,6,14,13,26,32,39,27,4,163,5,0,0,5,6,28,69,164,128,148,76,30,669,8,0,0,6,3,12,27,32,37,43,30,6,196,8,0,0,3,8,12,17,37,31,28,17,4,171,28,8,5,20,21,63,121,256,229,251,144,48,1196,0,0,0,0,0,0,7,6,0,0
101021610,0,0,0,9,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,8,4,0,0,0,0,11,18,63,75,52,19,8,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,9,0,0,25,3,0,0,0,0,7,31,93,108,86,25,11,368,5,0,0,0,5,7,29,73,121,63,17,10,335,0,0,0,0,0,4,6,14,19,22,10,6,77,3,4,5,0,5,18,42,170,213,172,53,21,697,0,0,0,0,4,0,0,11,17,14,12,0,57,0,0,0,0,0,0,6,7,7,10,5,4,36,3,4,5,0,4,18,53,210,251,205,81,27,862,0,0,0,0,0,0,0,0,3,0
101021611,22,22,52,33,44,35,6,231,14,9,5,3,9,24,27,30,35,37,26,17,233,28,14,8,25,34,120,139,288,260,325,190,60,1495,0,0,0,0,0,0,0,6,3,3,0,0,18,0,0,3,0,4,14,14,15,3,17,0,3,70,0,0,0,0,0,0,3,8,5,0,0,0,25,5,0,0,0,0,3,8,10,0,6,4,0,42,9,0,6,0,6,23,27,33,15,24,12,6,157,58,30,27,40,66,208,237,439,366,497,289,96,2354,48,17,8,17,23,92,81,163,123,157,123,35,885,8,0,0,3,3,7,17,45,40,48,29,12,208,18,8,0,8,16,42,71,182,187,224,123,46,927,6,0,3,5,7,10,14,33,30,52,32,16,212,8,0,6,7,7,21,30,38,38,49,40,21,271,42,9,15,20,32,82,132,294,294,371,226,92,1615,0,0,0,0,0,0,3,9,3,6
101031013,0,3,0,0,0,0,0,16,4,0,0,0,0,3,0,0,3,0,0,0,13,11,0,6,13,20,22,17,4,4,4,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,6,0,3,3,0,0,0,0,0,19,17,9,14,17,34,41,26,14,6,4,0,8,190,5,0,0,10,10,15,6,0,5,5,5,5,68,0,0,0,0,0,8,3,0,0,0,0,0,10,0,0,0,7,11,31,8,7,0,0,0,3,72,0,0,0,0,3,0,5,3,0,0,0,0,14,0,0,0,0,6,3,0,0,0,0,0,0,17,0,3,3,9,17,39,17,15,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
101031014,8,8,9,0,3,6,0,43,4,3,0,8,9,17,15,10,0,0,0,0,63,9,4,3,15,38,89,62,58,15,12,9,14,327,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,6,9,3,4,0,0,0,0,40,0,0,0,4,5,8,0,0,0,0,0,3,23,3,0,3,0,9,12,5,4,0,0,0,3,36,3,3,4,10,14,30,8,7,0,0,0,6,100,23,24,25,44,76,175,96,96,18,16,12,25,629,8,9,9,23,11,36,42,25,8,3,7,11,190,0,0,0,0,6,15,10,0,6,3,0,0,47,6,8,3,8,22,68,37,40,9,3,6,11,208,0,0,0,5,0,7,12,6,0,4,0,0,35,6,3,3,0,0,21,5,12,0,0,0,4,58,11,5,7,8,29,110,65,67,15,5,7,17,345,0,0,0,0,0,0,4,0,0,0
101031015,6,9,8,0,0,0,0,33,0,0,0,0,0,4,4,10,6,0,0,0,25,4,4,5,11,3,34,39,48,27,16,13,9,199,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,0,12,0,3,0,4,4,3,3,0,0,0,0,0,20,12,6,14,24,16,63,68,68,29,27,18,14,360,10,4,0,7,10,23,21,31,13,10,7,3,132,0,0,0,0,0,4,4,3,7,0,0,0,22,13,0,4,0,6,9,32,39,11,12,8,3,133,0,0,0,0,0,3,0,9,3,0,0,0,28,3,0,0,4,3,0,6,3,3,0,0,5,31,11,0,4,4,16,23,40,49,22,14,14,9,212,0,0,0,0,0,0,0,0,0,0
