SA2_CODE_2021,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85over,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85over,C16_F_InfTec_Tot,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85over,C16_F_EngRT_Tot,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85over,C16_F_ArchBuild_Tot,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RS_85over,C16_F_AgEnv_RS_Tot,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85over,C16_F_Health_Tot,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85over,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85over,C16_F_MngtCom_Tot,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85over,C16_F_Soc_cult_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creative_art_85over,C16_F_Creative_art_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85over,C16_F_FoodHos_PS_Tot,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85over,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85over,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85over,C16_F_FldStu_NS_Tot,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_NatPhy_sci_15_19,C21_F_NatPhy_sci_20_24,C21_F_NatPhy_sci_25_34,C21_F_NatPhy_sci_35_44,C21_F_NatPhy_sci_45_54,C21_F_NatPhy_sci_55_64,C21_F_NatPhy_sci_65_74,C21_F_NatPhy_sci_75_84,C21_F_NatPhy_sci_85over,C21_F_NatPhy_sci_Tot,C21_F_InfTec_15_19,C21_F_InfTec_20_24,C21_F_InfTec_25_34,C21_F_InfTec_35_44,C21_F_InfTec_45_54,C21_F_InfTec_55_64,C21_F_InfTec_65_74,C21_F_InfTec_75_84,C21_F_InfTec_85over,C21_F_InfTec_Tot,C21_F_EngRT_15_19,C21_F_EngRT_20_24,C21_F_EngRT_25_34,C21_F_EngRT_35_44,C21_F_EngRT_45_54,C21_F_EngRT_55_64,C21_F_EngRT_65_74,C21_F_EngRT_75_84,C21_F_EngRT_85over,C21_F_EngRT_Tot,C21_F_ArchBuild_15_19,C21_F_ArchBuild_20_24,C21_F_ArchBuild_25_34,C21_F_ArchBuild_35_44,C21_F_ArchBuild_45_54,C21_F_ArchBuild_55_64,C21_F_ArchBuild_65_74,C21_F_ArchBuild_75_84,C21_F_ArchBuild_85over,C21_F_ArchBuild_Tot,C21_F_AgEnv_RS_15_19,C21_F_AgEnv_RS_20_24,C21_F_AgEnv_RS_25_34,C21_F_AgEnv_RS_35_44,C21_F_AgEnv_RS_45_54,C21_F_AgEnv_RS_55_64,C21_F_AgEnv_RS_65_74,C21_F_AgEnv_RS_75_84,C21_F_AgEnv_RS_85over,C21_F_AgEnv_RS_Tot
101021007,0,0,0,13,6,6,3,0,0,35,0,0,0,3,4,0,0,0,0,12,0,0,0,4,6,5,3,0,4,21,0,0,0,0,4,0,3,0,0,8,0,7,6,13,10,5,0,0,0,41,0,4,14,17,18,37,22,6,0,128,0,0,11,16,22,35,28,11,0,115,0,3,29,24,48,31,26,4,0,167,0,8,19,26,35,43,35,7,0,162,0,4,10,17,12,16,5,0,0,68,0,5,0,10,12,4,3,3,0,49,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,3,0,0,0,11,21,3,23,24,37,45,47,28,16,240,27,29,112,176,211,238,191,66,21,1060,0,0,0,3,14,4,4,4,0,31,0,0,4,0,0,4,3,0,0,14,0,0,3,0,5,3,0,3,0,24,0,0,6,5,4,0,4,0,0,13,0,5,5,11,11,11,3,3,0,48
101021008,0,10,7,13,8,8,3,0,0,50,3,6,3,8,9,9,0,0,0,30,0,0,5,3,8,3,0,0,0,29,0,0,4,5,4,0,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,15,30,25,33,35,23,10,0,169,0,5,33,37,33,18,23,0,0,151,9,26,93,108,122,78,16,10,0,463,0,21,69,83,78,56,13,7,0,324,0,6,21,20,7,5,3,4,0,58,3,16,34,28,17,13,6,0,0,129,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,4,0,0,0,26,25,17,46,40,43,40,42,25,14,286,47,131,352,369,360,270,131,60,14,1732,0,0,16,9,10,11,3,0,0,54,0,3,11,12,4,6,0,0,0,41,0,0,12,0,10,6,3,0,0,30,0,5,4,3,7,0,0,0,0,19,0,0,7,5,0,4,0,0,0,19
101021009,0,4,35,21,12,5,0,0,0,79,0,8,36,15,11,4,0,0,0,76,0,0,22,10,7,5,3,3,0,61,4,3,10,4,0,3,0,0,0,25,0,4,9,7,0,3,0,0,0,24,0,19,85,59,60,54,11,20,11,318,0,17,69,39,42,25,11,12,5,217,3,39,196,130,129,76,39,7,14,627,6,40,148,132,77,67,25,7,0,505,0,10,44,29,24,11,9,4,0,129,3,32,66,34,21,10,6,0,0,172,0,5,0,0,3,0,0,0,0,11,0,0,16,7,4,4,0,0,0,32,26,38,127,54,41,43,62,41,43,479,36,227,863,540,431,316,187,96,79,2767,0,4,40,23,20,19,4,0,0,109,0,5,74,17,12,7,3,0,0,121,0,3,22,21,5,3,5,5,6,68,0,7,10,5,5,3,3,0,0,36,0,4,15,16,8,3,4,0,0,46
101021010,0,3,16,11,3,4,6,0,0,47,0,0,12,5,7,0,0,0,0,30,0,0,9,0,7,5,4,0,0,24,0,0,4,5,4,5,3,0,0,13,0,0,3,6,0,0,0,0,0,15,0,18,43,29,42,31,12,3,0,168,0,8,25,13,18,12,17,4,0,95,3,26,90,70,56,38,17,5,0,301,6,8,68,36,37,39,19,3,0,220,0,0,15,14,5,3,5,0,0,44,0,11,24,21,4,3,0,4,4,71,0,0,0,0,0,0,0,4,0,3,0,3,5,4,6,0,0,0,0,20,0,9,37,24,29,20,6,20,6,139,13,90,357,228,221,158,81,43,14,1200,0,5,13,13,3,7,3,4,0,53,0,9,15,7,4,3,0,0,0,43,0,0,15,7,4,4,3,3,0,34,0,3,4,8,4,0,5,0,0,20,0,6,3,9,5,6,0,0,0,21
101021012,0,4,15,31,29,14,6,0,0,97,0,3,16,18,10,5,0,0,0,59,0,0,7,23,16,9,3,0,0,64,0,9,11,4,5,3,0,0,0,30,0,4,4,16,10,3,0,0,0,38,5,20,56,84,118,62,19,12,0,367,0,7,72,71,104,44,18,4,4,327,8,47,139,287,271,120,35,7,8,931,0,28,108,136,120,60,23,6,0,477,0,12,33,31,15,16,4,0,0,114,5,18,53,48,33,18,3,0,0,191,0,0,0,0,0,0,0,0,0,9,0,3,9,20,15,3,0,0,0,42,26,25,45,45,58,34,21,11,4,267,53,178,564,817,803,398,140,46,15,3017,0,0,20,29,33,20,11,0,0,120,0,0,13,24,12,8,5,0,0,63,0,0,16,21,18,5,6,0,0,69,0,3,8,6,3,5,0,0,0,36,0,5,10,3,9,6,10,0,0,34
101021610,0,0,10,6,0,0,0,0,0,17,0,3,4,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,9,24,17,11,10,0,0,0,62,0,0,21,19,4,0,0,0,0,50,0,5,52,31,23,3,0,0,0,113,0,0,25,17,5,4,0,0,0,56,0,0,8,3,0,0,0,0,0,17,3,3,13,6,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,5,24,13,11,0,0,0,0,50,6,23,187,120,54,23,3,4,0,415,0,0,15,20,9,3,3,0,0,57,0,0,21,23,5,0,0,0,0,52,0,0,13,9,4,3,0,0,0,32,0,0,12,6,4,0,0,0,0,20,0,0,5,3,0,5,0,0,0,14
101021611,0,3,9,42,47,39,12,5,0,170,0,0,0,15,20,21,0,0,0,63,0,0,5,15,20,6,5,3,0,66,0,11,0,3,8,3,3,0,0,36,0,10,14,24,22,11,6,5,0,97,6,9,59,105,122,128,61,21,3,520,0,10,36,92,108,112,70,23,0,460,8,47,115,215,264,167,73,14,3,908,10,28,97,166,192,136,54,14,0,697,0,10,27,43,28,17,13,0,0,150,8,18,37,42,36,21,6,0,0,176,0,0,0,0,0,0,0,0,0,6,0,4,0,13,20,11,0,0,0,49,60,44,67,105,127,138,74,25,11,655,94,199,488,890,1034,820,387,114,24,4044,0,3,21,42,55,46,37,11,0,215,0,5,9,15,33,21,4,0,0,87,0,0,11,12,22,12,6,5,0,75,0,0,10,9,11,11,6,0,0,48,0,10,12,18,33,14,4,3,0,103
101031013,0,0,0,0,4,5,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,3,8,3,3,7,0,0,17,0,0,10,9,13,27,8,6,4,86,0,3,8,7,11,15,15,4,0,62,0,3,12,29,17,12,10,0,0,88,0,9,12,8,9,21,4,0,0,61,0,0,0,4,4,0,0,0,0,12,0,0,9,5,8,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,6,8,28,13,20,10,10,111,7,18,70,82,100,101,74,26,22,493,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,3,4,13,4,0,0,0,0,24
101031014,0,3,4,0,4,4,0,0,0,22,0,0,0,3,8,0,5,0,0,19,0,0,4,0,3,7,7,0,4,25,0,3,0,0,0,0,0,0,0,14,0,0,3,7,6,9,0,3,0,18,0,10,34,33,40,66,41,23,8,255,0,5,23,34,43,39,20,15,3,175,7,23,50,54,59,57,34,16,0,304,5,16,58,42,51,32,15,6,0,226,0,0,24,12,11,10,3,3,0,60,0,7,27,15,21,13,13,0,0,105,0,0,0,0,3,0,0,0,0,5,0,0,5,5,8,0,0,0,0,18,25,7,36,26,48,50,57,78,55,387,44,84,262,233,297,287,198,144,78,1627,0,0,7,3,6,12,4,4,0,39,0,0,0,3,6,0,3,0,0,18,0,0,10,10,3,5,3,4,0,39,0,0,8,0,0,0,0,0,0,12,0,0,9,8,4,3,0,0,0,32
101031015,0,0,0,10,4,4,0,0,0,19,0,0,0,0,0,4,0,0,0,4,0,0,3,4,5,4,4,7,0,19,0,0,0,3,0,0,4,0,0,16,4,3,9,10,13,6,0,0,0,45,0,0,13,13,22,40,19,10,0,117,0,0,9,19,19,10,21,4,0,81,0,3,20,31,51,39,19,11,0,163,0,6,5,21,29,28,17,0,0,116,0,0,4,3,3,8,0,0,0,24,4,3,0,6,3,3,6,4,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,17,13,9,10,17,38,27,20,15,3,162,18,37,80,136,199,168,121,54,3,812,0,0,0,8,5,7,3,4,0,21,0,0,0,0,0,5,0,0,0,9,0,0,3,3,7,4,7,0,0,21,0,0,0,5,3,0,6,0,0,13,3,0,16,7,16,8,3,0,0,55
