region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
105051100,1281,405,1386,7,8,3087,3868,1469,4203,54,23,9617,120,59,187,3,0,369,109,50,287,7,3,456,4097,1578,4677,64,26,10442,199,83,307,3,0,592,5577,2066,6370,74,34,14121
105054800,903,701,934,32,0,2570,6067,6406,3995,191,18,16677,146,172,146,0,0,464,231,318,486,20,0,1055,6444,6896,4627,211,18,18196,182,165,191,15,0,553,7529,7762,5752,258,18,21319
105055200,1868,1024,1783,66,4,4745,7368,6493,7918,275,51,22105,220,138,300,11,5,674,285,353,833,26,5,1502,7873,6984,9051,312,61,24281,304,244,388,9,4,949,10045,8252,11222,387,69,29975
105057201,32,77,617,0,6,732,176,109,6570,7,19,6881,9,3,146,0,3,161,10,9,415,0,3,437,195,121,7131,7,25,7479,9,16,316,0,3,344,236,214,8064,7,34,8555
105057204,32,525,2333,18,11,2919,298,3352,12902,70,66,16688,7,95,452,0,4,558,20,250,1633,8,5,1916,325,3697,14987,78,75,19162,15,133,496,0,4,648,372,4355,17816,96,90,22729
105057205,315,812,2288,9,187,3611,1276,5515,11244,67,107,18209,41,163,312,0,9,525,69,352,966,5,22,1414,1386,6030,12522,72,138,20148,74,196,606,0,31,907,1775,7038,15416,81,356,24666
105057206,85,605,1237,15,3,1945,530,2892,9926,45,43,13436,9,67,266,3,0,345,28,182,791,0,3,1004,567,3141,10983,48,46,14785,18,138,334,3,3,496,670,3884,12554,66,52,17226
105106550,2326,1031,4034,42,6,7439,11141,5763,18145,139,44,35232,319,160,682,7,6,1174,271,219,1598,8,3,2099,11731,6142,20425,154,53,38505,492,235,887,4,0,1618,14549,7408,25346,200,59,47562
105108050,481,510,2132,18,4,3145,4142,3788,10695,112,44,18781,86,100,416,7,3,612,89,136,1180,17,5,1427,4317,4024,12291,136,52,20820,145,140,615,3,3,906,4943,4674,15038,157,59,24871
105108500,303,365,1488,6,9,2171,4301,3790,7931,48,34,16104,73,111,319,3,0,506,96,203,751,0,3,1053,4470,4104,9001,51,37,17663,144,132,353,0,0,629,4917,4601,10842,57,46,20463
