region_id,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
145056181,163,215,369,712,850,604,140,16,3,3072,3,3,3,3,10,11,14,5,0,52,3,3,0,3,0,0,0,0,0,9,6,3,8,16,16,13,4,0,0,66,0,0,8,6,3,5,0,0,0,22,4,3,12,24,20,5,0,0,0,68,3,4,4,7,6,11,3,0,0,38,70,28,21,39,49,35,7,0,0,249,45,18,15,21,26,13,3,0,0,141,3,3,5,19,13,8,0,0,0,51,3,7,5,5,18,10,0,0,0,48,6,4,9,20,16,11,0,0,0,66,4,5,3,12,13,5,3,0,0,45,8,14,32,68,77,54,5,0,0,258,0,3,14,23,16,14,0,0,0,70,4,34,138,260,267,86,4,0,0,793,9,10,39,92,95,65,11,0,0,321,12,21,49,91,107,73,9,0,0,362,5,5,5,9,13,9,3,0,0,49,13,11,12,18,20,17,0,0,0,91
145056470,607,1091,2422,2735,2487,1436,264,19,0,11061,0,0,6,0,5,4,3,0,0,18,0,0,0,0,0,0,0,0,0,0,22,22,47,48,57,41,10,3,0,250,5,4,15,23,34,7,3,0,0,91,6,24,48,70,55,25,6,0,0,234,6,17,27,38,43,22,3,0,0,156,251,162,193,209,175,99,12,3,0,1104,147,90,119,89,87,54,8,0,0,594,4,19,48,44,37,23,0,0,0,175,6,16,33,39,32,15,5,0,0,146,7,36,59,38,39,18,3,0,0,200,14,42,41,37,28,28,3,0,0,193,19,68,159,158,112,66,16,0,0,598,9,22,54,85,95,61,6,0,0,332,30,195,775,923,772,231,15,0,0,2941,14,52,155,222,215,113,14,3,0,788,55,139,329,352,354,251,27,0,0,1507,18,13,37,39,22,15,3,0,0,147,36,62,74,67,70,42,3,0,0,354
145101050,35,44,73,110,152,112,48,14,3,591,3,0,10,15,19,21,11,5,3,87,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,5,0,0,0,17,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,7,0,0,0,4,0,3,0,0,0,7,5,5,8,11,17,4,0,0,0,50,7,3,3,7,5,3,0,0,0,28,0,0,3,0,3,3,3,0,0,12,0,0,0,0,0,3,0,0,0,3,0,3,3,4,4,0,0,0,0,14,0,0,3,0,3,3,0,0,0,9,0,0,7,3,3,3,0,0,0,16,0,0,0,0,0,4,0,0,0,4,0,0,5,12,7,3,0,0,0,27,0,3,6,9,18,8,6,0,0,50,0,5,10,17,38,20,6,0,0,96,0,4,0,0,0,0,0,0,0,4,0,3,0,5,0,3,0,0,0,11
145103311,331,445,910,1020,1110,762,184,37,3,4802,0,3,6,0,3,0,0,0,0,12,0,0,0,3,0,3,0,0,0,6,19,19,22,28,17,7,3,0,0,115,0,0,3,5,4,3,0,0,0,15,3,6,8,12,10,10,0,0,0,49,4,6,12,23,14,6,3,0,0,68,124,83,140,149,145,60,13,0,0,714,107,73,74,81,98,47,5,0,0,485,0,4,17,22,21,13,0,0,0,77,9,10,8,3,11,4,0,0,0,45,0,14,21,31,25,6,5,0,0,102,7,8,20,8,16,8,0,0,0,67,12,19,35,34,41,28,6,3,0,178,0,3,21,42,33,21,3,0,0,123,3,18,104,154,100,59,3,0,0,441,5,15,77,95,125,96,13,3,0,429,22,100,185,246,337,228,25,3,0,1146,7,7,6,6,6,5,0,0,0,37,17,27,36,44,19,17,3,0,0,163
145103314,112,99,174,331,450,346,105,22,0,1639,0,5,5,16,8,22,17,6,0,79,0,0,3,0,3,0,0,0,0,6,0,4,10,12,11,11,3,0,0,51,3,0,0,7,0,3,0,0,0,13,0,0,3,9,6,9,4,0,0,31,0,0,0,4,11,3,0,0,0,18,16,17,26,40,59,26,4,0,0,188,35,15,12,21,20,15,6,0,0,124,0,4,3,10,10,8,0,3,0,38,0,0,0,0,3,3,0,0,0,6,4,0,0,5,8,4,0,0,0,21,0,0,3,9,4,3,0,0,0,19,0,0,10,11,19,25,7,0,0,72,4,0,4,13,13,7,0,0,0,41,3,3,15,39,47,19,5,0,0,131,3,6,20,40,39,43,3,0,0,154,3,17,28,57,88,63,9,0,0,265,3,0,3,3,5,4,0,0,0,18,3,4,6,9,9,15,0,0,0,46
145103700,25,53,121,145,192,185,60,20,0,801,3,7,11,15,31,34,14,5,0,120,0,0,0,3,0,0,0,0,0,3,3,0,3,6,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,3,4,0,0,0,0,0,10,8,8,12,13,11,20,0,0,0,72,7,8,8,10,10,5,0,0,0,48,0,4,0,0,7,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,6,0,0,0,25,0,0,0,0,0,3,0,0,0,3,0,0,9,7,7,3,0,0,0,26,0,0,0,5,8,7,0,0,0,20,0,0,6,6,5,0,4,0,0,21,4,5,12,25,25,23,0,0,0,94,0,3,8,33,38,22,5,0,0,109,0,0,0,0,3,0,0,0,0,3,0,3,4,5,4,5,3,0,0,24
145106184,53,34,107,200,241,183,72,16,0,906,0,0,0,10,18,25,16,9,0,78,0,0,0,3,3,0,0,0,0,6,4,0,3,11,4,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,13,0,0,0,6,0,3,0,0,0,9,6,6,9,19,16,21,3,0,0,80,10,4,9,13,15,9,0,0,0,60,3,0,3,6,6,3,3,0,0,24,0,0,0,4,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,8,0,0,0,0,3,4,0,0,0,7,3,3,5,16,16,7,4,0,0,54,0,0,3,3,6,0,3,0,0,15,0,3,18,40,27,23,3,0,0,114,0,3,8,41,32,25,6,0,0,115,3,5,14,19,40,26,6,0,0,113,0,0,6,0,4,10,0,0,0,20,0,3,4,10,14,3,3,0,0,37
145107640,89,104,195,368,479,419,187,69,5,1915,4,7,13,32,47,69,56,16,4,248,0,0,0,0,3,0,0,0,0,3,3,4,8,6,12,8,6,0,0,47,0,0,3,3,0,0,0,0,0,6,3,0,4,5,10,4,0,0,0,26,0,3,3,9,4,3,0,0,0,22,24,12,17,35,41,24,5,0,0,158,31,12,13,23,19,10,3,0,0,111,0,0,3,5,10,8,3,3,0,32,0,0,0,6,3,6,0,0,0,15,0,3,10,5,10,7,0,0,0,35,0,0,0,3,3,3,0,3,0,12,3,7,12,20,22,17,0,0,0,81,3,3,0,13,12,4,0,0,0,35,0,0,26,42,44,23,6,0,0,141,4,4,23,43,51,37,4,0,0,166,10,19,39,76,103,66,10,0,0,323,0,3,4,6,0,0,0,0,0,13,3,0,11,14,9,10,3,0,0,50
145108710,254,269,555,1015,1015,715,234,40,0,4097,0,7,12,29,29,62,38,12,0,189,0,0,0,0,0,0,0,0,0,0,0,5,17,18,15,8,6,0,0,69,0,3,5,5,7,4,0,0,0,24,0,9,24,28,22,14,3,0,0,100,4,0,12,13,13,6,3,0,0,51,59,33,51,71,54,44,10,0,0,322,95,38,47,40,70,30,5,0,0,325,0,0,7,19,12,14,3,0,0,55,3,4,5,13,14,10,3,0,0,52,0,10,18,18,17,5,0,0,0,68,7,3,12,17,10,6,0,0,0,55,6,12,55,106,78,35,8,0,0,300,3,3,13,25,22,10,3,0,0,79,10,37,145,272,207,86,3,3,0,763,4,21,69,122,123,94,12,0,0,445,26,39,63,142,151,134,13,0,0,568,4,8,5,15,8,10,0,0,0,50,7,8,18,19,21,14,3,0,0,90
145108750,166,221,436,611,617,468,160,31,3,2713,5,4,18,40,41,51,21,7,3,190,0,4,0,0,0,0,0,0,0,4,15,9,13,19,21,14,0,0,0,91,0,0,0,0,4,0,0,0,0,4,0,0,3,9,12,7,0,0,0,31,3,3,9,14,17,4,0,0,0,50,84,46,72,88,82,49,8,3,0,432,36,21,37,44,40,18,4,0,0,200,0,0,6,12,16,5,0,0,0,39,3,3,5,0,3,3,0,0,0,17,0,6,20,21,11,14,0,0,0,72,4,0,3,6,3,7,0,0,0,23,6,7,22,27,18,11,3,0,0,94,0,3,8,10,20,8,3,0,0,52,3,3,16,23,29,16,0,0,0,90,4,12,40,78,74,52,13,0,0,273,5,31,73,100,166,102,14,0,0,491,0,0,4,6,0,3,0,0,0,13,13,7,20,19,12,13,3,0,0,87
