region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
105051100,4554,251,120,62,4,0,11,5002
105054800,5209,335,97,22,0,7,11,5681
105055200,6648,381,144,73,4,4,33,7287
105057201,661,44,6,9,0,0,5,725
105057204,1420,106,23,8,0,0,5,1562
105057205,3004,231,45,19,0,5,10,3314
105057206,1780,153,34,13,3,0,3,1986
105106550,12350,659,265,91,0,6,38,13409
105108050,5667,327,97,27,0,0,7,6125
105108500,4684,275,96,14,0,0,7,5076
105154150,9841,493,218,125,0,12,31,10720
105154450,7236,349,137,83,0,12,17,7834
105156650,11070,587,232,123,5,3,32,12052
105157151,11625,734,368,55,5,11,29,12827
105157152,15345,932,468,97,0,9,34,16885
105200351,7602,381,187,136,8,11,27,8352
105200353,8036,323,218,131,8,15,21,8752
105200355,6888,414,216,65,4,3,19,7609
105201550,17017,836,403,233,8,11,39,18547
105252851,13200,819,437,334,14,29,58,14891
105252854,10116,424,208,164,10,4,34,10960
105254901,12645,760,452,193,11,10,64,14135
105254904,11154,524,379,170,8,20,32,12287
105301450,7364,588,421,68,7,11,34,8493
105301501,8933,644,411,172,16,12,52,10240
105301504,7416,643,482,133,9,20,68,8771
105308400,5418,399,317,65,8,13,31,6251
105350150,4277,200,71,47,3,3,13,4614
105351300,3576,162,70,48,4,5,7,3872
105351521,4713,222,79,43,0,3,9,5069
105351524,4126,230,83,22,3,3,5,4472
105357100,4334,166,64,52,0,4,13,4633
105400200,8818,430,164,172,0,8,36,9628
105403950,12266,615,302,140,4,8,38,13373
105406251,4649,223,77,52,0,6,11,5018
105406252,5961,272,117,61,0,8,13,6432
105406253,4878,230,123,49,0,9,20,5309
105406254,4232,167,116,72,3,3,17,4610
105450900,8007,704,396,56,3,6,49,9221
105453800,7089,597,395,79,5,10,43,8218
105456351,11075,896,655,148,13,29,79,12895
105456354,9542,839,547,129,15,16,54,11142
105530751,14799,840,564,192,8,16,36,16455
105530752,11958,677,440,228,15,16,51,13385
105530753,11527,766,586,244,25,22,82,13252
105554100,1582,91,33,4,0,0,3,1713
105554700,3866,194,69,19,3,0,8,4159
105555350,3039,141,48,8,0,0,4,3240
105555950,4426,312,53,18,0,3,12,4824
105556700,12316,545,196,131,9,10,21,13228
105558250,8491,393,116,68,0,0,18,9086
105604001,9948,500,243,78,0,3,34,10806
105604004,12381,601,214,108,3,6,22,13335
105604500,16013,645,267,96,0,9,21,17051
105607421,11069,509,247,99,0,3,19,11946
105607423,8565,474,310,82,4,10,22,9467
105607425,6071,268,127,61,3,4,15,6549
105655150,4442,253,92,15,0,4,8,4814
105656370,7127,512,247,49,5,0,14,7954
105658000,17715,1059,461,125,12,5,23,19400
105703101,7088,643,319,54,5,3,30,8142
105703104,8978,804,573,80,5,10,59,10509
105708551,6805,789,584,96,8,12,87,8381
105708554,6556,731,472,72,11,11,58,7911
110051720,4711,497,383,78,11,14,60,5754
110054651,6184,565,329,77,7,17,51,7230
110054653,8203,696,449,84,4,20,58,9514
110054655,4563,514,317,59,9,9,47,5518
110055050,7332,672,486,65,9,11,47,8622
110055903,3869,374,171,20,3,0,32,4469
110055904,4357,398,275,58,0,15,26,5129
110055905,5079,407,227,28,6,8,13,5768
110056400,5944,600,394,64,10,11,53,7076
110102700,850,65,51,11,0,0,7,984
110103050,405,16,23,3,0,0,9,456
110103320,2306,236,130,21,0,7,36,2736
110105650,1491,130,138,15,0,0,14,1788
110107000,2589,200,168,22,0,3,20,3002
110107620,1364,100,84,8,0,0,16,1572
115054400,2145,171,89,13,0,3,11,2432
115056900,6948,684,419,90,7,18,60,8226
115058451,9569,679,387,75,6,12,32,10760
115058454,10451,802,523,88,5,17,69,11955
115076951,2789,256,206,27,3,11,34,3326
115106952,4552,434,276,55,0,10,60,5387
115108350,4156,327,235,25,0,8,28,4779
120057554,4003,444,245,55,5,7,24,4783
120057556,1116,92,66,7,0,0,9,1290
120074851,2442,244,179,34,0,10,17,2926
120100250,3410,322,191,34,0,0,22,3979
120101350,2472,216,129,12,3,5,18,2855
120104550,750,71,51,12,0,0,17,901
120104854,1222,103,70,4,0,0,4,1403
120106611,861,77,74,9,0,3,12,1036
120106612,971,91,60,9,0,4,21,1156
120107558,1826,180,108,27,3,3,15,2162
125011801,4177,426,263,50,0,8,33,4957
125036381,3344,359,192,30,0,3,25,3953
125050600,1021,107,81,5,0,0,8,1222
125051736,1479,154,91,15,0,6,17,1762
125051737,1870,162,157,32,0,10,25,2256
125051738,523,49,45,6,0,0,10,633
125051804,1705,161,106,21,3,0,21,2017
125055700,1283,114,107,9,5,0,20,1538
125103380,3542,359,263,59,8,9,53,4293
125104350,2017,181,142,43,8,8,30,2429
125106385,2563,254,177,24,0,4,27,3049
125108859,36,0,0,0,0,0,0,36
130057311,3980,372,246,41,5,6,32,4682
130103550,1126,103,62,9,3,0,15,1318
130103660,458,42,21,6,0,0,5,532
130104201,470,41,36,9,0,3,7,566
130104920,622,56,43,13,0,3,9,746
130107314,1065,105,47,10,0,3,13,1243
130150111,1525,123,80,16,3,5,13,1765
130150112,471,32,19,4,0,0,0,526
130153010,650,61,39,7,0,0,8,765
130153650,395,29,27,11,0,0,7,469
130154202,909,94,74,8,0,3,9,1097
130157400,487,46,47,5,0,0,6,591
130157650,621,42,28,11,0,0,7,709
130157850,287,8,16,5,0,0,4,320
130205300,1172,78,81,26,0,3,28,1388
130205750,1237,81,90,12,0,4,11,1435
135012601,3276,267,214,46,5,5,39,3852
135052604,382,35,12,7,0,0,4,440
135052950,371,21,27,7,0,0,12,438
135055271,1748,168,121,23,0,3,25,2088
135055850,582,37,29,3,0,0,14,665
135058020,782,52,42,8,4,4,16,908
135058150,669,41,45,11,3,0,18,787
135100950,269,17,22,9,0,0,0,317
135102150,311,13,15,9,0,0,9,357
135107900,434,35,27,21,0,8,10,535
135107950,254,19,5,4,5,0,3,290
135151150,223,13,11,8,3,0,3,261
135151200,118,6,7,13,0,0,8,152
135151750,416,34,40,4,0,0,4,498
140030471,2954,280,181,28,4,6,19,3472
140070473,570,54,20,4,0,0,4,652
140070850,690,51,45,10,0,0,4,800
140071400,1342,104,73,9,4,0,14,1546
140074870,1709,152,129,25,4,3,19,2041
140075274,258,28,21,3,0,0,6,316
140076100,495,42,29,3,0,0,3,572
140150800,551,42,38,10,0,3,10,654
140152350,1031,94,62,9,0,3,6,1205
140152900,764,59,42,9,0,3,18,895
