region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
105051100,3251,6552,58,319,438,1947,150,648,2682,10193,3328,13107,235,996,396,1367,1044,3413,1675,5776,5003,18883,15,61,90,310,58,210,622,1610,785,2191,75,248,192,449,775,1733,1042,2430,1827,4621,290,630,10371,30686
105054800,5829,11407,26,135,279,1229,42,176,4117,14915,4464,16455,159,621,401,1275,656,2013,1216,3909,5680,20364,3,15,72,244,39,108,607,1437,721,1804,49,161,240,496,679,1419,968,2076,1689,3880,334,699,13532,36350
105055200,7798,15436,46,280,428,1941,105,450,4711,17265,5290,19936,259,1122,497,1670,1240,4058,1996,6850,7286,26786,24,115,142,497,81,298,1070,2597,1317,3507,106,345,360,782,1164,2536,1630,3663,2947,7170,592,1250,18623,50642
105057201,2569,5099,3,7,29,109,8,40,450,1496,490,1652,33,126,82,245,117,362,232,733,722,2385,3,7,8,34,8,39,112,248,131,328,10,25,95,205,140,305,245,535,376,863,420,915,4087,9262
105057204,6334,12284,5,31,59,277,16,70,1087,3724,1167,4102,42,173,158,488,195,576,395,1237,1562,5339,0,6,30,91,17,55,263,600,310,752,17,47,93,187,324,650,434,884,744,1636,296,624,8936,19883
105057205,6920,13646,14,75,157,672,30,122,2332,8111,2533,8980,74,298,251,823,454,1432,779,2553,3312,11533,14,73,59,201,31,107,557,1366,661,1747,45,134,239,520,639,1347,923,2001,1584,3748,537,1118,12353,30045
105057206,5125,10083,13,60,96,402,26,121,1336,4586,1471,5169,59,242,174,536,282,858,515,1636,1986,6805,12,43,45,162,37,120,377,980,471,1305,60,179,158,334,392,841,610,1354,1081,2659,420,873,8612,20420
105106550,11533,22911,103,546,1077,4828,195,865,7835,29403,9210,35642,663,2717,1228,4193,2310,7382,4201,14292,13411,49934,24,103,215,704,95,331,1502,3688,1836,4826,201,618,637,1435,1876,4023,2714,6076,4550,10902,1050,2232,30544,85979
105108050,6478,12696,53,295,453,2025,53,222,3963,14877,4522,17419,263,1054,561,1894,778,2411,1602,5359,6124,22778,9,21,108,347,25,72,623,1479,765,1919,84,264,249,546,652,1352,985,2162,1750,4081,336,692,14688,40247
105108500,5649,11014,49,240,474,2111,42,165,2999,11403,3564,13919,265,1023,595,2028,653,1962,1513,5013,5077,18932,3,11,94,292,15,51,485,1144,597,1498,66,194,252,560,531,1077,849,1831,1446,3329,321,669,12493,33944
105154150,7148,14441,165,965,954,4362,249,1126,5424,20757,6792,27210,661,2832,1070,3721,2200,7168,3931,13721,10723,40931,37,164,200,702,86,281,995,2698,1318,3845,167,544,428,996,1395,3065,1990,4605,3308,8450,442,942,21621,64764
105154450,5054,10173,102,561,775,3512,140,633,3927,14958,4944,19664,462,1956,826,2890,1604,5110,2892,9956,7836,29620,17,78,144,513,56,188,615,1576,832,2355,97,321,287,669,922,2030,1306,3020,2138,5375,332,707,15360,45875
105156650,9121,18437,190,1100,1058,4979,272,1265,6392,24419,7912,31763,631,2754,858,2973,2650,8580,4139,14307,12051,46070,47,222,230,812,131,500,1231,3294,1639,4828,160,562,431,1002,1800,3979,2391,5543,4030,10371,643,1393,25845,76271
105157151,10572,20921,198,1045,1187,5373,240,1073,6676,26048,8301,33539,841,3522,1066,3733,2619,8354,4526,15609,12827,49148,34,138,214,712,111,375,1363,3456,1722,4681,204,649,412,926,1668,3558,2284,5133,4006,9814,402,839,27807,80722
105157152,9669,19200,253,1373,1631,7442,395,1766,8266,32626,10545,43207,1348,5700,1474,5242,3516,11420,6338,22362,16883,65569,41,157,276,976,108,365,1202,3210,1627,4708,267,869,421,972,1501,3253,2189,5094,3816,9802,300,628,30668,95199
105200351,3494,7123,263,1583,916,4697,283,1420,4112,17251,5574,24951,563,2587,549,1963,1664,5697,2776,10247,8350,35198,61,307,235,934,110,431,1104,3283,1510,4955,165,580,312,737,1175,2748,1652,4065,3162,9020,281,625,15287,51966
105200353,4308,8718,262,1604,992,4941,301,1474,3996,16722,5551,24741,600,2674,656,2358,1949,6577,3205,11609,8756,36350,68,325,252,1001,144,555,1128,3457,1592,5338,174,598,300,740,1358,3133,1832,4471,3424,9809,298,673,16786,55550
105200355,4609,9282,129,738,712,3292,212,990,3696,14657,4749,19677,513,2231,653,2316,1697,5576,2863,10123,7612,29800,34,152,157,566,103,400,717,1976,1011,3094,127,407,215,501,1132,2519,1474,3427,2485,6521,251,534,14957,46137
105201550,10497,21346,312,1817,1766,8539,462,2154,9701,37978,12241,50488,990,4352,1344,4683,3970,13241,6304,22276,18545,72764,70,363,394,1439,200,725,2137,5730,2801,8257,257,883,712,1635,2592,5826,3561,8344,6362,16601,813,1786,36217,112497
105252851,7188,14826,384,2320,1659,8279,551,2742,6850,28110,9444,41451,1014,4632,1224,4398,3207,10965,5445,19995,14889,61446,123,586,607,2367,324,1235,2813,8276,3867,12464,358,1254,750,1838,2753,6449,3861,9541,7728,22005,795,1751,30600,100028
105252854,4386,8968,255,1432,1163,5631,408,1977,3836,15842,5662,24882,1033,4617,1000,3648,3266,11221,5299,19486,10961,44368,77,373,253,980,133,503,1092,3152,1555,5008,208,755,312,775,1425,3522,1945,5052,3500,10060,270,628,19117,64024
105254901,6971,14097,305,1812,1528,7449,464,2195,7223,28866,9520,40322,822,3621,1019,3610,2773,9249,4614,16480,14134,56802,97,472,415,1572,255,965,2048,5900,2815,8909,241,850,502,1172,2060,4735,2803,6757,5618,15666,423,901,27146,87466
105254904,4086,8311,307,1762,1544,7355,480,2306,5808,23748,8139,35171,882,3935,942,3376,2323,7990,4147,15301,12286,50472,50,233,248,938,129,478,1069,3123,1496,4772,194,679,201,506,968,2294,1363,3479,2859,8251,186,435,19417,67469
105301450,4635,9260,185,1039,848,4002,297,1369,4591,18505,5921,24915,496,2107,558,1913,1519,5011,2573,9031,8494,33946,42,191,190,670,99,361,884,2484,1215,3706,121,401,192,434,654,1480,967,2315,2182,6021,151,318,15462,49545
105301501,5170,10456,256,1511,1044,4970,435,2067,4669,18579,6404,27127,687,2984,786,2731,2363,7849,3836,13564,10240,40691,91,425,285,1119,248,929,1817,5234,2441,7707,195,651,366,857,1431,3237,1992,4745,4433,12452,326,701,20169,64300
