region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
105051100,1575,10533,2941,39361
105054800,3197,21422,3585,52188
105055200,4093,25455,6588,76507
105057201,408,2550,4821,23680
105057204,2134,15084,7235,47924
105057205,2599,17682,6604,56613
105057206,1780,11272,5371,41277
105106550,6025,40514,12316,128982
105108050,3483,17611,7670,63490
105108500,3123,18114,6027,52155
105154150,2764,22611,4250,78857
105154450,2183,15336,2925,55804
105156650,3271,20955,7748,97336
105157151,5426,56815,5443,101007
105157152,5955,64646,4820,109864
105200351,1749,5917,5941,61647
105200353,2091,13850,5370,65977
105200355,2275,24098,3223,54731
105201550,3952,21110,11530,137451
105252851,2239,12882,8810,117828
105252854,1785,9516,3822,69938
105254901,3260,28919,9612,105878
105254904,2658,15357,4391,74268
105301450,3002,32337,2802,56713
105301501,3117,28502,5639,75291
105301504,3283,33600,5151,70673
105308400,2296,27176,2295,43261
105350150,1658,10582,3395,41216
105351300,1005,5731,2357,32421
105351521,1506,10580,3137,39200
105351524,1850,13725,2403,36565
105357100,1015,5313,2950,35195
105400200,1583,6897,7655,73739
105403950,3195,22705,7647,99174
105406251,1207,7045,5181,48033
105406252,1841,14125,2615,45974
105406253,1609,13992,1930,37672
105406254,1000,4933,3759,35189
105450900,4707,42967,4902,75942
105453800,3347,38825,3974,62353
105456351,4477,46062,6917,96768
105456354,4422,45037,4685,81678
105530751,4356,37627,5244,102813
105530752,3439,29701,5967,97678
105530753,3454,32471,7930,100606
105554100,816,5993,651,13225
105554700,1977,12535,1535,31516
105555350,1677,11242,2186,27450
105555950,3357,22209,5915,62288
105556700,4259,30693,6030,103046
105558250,3586,20924,3763,67358
105604001,3601,29065,2656,66739
105604004,4289,32675,3767,90108
105604500,6606,42207,5059,109291
105607421,3475,28483,2797,73783
105607423,2777,25010,2231,55320
105607425,1685,14079,1646,40765
105655150,2533,15665,2876,39741
105656370,3868,28967,3101,57147
105658000,8772,61575,7745,140742
105703101,3599,40754,4325,66845
105703104,4969,57273,7098,95602
105708551,3527,51867,5061,77761
105708554,3596,47077,4903,71986
110051720,1738,38421,3842,50841
110054651,2622,44316,3607,61039
110054653,3118,54628,3565,75567
110054655,2388,36198,3062,52408
110055050,2490,51209,3759,67476
110055903,2412,32876,3718,50208
110055904,1684,30684,2638,44585
110055905,2284,35788,3589,53742
110056400,2828,44734,4423,64811
110102700,255,6699,469,8318
110103050,153,3839,233,4884
110103320,1359,24167,2488,34431
110105650,468,11857,1483,15794
110107000,929,17163,1282,22700
110107620,420,10795,925,13760
115054400,1035,12961,857,19982
115056900,3620,34899,3258,63606
115058451,5556,50373,5886,99758
115058454,5064,46436,5451,92665
115076951,1564,21842,3067,33188
115106952,2708,38950,4104,59623
115108350,2451,27328,2728,44393
120057554,2466,33215,3682,53115
120057556,594,7589,548,11314
120074851,1189,22667,1599,30458
120100250,1841,27577,2230,39266
120101350,1734,16361,2210,29213
120104550,343,6702,595,9226
120104854,626,8334,755,12305
120106611,278,8894,860,11079
120106612,352,8512,671,10957
120107558,946,13904,1510,20672
125011801,2168,33709,3505,50143
125036381,1893,28914,2644,42356
125050600,593,8623,573,12510
125051736,789,15110,1114,20310
125051737,720,18407,1662,23236
125051738,256,4424,403,6129
125051804,882,12112,1086,18280
125055700,760,13579,1116,18641
125103380,1627,34699,3181,46544
125104350,866,21109,2468,28137
125106385,1172,22257,1855,30338
125108859,17,248,11,364
130057311,1127,36042,3334,45049
130103550,292,9896,883,12064
130103660,159,4222,216,4953
130104201,143,3913,239,4793
130104920,187,6118,450,7486
130107314,310,9133,594,11252
130150111,755,13868,1652,20100
130150112,160,3052,165,4002
130153010,245,6805,665,8657
130153650,99,3646,300,4401
130154202,278,8981,718,11280
130157400,217,5163,514,6821
130157650,205,4706,323,6031
130157850,87,2531,125,3018
130205300,322,10661,1369,13435
130205750,304,10605,1021,12927
135012601,868,28481,2189,35350
135052604,121,2767,287,3457
135052950,93,3644,287,4362
135055271,693,14061,1447,18984
135055850,142,5479,433,6587
135058020,260,7533,769,9585
135058150,224,6415,1090,8493
135100950,53,2385,243,2900
135102150,58,3465,315,4032
135107900,153,4554,730,6452
135107950,62,2336,143,2753
135151150,55,2114,503,2872
135151200,18,1516,125,1756
135151750,135,3630,420,4706
140030471,1167,24194,2752,33109
140070473,250,3866,511,5411
140070850,218,5457,473,6997
140071400,428,10231,626,12825
140074870,693,14407,1730,20159
140075274,121,2496,182,3344
140076100,176,3635,382,5039
140150800,134,4941,259,5869
140152350,364,9385,968,12149
140152900,199,7689,558,9165
140154600,166,5437,424,6478
140156200,383,11589,1211,14591
140158100,122,2926,231,3665
140206150,1196,28057,2781,38059
145056181,626,6631,722,10763
145056470,1829,21514,2376,37998
145101050,66,1949,107,2390
145103311,609,15904,1759,21102
145103314,291,4343,420,6384
145103700,98,2937,189,3582
145106184,172,2365,304,3598
145107640,201,5610,412,7189
145108710,762,10323,1061,15024
145108750,355,9561,911,12236
145150550,1404,22046,1888,31949
145152750,1547,23443,2582,35737
145201000,88,1851,124,2412
145202050,422,6326,719,9770
145207050,407,4367,1058,7506
150057751,1703,42058,2977,54621
