region_id,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
12101,0,532,879,227,116,124,61,28,10,1977,0,170,732,682,615,850,881,866,606,5402,92,119,149,63,56,58,47,19,17,620,8737,5393,7910,8158,6730,5334,3138,2074,1039,48513,0,207,6171,11007,8878,6582,3813,2075,490,39223,0,464,2276,1239,843,559,160,25,7,5573,0,22,163,683,1068,673,222,193,153,3177,17980,0,0,0,0,0,0,0,0,17980,0,5433,0,0,0,0,0,0,0,5433,0,1730,1688,453,286,158,22,0,0,4337,0,721,637,154,126,233,214,183,131,2399,0,420,432,96,60,48,29,3,7,1095,0,997,1982,500,273,260,116,56,21,4205,0,352,1496,1377,1172,1404,1271,1146,772,8990,171,253,283,137,115,106,86,30,25,1206,18151,10599,15128,15646,12821,10023,5933,3711,1606,93618
12102,0,125,163,67,84,79,45,16,5,584,0,68,232,279,333,572,659,589,332,3064,52,118,82,56,42,61,49,27,14,501,7335,4109,4851,6163,5504,4227,2598,1541,622,36950,0,192,4878,8732,7606,5682,3443,1511,349,32393,0,237,1079,915,673,317,102,15,3,3341,0,39,170,641,887,527,187,198,108,2757,14925,0,0,0,0,0,0,0,0,14925,0,4597,0,0,0,0,0,0,0,4597,0,2371,1560,444,256,113,14,0,0,4758,0,366,285,100,127,164,192,141,99,1474,0,188,229,77,52,40,17,4,7,614,0,254,441,211,182,166,96,41,8,1399,0,152,541,670,760,991,962,778,431,5285,132,219,160,111,99,94,85,40,18,958,15057,8615,9343,11901,10642,8094,5098,2728,1023,72501
12103,0,115,148,49,59,86,49,20,18,544,0,94,178,165,207,522,823,1145,837,3971,59,135,90,44,49,49,55,34,14,529,10470,7027,3894,7538,8836,6361,4433,3155,1449,53163,0,99,3120,11213,13747,9866,6550,3672,967,49234,0,154,691,636,655,358,145,41,10,2690,0,27,86,549,1136,607,214,220,148,2987,21339,0,0,0,0,0,0,0,0,21339,0,9670,0,0,0,0,0,0,0,9670,0,2727,2172,528,342,165,17,4,0,5955,0,553,262,86,80,165,232,254,161,1793,0,250,182,60,74,45,19,17,0,647,0,218,340,108,114,169,106,38,28,1121,0,207,388,371,440,816,1075,1474,1058,5829,133,243,183,90,90,90,84,50,23,986,21472,14148,7424,13641,16678,12281,8442,5770,2395,102251
12104,0,513,1392,355,132,125,65,31,8,2621,0,243,1437,1495,1080,1354,1264,986,646,8505,64,116,217,93,63,87,55,23,17,735,5415,3717,9120,7274,5399,4946,3236,1802,930,41839,0,153,5444,7439,5668,5099,3430,1420,386,29039,0,586,4297,1878,1028,662,274,45,10,8780,0,16,100,520,744,502,164,116,88,2250,10765,0,0,0,0,0,0,0,0,10765,0,2969,0,0,0,0,0,0,0,2969,0,957,824,228,163,81,15,0,0,2268,0,441,515,132,80,106,109,89,73,1545,0,173,299,77,43,24,23,5,4,648,0,962,2711,672,285,239,136,61,20,5086,0,476,2689,2634,1988,2138,1814,1292,798,13829,118,203,403,194,124,136,95,38,20,1331,10883,6936,17282,13774,10123,8987,6060,3066,1399,78510
12201,0,202,476,145,56,38,32,11,4,964,0,47,259,303,243,322,380,391,274,2219,33,56,63,35,36,20,27,10,12,292,3535,1734,3109,3345,2558,1848,1312,877,432,18750,0,68,1783,4059,3264,2262,1601,862,221,14120,0,208,1725,964,458,260,105,23,0,3743,0,6,59,275,391,199,79,52,55,1116,7080,0,0,0,0,0,0,0,0,7080,0,1752,0,0,0,0,0,0,0,1752,0,648,439,126,100,44,10,0,0,1367,0,107,113,36,29,56,45,59,44,489,0,97,160,38,27,22,13,0,0,357,0,359,1004,314,120,88,59,29,9,1982,0,113,564,622,523,598,551,501,360,3832,68,113,120,72,69,38,41,17,17,555,7148,3471,5967,6506,4981,3567,2504,1543,706,36393
12202,0,62,103,46,62,70,49,18,7,417,0,42,76,108,204,472,508,560,345,2315,57,95,67,47,53,62,42,32,13,468,5338,2832,2355,4104,4313,3749,2380,1422,612,27105,0,62,1879,5418,5713,5044,3386,1472,327,23301,0,194,765,918,842,489,163,25,8,3404,0,25,89,401,662,410,129,107,67,1890,10805,0,0,0,0,0,0,0,0,10805,0,3188,0,0,0,0,0,0,0,3188,0,1770,943,280,180,62,14,0,0,3249,0,144,120,45,53,119,106,124,102,813,0,134,141,84,82,61,14,3,6,525,0,156,277,123,151,140,100,34,13,994,0,96,226,290,487,814,747,747,467,3874,116,192,136,100,113,115,70,42,24,908,10921,5961,4576,7659,8283,7254,4729,2554,1014,52951
12203,0,319,575,218,160,153,86,49,19,1579,0,117,552,665,691,1005,1337,1502,1063,6932,123,180,195,117,67,84,80,58,18,922,13201,6936,8664,11492,9518,7038,5346,3660,1696,67551,0,285,6733,15298,12620,9268,6813,3527,810,55354,0,719,3527,2322,1481,733,225,50,10,9067,0,59,328,1034,1584,830,352,357,207,4751,27088,0,0,0,0,0,0,0,0,27088,0,7106,0,0,0,0,0,0,0,7106,0,3955,2391,798,504,256,27,0,0,7931,0,535,475,205,190,286,311,325,216,2543,0,423,469,207,148,93,37,13,8,1398,0,709,1472,617,431,353,174,95,25,3876,0,270,1210,1502,1545,1743,1943,1964,1397,11574,246,342,411,245,173,152,132,91,27,1819,27334,14403,17016,22228,18676,13714,10014,6422,2700,132507
12301,0,59,73,23,26,44,26,10,3,264,0,32,99,88,136,259,280,281,140,1315,54,116,73,24,19,34,20,15,7,362,6289,3378,3643,4370,3366,2348,1279,697,265,25635,0,206,3837,6202,4779,3427,1712,657,129,20949,0,375,1119,789,530,241,52,7,3,3116,0,73,272,693,565,230,75,56,37,2001,12590,0,0,0,0,0,0,0,0,12590,0,2950,0,0,0,0,0,0,0,2950,0,2451,804,195,100,47,3,0,0,3600,0,194,113,55,99,132,97,109,45,844,0,134,93,49,25,25,8,3,0,337,0,135,191,70,61,87,42,17,6,609,0,78,281,293,321,415,386,362,173,2309,124,192,144,67,54,57,35,21,7,701,12714,6788,6854,8413,6534,4661,2410,1232,400,50006
12302,0,198,164,93,143,177,84,25,3,887,0,128,384,396,669,1228,999,728,239,4771,222,339,226,96,103,126,62,42,20,1236,15063,10602,10246,9696,10290,8652,4040,1988,576,71153,0,716,8175,10967,12910,11264,5049,1639,258,50978,0,1126,2698,1783,1363,749,176,49,8,7952,0,524,1717,2287,2203,1205,428,268,112,8744,30316,0,0,0,0,0,0,0,0,30316,0,8401,0,0,0,0,0,0,0,8401,0,7809,4135,1031,423,167,24,0,0,13589,0,1000,600,295,439,671,462,386,176,4029,0,496,349,221,176,100,44,21,3,1410,0,392,495,312,350,372,188,60,8,2177,0,303,1008,1177,1498,2111,1507,989,311,8904,463,654,519,281,215,233,106,54,25,2550,30779,21421,19696,18354,19577,16872,7984,3466,901,139050
12303,0,61,29,22,38,37,16,3,3,209,0,26,68,73,138,208,211,204,95,1023,39,88,53,18,21,34,21,5,3,282,3855,2240,1871,2716,2614,2124,1133,578,206,17337,0,115,1692,3498,3573,3139,1631,603,109,14360,0,276,634,641,447,223,66,14,3,2304,0,59,213,424,373,173,68,77,18,1405,7928,0,0,0,0,0,0,0,0,7928,0,1761,0,0,0,0,0,0,0,1761,0,1874,623,193,102,36,9,0,0,2837,0,123,61,37,68,100,107,71,69,636,0,104,59,38,34,28,15,3,0,281,0,92,86,54,85,68,38,17,3,443,0,74,179,229,318,408,370,285,118,1981,81,182,115,66,60,61,37,22,3,627,8009,4660,3662,5180,5060,4236,2341,1092,323,34563
12401,0,117,134,68,119,162,84,38,13,735,0,54,175,273,523,1050,1045,823,386,4329,92,169,97,60,103,134,74,30,14,773,6928,3911,3378,5162,5782,5505,3283,1762,693,36404,0,196,2817,5933,6778,6674,3761,1549,280,27988,0,402,1234,1397,1134,769,213,51,8,5208,0,117,325,844,958,478,182,156,115,3175,13948,0,0,0,0,0,0,0,0,13948,0,3793,0,0,0,0,0,0,0,3793,0,2474,1033,356,213,129,17,0,0,4222,0,194,105,68,93,146,137,120,81,944,0,180,92,66,53,46,17,22,33,509,0,241,310,219,251,323,184,74,16,1618,0,111,415,692,1110,1742,1507,1090,498,7165,171,318,209,176,209,242,128,49,19,1521,14119,8026,6540,9751,10799,10549,6146,3111,1050,70091
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,9
12403,0,255,229,117,135,129,55,25,7,952,0,115,433,405,598,984,844,726,339,4444,177,245,169,77,91,94,58,38,21,970,12870,8468,9078,8903,8181,6940,3480,1820,667,60407,0,615,7824,10927,10297,9341,4469,1625,282,45380,0,1372,3075,1825,1224,624,144,33,10,8307,0,334,1131,1749,1516,771,329,225,107,6162,26191,0,0,0,0,0,0,0,0,26191,0,6295,0,0,0,0,0,0,0,6295,0,5907,2693,747,364,135,29,0,0,9875,0,662,411,178,264,446,331,264,140,2696,0,413,228,160,108,73,27,13,4,1026,0,462,598,322,322,269,127,56,12,2168,0,296,1111,1151,1365,1732,1325,1016,432,8428,343,486,380,206,182,151,103,50,26,1927,26534,16842,17451,17265,15642,13542,6884,3282,1013,118455
12404,0,69,80,21,50,52,18,4,3,297,0,53,107,121,186,320,324,273,131,1515,68,84,51,18,31,39,21,20,7,339,3583,2425,2243,2412,2366,1759,1099,641,233,16761,0,189,1910,2673,2701,2112,1199,511,108,11403,0,482,831,496,406,195,65,17,0,2492,0,117,305,575,546,213,109,75,44,1984,7182,0,0,0,0,0,0,0,0,7182,0,1626,0,0,0,0,0,0,0,1626,0,1767,588,208,118,60,9,0,0,2750,0,147,80,41,86,125,84,81,32,676,0,121,80,43,45,35,8,9,0,341,0,169,187,69,102,102,40,15,8,692,0,110,322,353,460,571,469,377,174,2836,117,165,118,68,62,62,40,26,7,665,7299,4893,4421,4526,4526,3475,2023,1111,373,32647
12405,0,82,72,39,66,59,34,19,3,374,0,42,120,127,217,322,290,236,92,1446,65,94,69,35,30,30,22,10,10,365,5351,3906,3703,3416,3882,2719,1304,708,241,25230,0,220,3035,3956,4803,3796,1618,530,91,18049,0,485,1076,777,534,258,64,14,3,3211,0,218,567,749,821,408,153,136,54,3106,10671,0,0,0,0,0,0,0,0,10671,0,2977,0,0,0,0,0,0,0,2977,0,3068,1446,382,208,68,18,0,0,5190,0,297,256,142,174,191,178,139,73,1450,0,190,119,69,65,55,18,12,7,535,0,156,188,111,141,142,86,31,6,861,0,100,383,411,559,617,470,336,125,3001,137,203,185,104,78,52,40,18,10,827,10808,7914,7255,6701,7383,5587,2645,1216,369,49878
12501,0,237,278,97,90,80,30,14,0,826,0,79,242,194,265,328,287,281,196,1872,45,96,102,41,30,42,26,22,14,418,6738,5080,6548,4777,4325,3113,1593,986,419,33579,0,1011,6791,6621,5911,4017,2149,941,168,27609,0,241,834,391,294,210,39,12,0,2021,0,66,348,698,819,487,181,153,92,2844,13818,0,0,0,0,0,0,0,0,13818,0,4447,0,0,0,0,0,0,0,4447,0,2360,2122,544,267,113,7,3,0,5416,0,819,787,221,276,326,234,228,109,3000,0,514,662,148,138,64,18,6,3,1553,0,798,1200,343,282,230,74,38,4,2969,0,199,645,522,622,652,477,417,256,3790,103,211,234,115,86,76,52,32,17,926,13921,10666,13623,9603,8695,6175,3231,1830,649,68393
