region_id,Australia_M,Australia_F,Australia_P,Bosnia_Herzegovina_M,Bosnia_Herzegovina_F,Bosnia_Herzegovina_P,Cambodia_M,Cambodia_F,Cambodia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Frmr_Yug_Repc_Mac_FYROM_M,Frmr_Yug_Repc_Mac_FYROM_F,Frmr_Yug_Repc_Mac_FYROM_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_Tot,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,South_Eastern_Europe_nfd_M,South_Eastern_Europe_nfd_F,South_Eastern_Europe_nfd_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,Turkey_M,Turkey_F,Turkey_P,UK_Channel_Islands_Isle_Man_M,UK_Channel_Islands_Isle_Man_F,UK_Channel_Islands_Isle_Man_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,Tot_M,Tot_F,Tot_P
10101,29160,29395,58555,3,4,7,11,15,26,38,35,73,49,53,102,38,22,60,15,10,25,13,27,40,6,5,11,113,111,224,46,19,65,6,12,18,55,35,90,7,18,25,5,3,8,47,37,84,67,42,109,6,9,15,16,9,25,44,25,69,18,32,50,23,17,40,110,104,214,282,318,600,51,103,154,16,23,39,7,20,27,46,40,86,24,21,45,15,6,21,15,37,52,4,7,11,1002,1029,2031,78,77,155,34,24,58,406,389,795,1782,1708,3490,33658,33841,67499
10102,20650,20663,41313,26,25,51,5,9,14,39,74,113,90,111,201,114,100,214,28,12,40,65,79,144,292,267,559,162,161,323,80,95,175,17,22,39,274,216,490,32,61,93,6,9,15,50,41,91,237,211,448,3,17,20,19,24,43,5,10,15,47,73,120,48,38,86,75,69,144,427,397,824,119,206,325,53,67,120,19,25,44,74,90,164,42,34,76,37,44,81,20,49,69,9,6,15,1092,1049,2141,140,137,277,37,40,77,819,764,1583,1600,1364,2964,26852,26659,53511
10103,7759,7295,15054,0,3,3,0,0,0,6,22,28,17,16,33,11,7,18,3,3,6,8,9,17,3,3,6,103,116,219,5,6,11,5,3,8,20,19,39,3,13,16,3,0,3,14,16,30,46,40,86,0,10,10,5,0,5,19,11,30,7,16,23,3,4,7,41,48,89,125,115,240,10,26,36,12,11,23,5,7,12,29,27,56,9,9,18,10,8,18,7,23,30,4,4,8,367,385,752,26,43,69,0,3,3,233,183,416,820,689,1509,9738,9193,18931
10104,27191,28093,55284,8,6,14,0,0,0,49,59,108,28,35,63,83,71,154,20,4,24,11,21,32,7,5,12,266,330,596,40,28,68,3,15,18,37,22,59,13,23,36,0,4,4,58,67,125,117,57,174,10,26,36,3,9,12,8,7,15,19,28,47,57,36,93,206,219,425,398,424,822,20,139,159,27,29,56,7,16,23,83,80,163,32,27,59,12,4,16,11,39,50,4,4,8,1930,2020,3950,99,139,238,29,27,56,481,466,947,2000,1934,3934,33367,34513,67880
10201,61664,66449,128113,18,16,34,12,17,29,161,173,334,231,367,598,76,66,142,105,88,193,94,123,217,11,3,14,310,384,694,96,88,184,79,85,164,238,213,451,75,108,183,16,13,29,277,272,549,252,164,416,38,99,137,107,147,254,50,29,79,94,123,217,130,116,246,309,313,622,1434,1500,2934,182,467,649,94,95,189,45,56,101,498,492,990,39,39,78,66,61,127,56,166,222,24,20,44,5378,5386,10764,294,298,592,38,55,93,1567,1698,3265,4519,4645,9164,78677,84434,163111
10202,59766,63760,123526,19,11,30,9,16,25,86,94,180,110,203,313,57,58,115,84,75,159,51,68,119,10,12,22,222,263,485,69,68,137,37,45,82,169,152,321,54,80,134,13,11,24,203,198,401,257,156,413,19,47,66,28,37,65,49,33,82,53,75,128,209,185,394,244,255,499,1203,1273,2476,161,465,626,45,56,101,20,31,51,194,192,386,47,40,87,16,19,35,31,102,133,26,13,39,3540,3814,7354,176,163,339,36,35,71,1007,1059,2066,3706,3887,7593,72026,77051,149077
10301,18793,18692,37485,8,9,17,5,9,14,28,32,60,70,52,122,15,10,25,12,3,15,31,22,53,6,0,6,75,64,139,14,4,18,14,12,26,42,26,68,6,10,16,9,3,12,27,32,59,44,20,64,8,11,19,11,7,18,32,18,50,14,24,38,12,13,25,67,58,125,314,263,577,36,70,106,5,12,17,5,14,19,54,48,102,11,14,25,23,18,41,7,15,22,4,3,7,596,554,1150,34,36,70,28,16,44,312,205,517,1213,1170,2383,21985,21569,43554
10302,24339,24575,48914,0,0,0,5,3,8,17,21,38,22,37,59,14,10,24,5,3,8,15,18,33,0,0,0,54,49,103,11,4,15,3,6,9,28,23,51,7,6,13,8,8,16,32,25,57,31,17,48,3,9,12,6,7,13,0,8,8,9,12,21,9,15,24,52,54,106,161,141,302,36,91,127,7,13,20,3,3,6,41,48,89,7,6,13,11,17,28,3,16,19,0,0,0,438,476,914,31,38,69,7,9,16,154,163,317,1686,1610,3296,27255,27541,54796
10303,18881,18531,37412,5,3,8,9,3,12,14,25,39,45,33,78,26,11,37,6,5,11,17,16,33,4,5,9,79,100,179,24,11,35,12,13,25,39,27,66,9,11,20,14,6,20,42,21,63,49,34,83,3,6,9,8,3,11,14,3,17,19,17,36,30,12,42,72,65,137,192,199,391,33,95,128,20,17,37,4,7,11,39,44,83,11,8,19,10,12,22,8,19,27,4,3,7,702,735,1437,41,44,85,18,15,33,253,200,453,1543,1261,2804,22299,21620,43919
10304,23126,23993,47119,7,3,10,0,3,3,10,25,35,55,63,118,21,19,40,17,17,34,18,22,40,0,6,6,73,94,167,17,15,32,18,12,30,76,73,149,11,20,31,12,8,20,42,25,67,65,64,129,3,7,10,17,18,35,9,3,12,11,21,32,7,4,11,65,68,133,289,284,573,54,112,166,17,36,53,4,15,19,80,86,166,15,9,24,14,17,31,19,23,42,7,11,18,579,601,1180,45,33,78,7,4,11,375,387,762,1603,1481,3084,26788,27682,54470
